aamutohveli	['N_KANAALI']	boundaries=aamu|tohveli
aamutorkku	['N_TIKKU']	boundaries=aamu|torkku
aamutossu	['N_ASU']	boundaries=aamu|tossu
aamutuimaan	['PCLE_LIKI']	boundaries=aamu|tuimaan
aamutähti	['N_LEHTI']	boundaries=aamu|tähti
aamu-uninen	['A_AAKKOSELLINEN']	boundaries=aamu-uninen
aamu-unisuus	['N_AAKKOSELLISUUS']	boundaries=aamu-unisuus
aamu-uutiset	['N_RAPPUSET']	boundaries=aamu-uutiset
aamuvarhainen	['N_AAKKOSTAMINEN']	boundaries=aamu|varhainen
aamuvartio	['N_TUOMIO']	boundaries=aamu|vartio
aamuvirkku	['N_TIKKU']	boundaries=aamu|virkku
aamuvoimistelu	['N_SEIKKAILU']	boundaries=aamu|voimistelu
aamuvuoro	['N_TALO']	boundaries=aamu|vuoro
aamuyö	['N_TYÖ']	boundaries=aamu|yö
aapasuo	['N_VUO']	boundaries=aapa|suo
aapiskirja	['N_KIRJA']	boundaries=aapis|kirja
aapiskukko	['N_UKKO']	boundaries=aapis|kukko
aaprottimaruna	['N_PROBLEEMA']	boundaries=aaprotti|maruna
aarnialue	['N_ASTE']	boundaries=aarni|alue
aarnihauta	['N_PATA']	boundaries=aarni|hauta
aarnihonka	['N_HONKA']	boundaries=aarni|honka
aarnikotka	['N_SOITTAJA']	boundaries=aarni|kotka
aarniohauta	['N_PATA']	boundaries=aarnio|hauta
aarniometsä	['N_HÖPÖTTÄJÄ']	boundaries=aarnio|metsä
aarnipuu	['N_PUU']	boundaries=aarni|puu
aarnituli	['N_TULI']	boundaries=aarni|tuli
aarnivalkea	['N_SOKEA']	boundaries=aarni|valkea
aarreaitta	['N_MITTA']	boundaries=aarre|aitta
aarrearkku	['N_TIKKU']	boundaries=aarre|arkku
aarrehauta	['N_PATA']	boundaries=aarre|hauta
aarrekammio	['N_TUOMIO']	boundaries=aarre|kammio
aarrekätkö	['N_MÖMMÖ']	boundaries=aarre|kätkö
aarrelaiva	['N_KIRJA']	boundaries=aarre|laiva
aarrelöytö	['N_HÄÄTÖ']	boundaries=aarre|löytö
aarretuli	['N_TULI']	boundaries=aarre|tuli
aarrevalkea	['N_SOKEA']	boundaries=aarre|valkea
aarteenetsijä	['N_HÄKKYRÄ']	boundaries=aarteen|etsijä
aarteenetsintä	['N_KYSYNTÄ']	boundaries=aarteen|etsintä
aasialaisamerikkalainen	['N_AAKKOSTAMINEN']	boundaries=aasialais|amerikkalainen
aasinpotku	['N_ASU']	boundaries=aasin|potku
aasinsilta	['N_VALTA']	boundaries=aasin|silta
aasitamma	['N_KIRJA']	boundaries=aasi|tamma
aataminaikainen	['A_AAKKOSELLINEN']	boundaries=aatamin|aikainen
aataminomena	['N_PROBLEEMA']	boundaries=aatamin|omena
aataminpuku	['N_LUKU']	boundaries=aatamin|puku
aatehistoria	['N_MAKKARA']	boundaries=aate|historia
aatekilpailu	['N_SEIKKAILU']	boundaries=aate|kilpailu
aatelisarvo	['N_TALO']	boundaries=aatelis|arvo
aatelisherra	['N_KIRJA']	boundaries=aatelis|herra
aateliskalenteri	['N_KANAALI']	boundaries=aatelis|kalenteri
aateliskartano	['N_RUIPELO']	boundaries=aatelis|kartano
aateliskruunu	['N_ASU']	boundaries=aatelis|kruunu
aatelislinna	['N_KIRJA']	boundaries=aatelis|linna
aatelismies	['N_MIES']	boundaries=aatelis|mies
aatelisnainen	['N_AAKKOSTAMINEN']	boundaries=aatelis|nainen
aatelisnenä	['N_HÖPÖTTÄJÄ']	boundaries=aatelis|nenä
aatelissuku	['N_LUKU']	boundaries=aatelis|suku
aatelissääty	['N_VETY']	boundaries=aatelis|sääty
aatelisvaakuna	['N_MAKKARA']	boundaries=aatelis|vaakuna
aatemaailma	['N_KITARA']	boundaries=aate|maa|ilma
aaterakennelma	['N_SOITTAJA']	boundaries=aate|rakennelma
aatesisar	['N_JOUTSEN']	boundaries=aate|sisar
aatesuunta	['N_KUNTA']	boundaries=aate|suunta
aatetoveri	['N_KANAALI']	boundaries=aate|toveri
aateveli	['N_KIVI']	boundaries=aate|veli
aatevirtaus	['N_VAKUUTUS']	boundaries=aate|virtaus
aatonaatto	['N_HIRTTO']	boundaries=aaton|aatto
aattoilta	['N_VALTA']	boundaries=aatto|ilta
aavameri	['N_MERI']	boundaries=aava|meri
aavejuna	['N_SOITTAJA']	boundaries=aave|juna
aavekaupunki	['N_VANKI']	boundaries=aave|kaupunki
aavekipu	['N_APU']	boundaries=aave|kipu
aavelaiva	['N_KIRJA']	boundaries=aave|laiva
aavemainen	['A_AAKKOSELLINEN']	boundaries=aave|mainen
aavemaisesti	['PCLE_NOPEASTI']	boundaries=aave|maisesti
aavikkoiguaani	['N_RUUVI']	boundaries=aavikko|iguaani
aavikkoilves	['N_RÄJÄYTYS']	boundaries=aavikko|ilves
aavikkojuoksija	['N_MAKKARA']	boundaries=aavikko|juoksija
aavikkokana	['N_KIRJA']	boundaries=aavikko|kana
aavikkokissa	['N_KIRJA']	boundaries=aavikko|kissa
aavikkomaannos	['N_VAKUUTUS']	boundaries=aavikko|maannos
aavikkorotta	['N_ROTTA']	boundaries=aavikko|rotta
aavikkoruusu	['N_ASU']	boundaries=aavikko|ruusu
Aavikkotie	['N_TIE']	boundaries=Aavikko|tie
aavistuksenomainen	['A_AAKKOSELLINEN']	boundaries=aavistuksen|omainen
aavistuslähtö	['N_HÄÄTÖ']	boundaries=aavistus|lähtö
abdominaalisenteesi	['N_TYYLI']	boundaries=abdominaali_senteesi
abiogeneettinen	['A_KYLMÄJÄRKINEN']	boundaries=abio_geneettinen
ablatiivisija	['N_KIRJA']	boundaries=ablatiivi|sija
aborttipilleri	['N_KEHVELI']	boundaries=abortti|pilleri
aborttitabletti	['N_KORTTI']	boundaries=abortti|tabletti
absinttiöljy	['N_KÄRRY']	boundaries=absintti|öljy
absoluuttiarvo	['N_TALO']	boundaries=absoluutti|arvo
absorboimisaine	['N_ASTE']	boundaries=absorboimis|aine
absorptioalue	['N_ASTE']	boundaries=absorptio|alue
absorptioindikaattori	['N_KANAALI']	boundaries=absorptio|indikaattori
absorptiokerroin	['N_KERROIN']	boundaries=absorptio|kerroin
absorptiokykyinen	['A_KYLMÄJÄRKINEN']	boundaries=absorptio|kykyinen
absorptiokyky	['N_KYKY']	boundaries=absorptio|kyky
absorptiospektri	['N_TYYLI']	boundaries=absorptio|spektri
absorptiosuhde	['N_LUODE']	boundaries=absorptio|suhde
absorptiotaajuus	['N_AAKKOSELLISUUS']	boundaries=absorptio|taajuus
absorptiovyö	['N_TYÖ']	boundaries=absorptio|vyö
absorptioyksikkö	['N_YKSIKKÖ']	boundaries=absorptio|yksikkö
abstinenssioire	['N_ASTE']	boundaries=abstinenssi|oire
additiotuote	['N_OSOITE']	boundaries=additio|tuote
adenosiinidifosfaatti	['N_KORTTI']	boundaries=adenosiini|difosfaatti
adenosiinimonofosfaatti	['N_KORTTI']	boundaries=adenosiinimono|fosfaatti
adenosiinitrifosfaatti	['N_KORTTI']	boundaries=adenosiini|trifosfaatti
adjektiiviattribuutti	['N_KORTTI']	boundaries=adjektiivi|attribuutti
adjutanttihaikara	['N_MAKKARA']	boundaries=adjutantti|haikara
adjutanttilintu	['N_LINTU']	boundaries=adjutantti|lintu
adoptiokelpoinen	['A_AAKKOSELLINEN']	boundaries=adoptio|kelpoinen
adoptiolapsi	['N_LAPSI']	boundaries=adoptio|lapsi
adoptiovanhempi	['N_VANHEMPI']	boundaries=adoptio|vanhempi
adoptointikelvoton	['A_VIATON']	boundaries=adoptointi|kelvoton
adventtiaika	['N_AIKA']	boundaries=adventti|aika
adventtikalenteri	['N_KANAALI']	boundaries=adventti|kalenteri
adventtikirkko	['N_UKKO']	boundaries=adventti|kirkko
adventtiseurakunta	['N_KUNTA']	boundaries=adventti|seura|kunta
adventtiseurakunta	['N_KUNTA']	boundaries=adventti|seurakunta
adventtisunnuntai	['N_HAI']	boundaries=adventti|sunnuntai
aerosolimuoto	['N_VETO']	boundaries=aerosoli|muoto
aerosolipakkaus	['N_VAKUUTUS']	boundaries=aerosoli|pakkaus
aerosolipommi	['N_RUUVI']	boundaries=aerosoli|pommi
aerosolipullo	['N_TALO']	boundaries=aerosoli|pullo
aerosoliräjähde	['N_KIDE']	boundaries=aerosoli|räjähde
