new_para	upos	pos	kotus_tn	kotus_av	plurale_tantum	grade_dir	harmony	stem_vowel	stem_diphthong	possessive	clitics	suffix_regex	deletion
ADV_HYVILLÄÄN	ADV	PARTICLE	99	None	False	False	front	None	None	obligatory	True	än	än
ADV_IKINÄ	ADV	PARTICLE	99	None	False	False	front	None	None	optional	False	.
ADV_ILKOSILLAAN	ADV	PARTICLE	99	None	False	False	back	None	None	obligatory	True	an	an
ADV_ISTUALLEEN	ADV	PARTICLE	99	None	False	False	back	None	None	obligatory	True	en	en
ADV_JO	ADV	PARTICLE	99	None	False	False	back	None	None	False	False	.
ADV_JONNE	ADV	PARTICLE	99	None	False	False	back	None	None	False	False	.
ADV_KUHUN	ADV	PARTICLE	99	None	False	False	back	None	None	False	True	.
ADV_LEVÄLLEEN	ADV	PARTICLE	99	None	False	False	front	None	None	obligatory	True	.
ADV_MITEN	ADV	PARTICLE	99	None	False	False	front	None	None	False	True	.
ADV_NOPEASTI	ADV	PARTICLE	99	None	False	False	back	None	None	False	True	.
ADV_TYHMÄSTI	ADV	PARTICLE	99	None	False	False	front	None	None	False	True	.
ADV_VAAN	ADV	PARTICLE	99	None	False	False	both	None	None	False	False	.
ADV_YLIPÄÄNSÄ	ADV	PARTICLE	99	None	False	False	front	None	None	obligatory	True	.
AUX_AIKOA	AUX	VERB	52	D	False	weaken	back	None	None	False	False	aikoa	koa
AUX_EI	AUX	VERB	1099	None	False	weaken	front	None	None	False	False	ei	ei
AUX_JOUTUA	AUX	VERB	52	F	False	weaken	back	None	None	False	False	joutua	tua
AUX_MAHTAA	AUX	VERB	56	F	False	weaken	back	None	None	False	False	mahtaa	taa
AUX_OLLA	AUX	VERB	1067	None	False	weaken	back	None	None	False	False	olla	olla
AUX_PITÄÄ	AUX	VERB	53	F	False	weaken	front	None	None	False	False	pitää	tää
AUX_SAATTAA	AUX	VERB	56	C	False	weaken	back	None	None	False	False	saattaa	taa
AUX_TAITAA	AUX	VERB	76	F	False	weaken	back	None	None	False	False	taitaa	taa
AUX_TARVITA	AUX	VERB	69	None	False	strengthen	back	None	None	False	False	tarvita	vita
AUX_TÄYTYÄ	AUX	VERB	52	F	False	weaken	front	None	None	False	False	täytyä	tyä
AUX_VOIDA	AUX	VERB	62	None	False	strengthen	back	None	None	False	False	voida	ida
CCONJ_JA	CCONJ	PARTICLE	99	None	False	False	both	None	None	False	False	.
DET_SE	DET	PRONOUN	101	None	False	False	front	None	None	False	False	.	e
DET_YKSI	DET	PRONOUN	31	None	False	weaken	front	None	None	False	False	.	ksi
INTJ_HAH	INTJ	PARTICLE	99	None	False	False	both	None	None	False	False	.
INTJ_OO	INTJ	PARTICLE	99	None	False	False	both	None	None	False	False	.
NOUN_51aamukaksitoista	NOUN	NUMERAL	51	None	False	weaken	back	None	None	False	False	kaksitoista	ksitoista
NOUN_51aamuyksitoista	NOUN	NUMERAL	51	None	False	weaken	back	None	None	False	False	yksitoista	ksitoista
NOUN_51aavameri	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	aavameri	ameri
NOUN_51hienosokeri	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	hienosokeri	sokeri
NOUN_51isojako	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	isojako	jako
NOUN_51isokoskelo	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	isokoskelo	koskelo
NOUN_51isokuovi	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	isokuovi	kuovi
NOUN_51isokäpylintu	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	isokäpylintu	käpylintu
NOUN_51isolepinkäinen	NOUN	NOUN	51	None	False	weaken	front	None	None	False	False	isolepinkäinen	lepinkäinen
NOUN_51isolokki	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	isolokki	lokki
NOUN_51isomaksaruoho	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	isomaksaruoho	maksaruoho
NOUN_51isomasto	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	isomasto	masto
NOUN_51isopanda	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	isopanda	panda
NOUN_51isopistooli	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	isopistooli	pistooli
NOUN_51isopurje	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	isopurje	purje
NOUN_51isorokko	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	isorokko	rokko
NOUN_51isorumpu	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	isorumpu	rumpu
NOUN_51isosisar	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	isosisar	sisar
NOUN_51isosisko	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	isosisko	sisko
NOUN_51isotaivot	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	isotaivot	taivot
NOUN_51isovarvas	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	isovarvas	varvas
NOUN_51isoveli	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	isoveli	veli
NOUN_51isoviha	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	isoviha	viha
NOUN_51karkearehu	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	karkearehu	arehu
NOUN_51kevytsarja	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	kevytsarja	tsarja
NOUN_51kirjavapillike	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	kirjavapillike	apillike
NOUN_51kuivakakku	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	kuivakakku	akakku
NOUN_51kuivakukka	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	kuivakukka	akukka
NOUN_51kuivamuona	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	kuivamuona	amuona
NOUN_51kuivapaino	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	kuivapaino	apaino
NOUN_51kuivapari	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	kuivapari	apari
NOUN_51kuivarehu	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	kuivarehu	arehu
NOUN_51kultainennoutaja	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	kultainennoutaja	nennoutaja
NOUN_51laiskakoira	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	laiskakoira	akoira
NOUN_51lämminruoka	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	lämminruoka	minruoka
NOUN_51lämminvarasto	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	lämminvarasto	minvarasto
NOUN_51lämminvaunu	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	lämminvaunu	minvaunu
NOUN_51matalameri	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	matalameri	ameri
NOUN_51mustaherukka	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	mustaherukka	aherukka
NOUN_51mustaleipä	NOUN	NOUN	51	None	False	weaken	front	None	None	False	False	mustaleipä	aleipä
NOUN_51mustaleski	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	mustaleski	aleski
NOUN_51mustalintu	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	mustalintu	alintu
NOUN_51mustamaija	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	mustamaija	amaija
NOUN_51mustamakkara	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	mustamakkara	amakkara
NOUN_51mustamies	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	mustamies	amies
NOUN_51mustamulta	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	mustamulta	amulta
NOUN_51mustapekka	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	mustapekka	apekka
NOUN_51mustapippuri	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	mustapippuri	apippuri
NOUN_51mustaraamattu	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	mustaraamattu	araamattu
NOUN_51mustatorvisieni	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	mustatorvisieni	atorvisieni
NOUN_51mustaviinimarja	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	mustaviinimarja	aviinimarja
NOUN_51nuoriemäntä	NOUN	NOUN	51	None	False	weaken	front	None	None	False	False	nuoriemäntä	iemäntä
NOUN_51nuoriherra	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	nuoriherra	iherra
NOUN_51nuori-isäntä	NOUN	NOUN	51	None	False	weaken	front	None	None	False	False	nuori-isäntä	i-isäntä
NOUN_51nuorikarja	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	nuorikarja	ikarja
NOUN_51nuorimies	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	nuorimies	imies
NOUN_51nuoripari	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	nuoripari	ipari
NOUN_51omakuva	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	omakuva	akuva
NOUN_51omatunto	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	omatunto	atunto
NOUN_51pahahenki	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	pahahenki	ahenki
NOUN_51pahaputki	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	pahaputki	aputki
NOUN_51palavakivi	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	palavakivi	akivi
NOUN_51palavapensas	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	palavapensas	apensas
NOUN_51palavarakkaus	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	palavarakkaus	arakkaus
NOUN_51pitkähousu	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	pitkähousu	ähousu
NOUN_51pitkäkirkko	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	pitkäkirkko	äkirkko
NOUN_51pitkäperjantai	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	pitkäperjantai	äperjantai
NOUN_51pitkäpiimä	NOUN	NOUN	51	None	False	weaken	front	None	None	False	False	pitkäpiimä	äpiimä
NOUN_51pitkäsiima	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	pitkäsiima	äsiima
NOUN_51pitkätakki	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	pitkätakki	ätakki
NOUN_51pitkäthousut	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	pitkäthousut	äthousut
NOUN_51puolikuu	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	puolikuu	ikuu
NOUN_51puolimatka	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	puolimatka	imatka
NOUN_51puolipäivä	NOUN	NOUN	51	None	False	weaken	front	None	None	False	False	puolipäivä	ipäivä
NOUN_51puoliväli	NOUN	NOUN	51	None	False	weaken	front	None	None	False	False	puoliväli	iväli
NOUN_51puoliyö	NOUN	NOUN	51	None	False	weaken	front	None	None	False	False	puoliyö	iyö
NOUN_51raitisilma	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	raitisilma	isilma
NOUN_51raskassarja	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	raskassarja	ssarja
NOUN_51raskasvesi	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	raskasvesi	svesi
NOUN_51raskasvety	NOUN	NOUN	51	None	False	weaken	front	None	None	False	False	raskasvety	svety
NOUN_51sepiväpeippi	NOUN	NOUN	51	None	False	weaken	front	None	None	False	False	sepiväpeippi	äpeippi
NOUN_51suorakulma	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	suorakulma	akulma
NOUN_51suoraommel	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False	suoraommel	aommel
NOUN_51syvämeri	NOUN	NOUN	51	None	False	weaken	front	None	None	False	False	syvämeri	ämeri
NOUN_51särkynytsydän	NOUN	NOUN	51	None	False	weaken	front	None	None	False	False	särkynytsydän	ytsydän
