lemma	homonym	new_para	origin
Ahon Matin saaret	PROPN	PROPN_SAARET	finer
Ahonmuorin suo	PROPN	PROPN_VUO	finer
Ahtaus- ja Huolinta-alan Tekniset	PROPN	PROPN_VIHKIÄISET	finer
Ahtolan satama	PROPN	PROPN_VOIMA	finer
Ahvenanmaan rauhaninstituutti	PROPN	PROPN_KORTTI	finer
Ahvenjoen Latvajärvi	PROPN	PROPN_KIVI	finer
Ahvenlammen luontopolku	PROPN	PROPN_ALKU	finer
Aigaio Pelagos	PROPN	PROPN_PUNK	finer
Aigaío Pélagos	PROPN	PROPN_PUNK	finer
Aijalan Metsäkulma	PROPN	PROPN_VOIMA	finer
Aikion Oulan Kontturimaa	PROPN	PROPN_MAA	finer
Aikon Haminakari	PROPN	PROPN_RUUVI	finer
Aikon Koivukari	PROPN	PROPN_RUUVI	finer
Aikon Leppäkari	PROPN	PROPN_RUUVI	finer
Aikon Mansikkakari	PROPN	PROPN_RUUVI	finer
Aikon Pihlavakari	PROPN	PROPN_RUUVI	finer
Aikuiskasvatuksen kilta	PROPN	PROPN_VALTA	finer
Aikuiskasvatuksen tutkimusseura	PROPN	PROPN_KIRJA	finer
Ailin Isokalajärvi	PROPN	PROPN_KIVI	finer
Ailin Laavuvaara	PROPN	PROPN_KIRJA	finer
Aina Group	PROPN	PROPN_PUNK	finer
Ainapujettaman Alaniemi	PROPN	PROPN_TAIMI	finer
Ainin Kotavaara	PROPN	PROPN_KIRJA	finer
Air Berlin	PROPN	PROPN_ZEN	finer
Air Canada	PROPN	PROPN_KIRJA	finer
Air China	PROPN	PROPN_KIRJA	finer
Air Finland	PROPN	PROPN_PUNK	finer
Air Force One	PROPN	PROPN_NALLE	omorfi
Air France	PROPN	PROPN_NALLE	finer
Air France-KLM	PROPN	PROPN_ACRO_ÄKS	unk
Air Fuel Synthesis	PROPN	PROPN_RÄJÄYTYS	finer
Air Koryo	PROPN	PROPN_TUOMIO	finer
Air Lease	PROPN	PROPN_NALLE	finer
Air Malta	PROPN	PROPN_KIRJA	finer
Air Team	PROPN	PROPN_PUNK	finer
Air Åland	PROPN	PROPN_PUNK	finer
Airiston Sandviken	PROPN	PROPN_PUNK	finer
Airtran Holdings	PROPN	PROPN_PUNK	finer
Aito Technologies	PROPN	PROPN_PUNK	finer
Aittaojan seljänteet	PROPN	PROPN_RINTEET	finer
Aitto-Villen lampare	PROPN	PROPN_ASTE	finer
Aittoahon teollisuusalue	PROPN	PROPN_ASTE	finer
Akava Erityisalat	PROPN	PROPN_PAIKAT	finer
Akavan Erityisalat	PROPN	PROPN_PAIKAT	finer
Akavan Erityisalojen Keskusliitto	PROPN	PROPN_HIRTTO	finer
Akavan Yleinen Ryhmä	PROPN	PROPN_HÖPÖTTÄJÄ	finer
Akavan kirkolliset ammattiliitot	PROPN	PROPN_ROITOT	finer
Aker Arctic	PROPN	PROPN_PUNK	finer
Aker Solutions	PROPN	PROPN_PUNK	finer
Aker Yards	PROPN	PROPN_PUNK	finer
Akin Gump Strauss Hauer & Feld	PROPN	PROPN_ZEN	finer
Akmeelin hauta	PROPN	PROPN_PATA	finer
Akra Achlades	PROPN	PROPN_PUNK	finer
Akra Agia Aikaterini	PROPN	PROPN_BRASSERIE	finer
Akra Agiou Andreou	PROPN	PROPN_KUNGFU	finer
Akra Almyrou	PROPN	PROPN_KUNGFU	finer
Akra Araxos	PROPN	PROPN_FRANCIS	finer
Akra Archangelos	PROPN	PROPN_FRANCIS	finer
Akra Axenos	PROPN	PROPN_PUNK	finer
Akra Dafnoudi	PROPN	PROPN_RUUVI	finer
Akra Doukato	PROPN	PROPN_TALO	finer
Akra Ierax	PROPN	PROPN_PUNK	finer
Akra Iraio	PROPN	PROPN_TALO	finer
Akra Korakas	PROPN	PROPN_PUNK	finer
Akra Kyklops	PROPN	PROPN_PUNK	finer
Akra Kyllinis	PROPN	PROPN_ZEN	finer
Akra Kymis	PROPN	PROPN_ZEN	finer
Akra Maleas	PROPN	PROPN_PUNK	finer
Akra Masticho	PROPN	PROPN_TALO	finer
Akra Mounta	PROPN	PROPN_KIRJA	finer
Akra Ochtonia	PROPN	PROPN_CHACHACHA	finer
Akra Paliouri	PROPN	PROPN_RUUVI	finer
Akra Paximadi	PROPN	PROPN_RUUVI	finer
Akra Pounta	PROPN	PROPN_KIRJA	finer
Akra Tainaro	PROPN	PROPN_TALO	finer
Akra Tourkovigla	PROPN	PROPN_KIRJA	finer
Akra Trachila	PROPN	PROPN_KIRJA	finer
Akra Trypiti	PROPN	PROPN_BRIE	finer
Akra Xodoto	PROPN	PROPN_TALO	finer
Akra Xylis	PROPN	PROPN_ZEN	finer
Akra Zourvas	PROPN	PROPN_PUNK	finer
Aktia Bank	PROPN	PROPN_PUNK	finer
Aktia Hypoteekkipankki	PROPN	PROPN_LOKKI	finer
Aktia Pankki	PROPN	PROPN_LOKKI	finer
Aktiv Kapital	PROPN	PROPN_PUNK	finer
Aku Ankka	PROPN	PROPN_POLITIIKKA	enwikt
Aku-Jounin Aitamaa	PROPN	PROPN_MAA	finer
Aku-Jounin Aitasijajärvet	PROPN	PROPN_RIPSET	finer
Akzo Nobel	PROPN	PROPN_STADION	finer
Al Bahah	PROPN	PROPN_PUNK	finer
Al Diwaniyah	PROPN	PROPN_PUNK	finer
Al Fashir	PROPN	PROPN_PUNK	finer
Al Ghaydah	PROPN	PROPN_PUNK	finer
Al Gseibat	PROPN	PROPN_PUNK	finer
Al Hasakah	PROPN	PROPN_PUNK	finer
Al Hudaydah	PROPN	PROPN_PUNK	finer
Al Hufuf	PROPN	PROPN_PUNK	finer
Al Jazeera	PROPN	PROPN_KIRJA	finer
Al Jizah	PROPN	PROPN_PUNK	finer
Al Karama	PROPN	PROPN_PROBLEEMA	finer
Al Kharijah	PROPN	PROPN_PUNK	finer
Al Khuwayr	PROPN	PROPN_ZEN	finer
Al Majma’ah	PROPN	PROPN_PUNK	finer
Al Mansurah	PROPN	PROPN_PUNK	finer
Al Maya	PROPN	PROPN_KIRJA	finer
Al Minya	PROPN	PROPN_KIRJA	finer
Al Misratah	PROPN	PROPN_PUNK	finer
Al Mukalla	PROPN	PROPN_KIRJA	finer
Al Qadarif	PROPN	PROPN_PUNK	finer
Al Qaim	PROPN	PROPN_PUNK	finer
Al Qasrayn	PROPN	PROPN_ZEN	finer
Al Qubah	PROPN	PROPN_PUNK	finer
Al Qunaytirah	PROPN	PROPN_PUNK	finer
Al Ubayyid	PROPN	PROPN_ZEN	finer
Al Ujeilat	PROPN	PROPN_PUNK	finer
Al Wakrah	PROPN	PROPN_PUNK	finer
Al ’Arish	PROPN	PROPN_PUNK	finer
Al-Rifa ash Sharqi	PROPN	PROPN_RUUVI	finer
Ala-Antin kentät	PROPN	PROPN_KENTÄT	finer
Ala-Hornean suo	PROPN	PROPN_VUO	finer
Ala-Hyypiön järvi	PROPN	PROPN_KIVI	finer
Ala-Hyypiön kuusikko	PROPN	PROPN_LEPAKKO	finer
Ala-Hyypiön oja	PROPN	PROPN_VOIMA	finer
Ala-Järvenpään lahti	PROPN	PROPN_LAHTI	finer
Ala-Kauvatsan joki	PROPN	PROPN_NOKI	finer
Ala-Lappalan salo	PROPN	PROPN_TALO	finer
Ala-Loukon aho	PROPN	PROPN_TALO	finer
Ala-Mustan suo	PROPN	PROPN_VUO	finer
Ala-Parttuaisen puro	PROPN	PROPN_TALO	finer
Ala-Pitkän joki	PROPN	PROPN_NOKI	finer
Ala-Rusalan vuori	PROPN	PROPN_RUUHI	finer
Ala-Satulan alussuo	PROPN	PROPN_VUO	finer
Ala-Suitavan joki	PROPN	PROPN_NOKI	finer
Ala-Tiilikan pääsuo	PROPN	PROPN_VUO	finer
Ala-Tolvan Uusipuro	PROPN	PROPN_TALO	finer
Ala-Vohon vaara	PROPN	PROPN_KIRJA	finer
Alahärmän Kisa	PROPN	PROPN_KIRJA	finer
Alajoen Suusaajo	PROPN	PROPN_TALO	finer
Alajärven Ankkurit	PROPN	PROPN_FARMARIT	finer
Alajärven Saahkalahti	PROPN	PROPN_LAHTI	finer
Alamyllyn kanava	PROPN	PROPN_VOIMA	finer
Alanen Lapinniva	PROPN	PROPN_KIRJA	finer
Alaniemen uittokanava	PROPN	PROPN_VOIMA	finer
Alaniityn Korkiakaarto	PROPN	PROPN_SIIRTO	finer
Alankomaiden Antillit	PROPN	PROPN_LASIT	finer|enwikt
Alankomaiden Guayana	PROPN	PROPN_KIRJA	enwikt
Alaska Airlines	PROPN	PROPN_PUNK	finer
Alassalmen lossi	PROPN	PROPN_RUUVI	finer
Alatalon Antin vaara	PROPN	PROPN_KIRJA	finer
Alatalon Mäntymaa	PROPN	PROPN_MAA	finer
Alatornion Pirkat	PROPN	PROPN_PAIKAT	finer
Alavieskan Viri	PROPN	PROPN_TYYLI	finer
Alavuden Peli-Veikot	PROPN	PROPN_JOUKOT	finer
Alavuden Urheilijat	PROPN	PROPN_MARKKINAT	finer
Alba Iulia	PROPN	PROPN_MAKKARA	finer
Albat Wirsam Software	PROPN	PROPN_NALLE	finer
Alcacer do Sal	PROPN	PROPN_PUNK	finer
Alcala de Henares	PROPN	PROPN_PUNK	finer
Alcalde Diaz	PROPN	PROPN_PUNK	finer
Alcalde Díaz	PROPN	PROPN_PUNK	finer
Alcalá de Henares	PROPN	PROPN_PUNK	finer
Alcácer do Sal	PROPN	PROPN_PUNK	finer
Aldata Solution	PROPN	PROPN_PUNK	finer
Aleksandrow Kujawski	PROPN	PROPN_RUUVI	finer
Aleksandrow Lodzki	PROPN	PROPN_RUUVI	finer
Aleksi 13	PROPN	PROPN_ACRO_KOLME	unk
Aleksin Sadinsuo	PROPN	PROPN_VUO	finer
Aleksis Kiven Seura	PROPN	PROPN_KIRJA	finer
Alemman oikeustutkinnon suorittaneiden yhdistys	PROPN	PROPN_RÄJÄYTYS	finer
Alexander Group	PROPN	PROPN_PUNK	finer
Alexandria Corporate Finance	PROPN	PROPN_NALLE	finer
Alexandria Pankkiiriliike	PROPN	PROPN_KASTIKE	finer
Alfa Group	PROPN	PROPN_PUNK	finer
Alfa Romeo	PROPN	PROPN_RUIPELO	finer
Alfred Nussi	PROPN	PROPN_RUUVI	enwikt
Algol Chemicals	PROPN	PROPN_PUNK	finer
Ali Masjid	PROPN	PROPN_PUNK	finer
Ali-Krouvin kallio	PROPN	PROPN_TUOMIO	finer
Ali-Kärrin joki	PROPN	PROPN_NOKI	finer
Ali-Kärrin korpi	PROPN	PROPN_KORPI	finer
Alibaba Group	PROPN	PROPN_PUNK	finer
Alice Springs	PROPN	PROPN_ZEN	finer
Alice Town	PROPN	PROPN_PUNK	finer
Alimentation Couche-Tard	PROPN	PROPN_PUNK	finer
Alimmaisen Luujärven aapa	PROPN	PROPN_SALPA	finer
Alin Riekkojärvi	PROPN	PROPN_KIVI	finer
All Nippon Airways	PROPN	PROPN_ZEN	finer
All Saints	PROPN	PROPN_PUNK	finer
Aller Media	PROPN	PROPN_KITARA	finer
Allergia- ja astmaliitto	PROPN	PROPN_HIRTTO	finer
Alliance Consulting	PROPN	PROPN_PUNK	finer
Allied Irish Bank	PROPN	PROPN_PUNK	finer
Allied Irish Banks	PROPN	PROPN_PUNK	finer
Alligator Pond	PROPN	PROPN_PUNK	finer
Allocation Point	PROPN	PROPN_PUNK	finer
Ally Financial	PROPN	PROPN_PUNK	finer
Alma Aluemedia	PROPN	PROPN_KITARA	finer
Alma Manu	PROPN	PROPN_ASU	finer
Alma Media	PROPN	PROPN_KITARA	finer
Alma Tour	PROPN	PROPN_PUNK	finer
Alor Star	PROPN	PROPN_PUNK	finer
Alpha Bank	PROPN	PROPN_PUNK	finer
Alpi Packaking	PROPN	PROPN_PUNK	finer
Alston & Bird	PROPN	PROPN_ZEN	finer
Altain aluepiiri	PROPN	PROPN_RUUVI	finer
Alter Ego	PROPN	PROPN_TALO	finer
Alto de la Estancia	PROPN	PROPN_MAKKARA	finer
Alto del Espino	PROPN	PROPN_TALO	finer
Altor Fund	PROPN	PROPN_PUNK	finer
Alvarez & Marsal	PROPN	PROPN_PUNK	finer
Alven Capital	PROPN	PROPN_PUNK	finer
Alverca do Ribatejo	PROPN	PROPN_TALO	finer
Am Timan	PROPN	PROPN_PUNK	finer
AmCham Finland	PROPN	PROPN_PUNK	finer
Amadeus IT Group	PROPN	PROPN_PUNK	finer
Amanda Capital	PROPN	PROPN_PUNK	finer
Amba Mariam	PROPN	PROPN_PUNK	finer
Amer Sport	PROPN	PROPN_PUNK	finer
Amer Sports	PROPN	PROPN_PUNK	finer
America Express	PROPN	PROPN_ZEN	finer
America Movil	PROPN	PROPN_PUNK	finer
American Airlines	PROPN	PROPN_PUNK	finer
American Apparel	PROPN	PROPN_PUNK	finer
American Express	PROPN	PROPN_ZEN	finer
American International Group	PROPN	PROPN_PUNK	finer
American Journal of Clinical Nutrition	PROPN	PROPN_PUNK	finer
American Life Insurance	PROPN	PROPN_NALLE	finer
American Subconductors	PROPN	PROPN_PUNK	finer
Amerikan Samoa	PROPN	PROPN_MAKKARA	finer|enwikt
Amerikan terveysjärjestö	PROPN	PROPN_JÄÄTELÖ	finer
Amerikan valtioiden järjestö	PROPN	PROPN_JÄÄTELÖ	finer
Amerikan yhdysvallat	PROPN	PROPN_VALLAT	enwikt
Amman Asia Electric Power Company	PROPN	PROPN_KÄRRY	finer
Amman Asia Electric Power	PROPN	PROPN_STADION	finer
Ammattiin opiskelevat – Sakki	PROPN	PROPN_LOKKI	finer
Ammattiliitto Pro	PROPN	PROPN_ESQUIMAU	finer
Ammattiliitto Suora	PROPN	PROPN_VOIMA	finer
Amnesty International	PROPN	PROPN_PUNK	finer
Amurin alue	PROPN	PROPN_ASTE	finer
Anadarko Petroleum	PROPN	PROPN_PUNK	finer
Analistas Financieros Internacionales	PROPN	PROPN_PUNK	finer
Analysys Mason	PROPN	PROPN_STADION	finer
Anatoliki Fragkista	PROPN	PROPN_KIRJA	finer
Anatoliki Makedonia kai Thraki	PROPN	PROPN_RUUVI	finer
Anatolikí Fragkísta	PROPN	PROPN_KIRJA	finer
Anatolikí Makedonía kai Thráki	PROPN	PROPN_RUUVI	finer
Andamaanit ja Nikobaarit	PROPN	PROPN_LASIT	finer
Andhra Pradesh	PROPN	PROPN_PUNK	finer
Andien yhteisö	PROPN	PROPN_JÄÄTELÖ	finer
Andorra la Vella	PROPN	PROPN_KIRJA	finer
Andreessen Horowitz	PROPN	PROPN_PUNK	finer
Andros Town	PROPN	PROPN_PUNK	finer
Anenii Noi	PROPN	PROPN_HAI	finer
Angelniemen Ankkuri	PROPN	PROPN_KANAALI	finer
Anglo American	PROPN	PROPN_PUNK	finer
Anglo Irish Bank	PROPN	PROPN_PUNK	finer
AngloGold Ashanti	PROPN	PROPN_RUUVI	finer
Angra do Heroismo	PROPN	PROPN_TALO	finer
Angra do Heroísmo	PROPN	PROPN_TALO	finer
Anheuser-Busch Inbev	PROPN	PROPN_ZEN	finer
Anhui Jianghuai Automobile	PROPN	PROPN_NALLE	finer
Anhui Saunaking	PROPN	PROPN_PUNK	finer
Anjalan Liitto	PROPN	PROPN_HIRTTO	finer
Ann Arbor	PROPN	PROPN_PUNK	finer
Anna Greetan järvet	PROPN	PROPN_RIPSET	finer
Anna-Kaisan suo	PROPN	PROPN_VUO	finer
Anna-Kreetan neva	PROPN	PROPN_KIRJA	finer
Anna-Leenan lahti	PROPN	PROPN_LAHTI	finer
Anna-Liisan kallio	PROPN	PROPN_TUOMIO	finer
Anna-Maijan koski	PROPN	PROPN_ONNI	finer
Anna-Maijan niemi	PROPN	PROPN_LIEMI	finer
Anna-Maijan suo	PROPN	PROPN_VUO	finer
Anna-Reetan palo	PROPN	PROPN_TALO	finer
Anna-Reetan suo	PROPN	PROPN_VUO	finer
Anna-Stiinan aho	PROPN	PROPN_TALO	finer
Anna-Stiinan luoto	PROPN	PROPN_VETO	finer
Annan Juomusjärvi	PROPN	PROPN_KIVI	finer
Annan Kaapin kenttä	PROPN	PROPN_KENTTÄ	finer
Annan Kotajärvi	PROPN	PROPN_KIVI	finer
Anni Talluksen rinne	PROPN	PROPN_KIINNE	finer
Anni-muorin lampi	PROPN	PROPN_SAMPI	finer
Annin Apajalahti	PROPN	PROPN_LAHTI	finer
Annin Apajasaari	PROPN	PROPN_RUUHI	finer
Annin Hörmö	PROPN	PROPN_MÖMMÖ	finer
Annin Jäkälännostamajärvi	PROPN	PROPN_KIVI	finer
Anniversary Games	PROPN	PROPN_PUNK	omorfi
Annun Nuttuniemi	PROPN	PROPN_TAIMI	finer
Ano Lechonia	PROPN	PROPN_KITARA	finer
Ano Lefkimmi	PROPN	PROPN_TYYLI	finer
Ano Synoikia Trikala	PROPN	PROPN_KIRJA	finer
Anonyymit Ylensyöjät	PROPN	PROPN_KÄRÄJÄT	finer
Anorak Agency	PROPN	PROPN_KÄRRY	finer
Anse La Raye	PROPN	PROPN_NISSE	finer
Anssilan Monola	PROPN	PROPN_KITARA	finer
Ansun Härkätunturi	PROPN	PROPN_KANAALI	finer
Antigua Guatemala	PROPN	PROPN_KIRJA	finer
Antigua ja Barbuda	PROPN	PROPN_VOIMA	finer|fiwikt
Antin Ahvenjärvi	PROPN	PROPN_KIVI	finer
Antin Hukkumasaari	PROPN	PROPN_RUUHI	finer
Antin Kotasijajärvi	PROPN	PROPN_KIVI	finer
Antin Pyytämäjärvet	PROPN	PROPN_RIPSET	finer
Antin Saunamaa	PROPN	PROPN_MAA	finer
Antin Säämä	PROPN	PROPN_HÖPÖTTÄJÄ	finer
Antin Taimenjärvi	PROPN	PROPN_KIVI	finer
Antin virta	PROPN	PROPN_KERTA	finer
Antti Kokon mäki	PROPN	PROPN_KÄKI	finer
Antti Sorsa	PROPN	PROPN_VOIMA	finer
Antti-Oulan tieva	PROPN	PROPN_KIRJA	finer
Antti-Petterin vaara	PROPN	PROPN_KIRJA	finer
Antti-raukan maa	PROPN	PROPN_MAA	finer
Antti-vainaan aho	PROPN	PROPN_TALO	finer
Antti-vainaan palo	PROPN	PROPN_TALO	finer
Antti-vainaan saari	PROPN	PROPN_RUUHI	finer
Antti-vainajan räme	PROPN	PROPN_PISTE	finer
Anttilan Hautamaa	PROPN	PROPN_MAA	finer
