continuation	stuffs	stempart	continuations... # <- HEADERS
ADJ_BACK_ILLATIVE_ISIIN			ADJ_BACK_H_PLURALS_ARCHAIC
ADJ_BACK_ILLATIVE_ISIIN	Npl|Xill	{MB}i{MB}sii	ADJ_BACK_POSS
ADJ_BACK_ILLATIVE_ISIIN	Npl|Xill	{MB}i{MB}siin	ADJ_BACK_CLIT_OPT
ADJ_BACK_ILLATIVE_ON	Nsg|Xill	{MB}o	ADJ_BACK_POSS
ADJ_BACK_ILLATIVE_ON	Nsg|Xill	{MB}on	ADJ_BACK_CLIT_OPT
ADJ_BACK_ILLATIVE_ON	Nsg|Xill|Uarch	{MB}ho	ADJ_BACK_POSS
ADJ_BACK_ILLATIVE_ON	Nsg|Xill|Uarch	{MB}hon	ADJ_BACK_CLIT_OPT
ADJ_BACK_ILLATIVE_SEEN	Nsg|Xill	{MB}see	ADJ_BACK_POSS
ADJ_BACK_ILLATIVE_SEEN	Nsg|Xill	{MB}seen	ADJ_BACK_CLIT_OPT
ADJ_BACK_ILLATIVE_UN	Nsg|Xill	{MB}u	ADJ_BACK_POSS
ADJ_BACK_ILLATIVE_UN	Nsg|Xill	{MB}un	ADJ_BACK_CLIT_OPT
ADJ_BACK_ILLATIVE_UN	Nsg|Xill|Uarch	{MB}hu	ADJ_BACK_POSS
ADJ_BACK_ILLATIVE_UN	Nsg|Xill|Uarch	{MB}hun	ADJ_BACK_CLIT_OPT
ADJ_BACK_NOMINATIVE	Nsg|Xnom		ADJ_BACK_CLIT_OPT
ADJ_BACK_PARTITIVE_A_AN	Nsg|Xpar	{MB}a	ADJ_BACK_POSS_AN_CLIT_OPT
ADJ_BACK_PARTITIVE_A_NONSTD	Nsg|Xpar|Unonstd	{MB}a	ADJ_BACK_POSS_CLIT_OPT
ADJ_BACK_PARTITIVE_A	Nsg|Xpar	{MB}a	ADJ_BACK_POSS_CLIT_OPT
ADJ_BACK_PARTITIVE_IA	Npl|Xpar	{MB}i{MB}a	ADJ_BACK_POSS_AN_CLIT_OPT
ADJ_BACK_PARTITIVE_ITA	Npl|Xpar	{MB}i{MB}ta	ADJ_BACK_POSS_AN_CLIT_OPT
ADJ_BACK_PARTITIVE_JA	Npl|Xpar	{MB}j{MB}a	ADJ_BACK_POSS_AN_CLIT_OPT
ADJ_BACK_PARTITIVE_TA_ARCHAIC	Nsg|Xpar|Uarch	{MB}ta	ADJ_BACK_POSS_AN_CLIT_OPT
