Incoming morph	analyses	stem part	continuations...	#<- HEADERS
A_BACK_CLIT_OPT			#	A_BACK_CLIT
A_BACK_PARTITIVE_IA	Npl|Xpar	{MB}i{MB}a	A_BACK_POSS_AN_CLIT_OPT
A_BACK_PARTITIVE_ITA	Npl|Xpar	{MB}i{MB}ta	A_BACK_POSS_AN_CLIT_OPT
A_BACK_PARTITIVE_JA	Npl|Xpar	{MB}j{MB}a	A_BACK_POSS_AN_CLIT_OPT
A_BACK_PARTITIVE_TA	Nsg|Xpar	{MB}ta	A_BACK_POSS_AN_CLIT_OPT
A_BACK_PARTITIVE_TA_ARCHAIC	Nsg|Xpar|Uarch	{MB}ta	A_BACK_POSS_AN_CLIT_OPT
A_BACK_PLNOM_CLIT	Npl|Xnom	{MB}t	A_BACK_CLIT_OPT
A_BACK_PLURALS			A_BACK_STRONG_PLURALS	A_BACK_WEAK_PLURALS
A_BACK_POSS_AN_CLIT_OPT			A_BACK_POSS	A_BACK_POSS_AN	A_BACK_CLIT	#
A_BACK_POSS_AN	O3	{MB}an	A_BACK_CLIT_OPT
A_BACK_POSS_CLIT_OPT			A_BACK_POSS	A_BACK_CLIT	#
A_BACK_POSS_EN_CLIT_OPT			A_BACK_POSS	A_BACK_POSS_EN	A_BACK_CLIT	#
A_BACK_POSS_EN	O3	{MB}en	A_BACK_CLIT_OPT
A_BACK_POSS_EN_OBL			A_BACK_POSS	A_BACK_POSS_EN
A_BACK_POSS	O3	{MB}nsa	A_BACK_CLIT_OPT
A_BACK_POSS	Opl1	{MB}mme	A_BACK_CLIT_OPT
A_BACK_POSS	Opl2	{MB}nne	A_BACK_CLIT_OPT
A_BACK_POSS	Osg1	{MB}ni	A_BACK_CLIT_OPT
A_BACK_POSS	Osg2	{MB}si	A_BACK_CLIT_OPT
A_BACK_SINGULARS			A_BACK_STRONG_SINGULARS	A_BACK_WEAK_SINGULARS
A_BACK_STRONG_PLURALS	Npl|Xess	{MB}ina	A_BACK_POSS_AN_CLIT_OPT
A_BACK_STRONG_PLURALS	Xcom	{MB}ine	A_BACK_POSS_AN_CLIT_OPT
A_BACK_STRONG_SINGULARS	Npl|Xnom		A_BACK_POSS
A_BACK_STRONG_SINGULARS	Nsg|Xess	{MB}na	A_BACK_POSS_AN_CLIT_OPT
A_BACK_STRONG_SINGULARS	Nsg|Xgen		A_BACK_POSS
A_BACK_STRONG_SINGULARS	Nsg|Xnom		A_BACK_POSS
A_BACK_SUPERLATIVE	Din|Csup	{DB}i	A_BACK_SUPERLATIVE_STEMS
A_BACK_SUPERLATIVE_STEMS		{STUB}mma	A_BACK_WEAK_SINGULARS
A_BACK_SUPERLATIVE_STEMS		{STUB}mm	A_BACK_WEAK_PLURALS
A_BACK_SUPERLATIVE_STEMS		{STUB}mpa	A_BACK_STRONG_SINGULARS	A_BACK_ILLATIVE_AN	A_BACK_GENITIVE_IN	A_BACK_PARTITIVE_A_NONSTD
A_BACK_SUPERLATIVE_STEMS		{STUB}mp	A_BACK_STRONG_PLURALS	A_BACK_PARTITIVE_IA	A_BACK_GENITIVE_IEN	A_BACK_ILLATIVE_IIN
A_BACK_SUPERLATIVE_STEMS		{STUB}n	A_BACK_NOMINATIVE	A_BACK_PARTITIVE_TA	A_BACK_GENITIVE_TEN
