# Incoming morph	analyses	stem part	continuations...	#<- HEADERS
V_BACK_DERIV_PCPS	Dva|Dinen	{DB}vai	N_AAKKOSTAMINEN
V_BACK_DERIV_PCPS	Dva	{DB}v	A_AALTOILEVA
V_BACK_DERIV_TUUS	Dtu|Duus	{DB}tuu	N_AAKKOSELLISUUS
V_BACK_DERIV_U	Du	{DB}u	N_SEIKKAILU
V_BACK_DERIV_VUUS	Dva|Duus	{DB}vuu	N_AAKKOSELLISUUS
V_BACK_EINF	Vact|Ie|Xine	{MB}e{MB}ssa	V_BACK_POSS_AN_OPT
V_BACK_EINF	Vact|Ie|Xins	{MB}e{MB}n	V_BACK_CLIT_OPT
V_BACK_IMPERATIVE_ARCHAIC	Vact|Timp|Ppl2|Uarch	{MB}kaa{MB}tten	V_BACK_CLIT_OPT
V_BACK_IMPERATIVE_ARCHAIC	Vact|Timp|Ppl2|Uarch	{MB}kaa{MB}tte	V_BACK_CLIT_OPT
V_BACK_IMPERATIVE_ARCHAIC	Vact|Timp|Psg1|Uarch	{MB}kaa{MB}mi	V_BACK_CLIT_OPT
V_BACK_IMPERATIVE_ARCHAIC	Vact|Timp|Psg1|Uarch	{MB}kaa{MB}ni	V_BACK_CLIT_OPT
V_BACK_IMPERATIVE_ARCHAIC	Vact|Topt|Ppl1|Uarch	{MB}koo{MB}mme	V_BACK_CLIT_OPT
V_BACK_IMPERATIVE_ARCHAIC	Vact|Topt|Psg2|Uarch	{MB}koo{MB}tte	V_BACK_CLIT_OPT
V_BACK_IMPERATIVE	Vact|Timp|Ncon	{MB}ko	V_BACK_CLIT_KIN_KAAN_OPT
V_BACK_IMPERATIVE	Vact|Timp|Ppl1	{MB}kaa{MB}mme	V_BACK_CLIT_OPT
V_BACK_IMPERATIVE	Vact|Timp|Ppl2	{MB}kaa	V_BACK_CLIT_S_OPT
V_BACK_IMPERATIVE	Vact|Timp|Ppl3	{MB}koo{MB}t	V_BACK_CLIT_OPT
V_BACK_IMPERATIVE	Vact|Timp|Ppl3|Uarch	{MB}koho{MB}t	V_BACK_CLIT_OPT
V_BACK_IMPERATIVE	Vact|Timp|Psg3	{MB}koo{MB}n	V_BACK_CLIT_OPT
V_BACK_IMPERATIVE	Vact|Timp|Psg3|Uarch	{MB}koho{MB}n	V_BACK_CLIT_OPT
V_BACK_IMPERATIVE			V_BACK_IMPERATIVE_ARCHAIC
V_BACK_INSTRUCTIVE_POSS	Npl|Xins	{MB}i	V_BACK_POSS
V_BACK_OPTATIVE_0_ARCHAIC	Vact|Topt|Psg1|Uarch	{MB}on	V_BACK_CLIT_OPT
V_BACK_OPTATIVE_0_ARCHAIC	Vact|Topt|Psg2|Uarch	{MB}os	V_BACK_CLIT_OPT
V_BACK_OPTATIVE_K_ARCHAIC	Vact|Topt|Psg1|Uarch	kon	V_BACK_CLIT_OPT
V_BACK_OPTATIVE_K_ARCHAIC	Vact|Topt|Psg2|Uarch	kos	V_BACK_CLIT_OPT
V_BACK_OPTATIVE_L_ARCHAIC	Vact|Topt|Psg1|Uarch	lon	V_BACK_CLIT_OPT
V_BACK_OPTATIVE_L_ARCHAIC	Vact|Topt|Psg2|Uarch	los	V_BACK_CLIT_OPT
V_BACK_OPTATIVE_N_ARCHAIC	Vact|Topt|Psg1|Uarch	non	V_BACK_CLIT_OPT
V_BACK_OPTATIVE_N_ARCHAIC	Vact|Topt|Psg2|Uarch	nos	V_BACK_CLIT_OPT
V_BACK_OPTATIVE_R_ARCHAIC	Vact|Topt|Psg1|Uarch	ron	V_BACK_CLIT_OPT
V_BACK_OPTATIVE_R_ARCHAIC	Vact|Topt|Psg2|Uarch	ros	V_BACK_CLIT_OPT
V_BACK_OPTATIVE_S_ARCHAIC	Vact|Topt|Psg1|Uarch	son	V_BACK_CLIT_OPT
V_BACK_OPTATIVE_S_ARCHAIC	Vact|Topt|Psg2|Uarch	sos	V_BACK_CLIT_OPT
V_BACK_PASSIVE			V_BACK_PASSIVE_DIAL
V_BACK_PASSIVE_DIAL	Vpss|Tcond|Ppe4|Ncon|Udial	{MB}ta{MB}is	V_BACK_CLIT_KIN_KAAN_OPT
V_BACK_PASSIVE_DIAL	Vpss|Tpast|Ppe4|Udial	{MB}tii	V_BACK_CLIT_OPT
V_BACK_PASSIVE	Dtava	{DB}tav	A_SUOLISTETTAVA
V_BACK_PASSIVE_D	Vpss|Tpres|Ppe4	{MB}daan	V_BACK_CLIT_S_OPT
V_BACK_PASSIVE_D	Vpss|Tpres|Ppe4|Ncon	{MB}da	V_BACK_CLIT_KIN_KAAN_OPT
V_BACK_PASSIVE_D	Vpss|Tpres|Ppe4|Uarch	{MB}dahan	V_BACK_CLIT_S_OPT
V_BACK_PASSIVE_L	Vpss|Tpres|Ppe4	{MB}laan	V_BACK_CLIT_S_OPT
V_BACK_PASSIVE_L	Vpss|Tpres|Ppe4|Ncon	{MB}la	V_BACK_CLIT_KIN_KAAN_OPT
V_BACK_PASSIVE_L	Vpss|Tpres|Ppe4|Uarch	{MB}lahan	V_BACK_CLIT_S_OPT
V_BACK_PASSIVE_N	Vpss|Tpres|Ppe4	{MB}naan	V_BACK_CLIT_S_OPT
V_BACK_PASSIVE_N	Vpss|Tpres|Ppe4|Ncon	{MB}na	V_BACK_CLIT_KIN_KAAN_OPT
V_BACK_PASSIVE_N	Vpss|Tpres|Ppe4|Uarch	{MB}nahan	V_BACK_CLIT_S_OPT
V_BACK_PASSIVE_R	Vpss|Tpres|Ppe4|Ncon	{MB}ra	V_BACK_CLIT_KIN_KAAN_OPT
V_BACK_PASSIVE_R	Vpss|Tpres|Ppe4	{MB}raan	V_BACK_CLIT_S_OPT
V_BACK_PASSIVE_R	Vpss|Tpres|Ppe4|Uarch	{MB}rahan	V_BACK_CLIT_S_OPT
V_BACK_PASSIVE_T	Vpss|Tpres|Ppe4|Ncon	{MB}ta	V_BACK_CLIT_KIN_KAAN_OPT
V_BACK_PASSIVE_T	Vpss|Tpres|Ppe4	{MB}taan	V_BACK_CLIT_S_OPT
V_BACK_PASSIVE_T	Vpss|Tpres|Ppe4|Uarch	{MB}tahan	V_BACK_CLIT_S_OPT
V_BACK_PASSIVE	Vpss|Cva|Npl	{MB}ta{MB}va{MB}t	#
V_BACK_PASSIVE	Vpss|Cva|Nsg	{MB}ta{MB}va	#
V_BACK_PASSIVE	Vpss|Ie|Xine	{MB}ta{MB}e{MB}ssa	V_BACK_CLIT_OPT
V_BACK_PASSIVE	Vpss|Ie|Xins	{MB}ta{MB}e{MB}n	V_BACK_CLIT_OPT
V_BACK_PASSIVE	Vpss|Ima|Xins	{MB}ta{MB}man	V_BACK_CLIT_OPT
V_BACK_PASSIVE	Vpss|Tcond|Ppe4|Ncon	{MB}ta{MB}isi	V_BACK_CLIT_KIN_KAAN_OPT
V_BACK_PASSIVE	Vpss|Tcond|Ppe4	{MB}ta{MB}isiin	V_BACK_CLIT_OPT
V_BACK_PASSIVE	Vpss|Timp|Ppe4|Ncon	{MB}ta{MB}ko	V_BACK_CLIT_KIN_KAAN_OPT
V_BACK_PASSIVE	Vpss|Timp|Ppe4	{MB}ta{MB}koon	V_BACK_CLIT_OPT
V_BACK_PASSIVE	Vpss|Timp|Ppe4|Uarch	{MB}ta{MB}kohon	V_BACK_CLIT_OPT
V_BACK_PASSIVE	Vpss|Tpast|Ppe4	{MB}tiin	V_BACK_CLIT_OPT
V_BACK_PASSIVE	Vpss|Tpast|Ppe4|Uarch	{MB}tihin	V_BACK_CLIT_OPT
V_BACK_PASSIVE	Vpss|Tpot|Ppe4|Ncon	{MB}ta{MB}ne	V_BACK_CLIT_KIN_KAAN_OPT
V_BACK_PASSIVE	Vpss|Tpot|Ppe4	{MB}ta{MB}neen	V_BACK_CLIT_OPT
V_BACK_PASSIVE	Vpss|Tpot|Ppe4|Uarch	{MB}ta{MB}nehen	V_BACK_CLIT_OPT
V_BACK_POSS_AN	O3	{MB}an	V_BACK_CLIT_OPT
V_BACK_POSS_AN	O3|Uarch	{MB}han	V_BACK_CLIT_OPT
V_BACK_POSS_AN_OBL			V_BACK_POSS	V_BACK_POSS_AN
V_BACK_POSS_AN_OPT			V_BACK_POSS	V_BACK_POSS_AN	V_BACK_CLIT_OPT
V_BACK_POSS_EN	O3	{MB}en	V_BACK_CLIT_OPT
V_BACK_POSS_EN	O3|Uarch	{MB}hen	V_BACK_CLIT_OPT
