Incoming morph	analyses	stem part	continuations...	#<- HEADERS
PRON_BACK_ILLATIVE_HON	Nsg|Xill	{MB}hon	PRON_BACK_CLIT_OPT
PRON_BACK_ILLATIVE_HON_OPTPOSS	Nsg|Xill	{MB}hon	PRON_BACK_CLIT_OPT
PRON_BACK_ILLATIVE_HON_OPTPOSS	Nsg|Xill	{MB}ho	PRON_BACK_POSS
PRON_BACK_ILLATIVE_HUN	Nsg|Xill	{MB}hun	PRON_BACK_CLIT_OPT
PRON_BACK_ILLATIVE_HUN_OPTPOSS	Nsg|Xill	{MB}hun	PRON_BACK_CLIT_OPT
PRON_BACK_ILLATIVE_HUN_OPTPOSS	Nsg|Xill	{MB}hu	PRON_BACK_POSS
PRON_BACK_ILLATIVE_IHIN	Npl|Xill	{MB}i{MB}hin	PRON_BACK_CLIT_OPT
PRON_BACK_ILLATIVE_IHIN_OPTPOSS	Npl|Xill	{MB}i{MB}hin	PRON_BACK_CLIT_OPT
PRON_BACK_ILLATIVE_IHIN_OPTPOSS	Npl|Xill	{MB}i{MB}hi	PRON_BACK_POSS
PRON_BACK_ILLATIVE_IIN	Npl|Xill	{MB}i{MB}in	PRON_BACK_CLIT_OPT
PRON_BACK_ILLATIVE_IIN_OPTPOSS	Npl|Xill	{MB}i{MB}in	PRON_BACK_CLIT_OPT
PRON_BACK_ILLATIVE_IIN_OPTPOSS	Npl|Xill	{MB}i{MB}i	PRON_BACK_POSS
PRON_BACK_ILLATIVE_IN	Nsg|Xill	{MB}in	PRON_BACK_CLIT_OPT
PRON_BACK_ILLATIVE_IN_OPTPOSS	Nsg|Xill	{MB}in	PRON_BACK_CLIT_OPT
PRON_BACK_ILLATIVE_IN_OPTPOSS	Nsg|Xill	{MB}i	PRON_BACK_POSS
PRON_BACK_ILLATIVE_ISIIN	Npl|Xill	{MB}i{MB}siin	PRON_FRONT_CLIT_OPT
PRON_BACK_ILLATIVE_ISIIN_OPTPOSS	Npl|Xill	{MB}i{MB}siin	PRON_FRONT_CLIT_OPT
PRON_BACK_ILLATIVE_ISIIN_OPTPOSS	Npl|Xill	{MB}i{MB}sii	PRON_BACK_POSS
PRON_BACK_ILLATIVE_ON	Nsg|Xill	{MB}on	PRON_BACK_CLIT_OPT
PRON_BACK_ILLATIVE_ON_OPTPOSS	Nsg|Xill	{MB}on	PRON_BACK_CLIT_OPT
PRON_BACK_ILLATIVE_ON_OPTPOSS	Nsg|Xill	{MB}o	PRON_BACK_POSS
PRON_BACK_ILLATIVE_SEEN	Nsg|Xill	{MB}seen	PRON_BACK_CLIT_OPT
PRON_BACK_ILLATIVE_SEEN_OPTPOSS	Nsg|Xill	{MB}seen	PRON_BACK_CLIT_OPT
PRON_BACK_ILLATIVE_SEEN_OPTPOSS	Nsg|Xill	{MB}see	PRON_BACK_POSS
PRON_BACK_ILLATIVE_UN	Nsg|Xill	{MB}un	PRON_BACK_CLIT_OPT
PRON_BACK_ILLATIVE_UN_OPTPOSS	Nsg|Xill	{MB}un	PRON_BACK_CLIT_OPT
PRON_BACK_ILLATIVE_UN_OPTPOSS	Nsg|Xill	{MB}u	PRON_BACK_POSS
PRON_BACK_NOMINATIVE	Nsg|Xnom		PRON_BACK_CLIT_OPT
PRON_BACK_PARTITIVE_A_AN	Nsg|Xpar		PRON_BACK_POSS_AN
PRON_BACK_PARTITIVE_A_AN	Nsg|Xpar	{MB}a	PRON_BACK_POSS_OPT
PRON_BACK_PARTITIVE_A	Nsg|Xpar	{MB}a	PRON_BACK_CLIT_OPT
PRON_BACK_PARTITIVE_A_OPTPOSS	Nsg|Xpar	{MB}a	PRON_BACK_POSS_OPT
PRON_BACK_PARTITIVE_IA	Npl|Xpar	{MB}i{MB}a	PRON_BACK_CLIT_OPT
PRON_BACK_PARTITIVE_IA_OPTPOSS	Npl|Xpar	{MB}i{MB}a	PRON_BACK_POSS_AN_OPT
PRON_BACK_PARTITIVE_ITA	Npl|Xpar	{MB}i{MB}ta	PRON_BACK_CLIT_OPT
PRON_BACK_PARTITIVE_ITA_OPTPOSS	Npl|Xpar	{MB}i{MB}ta	PRON_BACK_POSS_AN_OPT
PRON_BACK_PARTITIVE_JA	Npl|Xpar	{MB}j{MB}a	PRON_BACK_CLIT_OPT
PRON_BACK_PARTITIVE_JA_OPTPOSS	Npl|Xpar	{MB}j{MB}a	PRON_BACK_POSS_AN_OPT
PRON_BACK_PARTITIVE_TA	Nsg|Xpar	{MB}ta	PRON_BACK_CLIT_OPT
PRON_BACK_PARTITIVE_TA_OPTPOSS	Nsg|Xpar	{MB}ta	PRON_BACK_POSS_AN_OPT
PRON_BACK_PLNOM_0	Npl|Xnom		PRON_BACK_CLIT_OPT
PRON_BACK_PLNOM_T	Npl|Xnom	{MB}t	PRON_BACK_CLIT_OPT
PRON_BACK_PLURALS			PRON_BACK_STRONG_PLURALS	PRON_BACK_WEAK_PLURALS
PRON_BACK_PLURALS_OPTPOSS			PRON_BACK_STRONG_PLURALS_OPTPOSS	PRON_BACK_WEAK_PLURALS_OPTPOSS
PRON_BACK_POSS_AN	O3	{MB}an	PRON_BACK_CLIT_OPT
PRON_BACK_POSS_AN_OPT			PRON_BACK_POSS	PRON_BACK_POSS_AN	PRON_BACK_CLIT	#
PRON_BACK_POSS_EN	O3	{MB}en	PRON_BACK_CLIT_OPT
PRON_BACK_POSS_EPRON_OBL			PRON_BACK_POSS	PRON_BACK_POSS_EN
PRON_BACK_POSS_EPRON_OPT			PRON_BACK_POSS	PRON_BACK_POSS_EN	PRON_BACK_CLIT	#
PRON_BACK_POSS	O3	{MB}nsa	PRON_BACK_CLIT_OPT
PRON_BACK_POSS	Opl1	{MB}mme	PRON_BACK_CLIT_OPT
PRON_BACK_POSS	Opl2	{MB}nne	PRON_BACK_CLIT_OPT
PRON_BACK_POSS_OPT			PRON_BACK_POSS	PRON_BACK_CLIT	#
PRON_BACK_POSS	Osg1	{MB}ni	PRON_BACK_CLIT_OPT
PRON_BACK_POSS	Osg2	{MB}si	PRON_BACK_CLIT_OPT
PRON_BACK_SINGULARS			PRON_BACK_STRONG_SINGULARS	PRON_BACK_WEAK_SINGULARS
PRON_BACK_SINGULARS_OPTPOSS			PRON_BACK_STRONG_SINGULARS_OPTPOSS	PRON_BACK_WEAK_SINGULARS_OPTPOSS
PRON_BACK_STRONG_PLURALS	Npl|Xess	{MB}i{MB}na	PRON_BACK_CLIT_OPT
PRON_BACK_STRONG_PLURALS_OPTPOSS	Npl|Xess	{MB}i{MB}na	PRON_BACK_POSS_AN_OPT
PRON_BACK_STRONG_PLURALS_OPTPOSS	Xcom	{MB}i{MB}ne	PRON_BACK_POSS_EPRON_OPT
PRON_BACK_STRONG_PLURALS	Xcom	{MB}i{MB}ne	PRON_BACK_CLIT_OPT
PRON_BACK_STRONG_SINGULARS	Nsg|Xess	{MB}na	PRON_BACK_CLIT_OPT
PRON_BACK_STRONG_SINGULARS_OPTPOSS	Npl|Xnom		PRON_BACK_POSS
PRON_BACK_STRONG_SINGULARS_OPTPOSS	Nsg|Xess	{MB}na	PRON_BACK_POSS_AN_OPT
PRON_BACK_STRONG_SINGULARS_OPTPOSS	Nsg|Xgen		PRON_BACK_POSS
PRON_BACK_STRONG_SINGULARS_OPTPOSS	Nsg|Xnom		PRON_BACK_POSS
PRON_BACK_WEAK_PLURALS	Npl|Xabe	{MB}i{MB}tta	PRON_BACK_CLIT_OPT
PRON_BACK_WEAK_PLURALS	Npl|Xabl	{MB}i{MB}lta	PRON_BACK_CLIT_OPT
PRON_BACK_WEAK_PLURALS	Npl|Xade	{MB}i{MB}lla	PRON_BACK_CLIT_OPT
PRON_BACK_WEAK_PLURALS	Npl|Xall	{MB}i{MB}lle	PRON_BACK_CLIT_OPT
PRON_BACK_WEAK_PLURALS	Npl|Xela	{MB}i{MB}sta	PRON_BACK_CLIT_OPT
PRON_BACK_WEAK_PLURALS	Npl|Xine	{MB}i{MB}ssa	PRON_BACK_CLIT_OPT
PRON_BACK_WEAK_PLURALS	Npl|Xins	{MB}i{MB}n	PRON_BACK_CLIT_OPT
PRON_BACK_WEAK_PLURALS	Npl|Xtra	{MB}i{MB}ksi	PRON_BACK_CLIT_OPT
PRON_BACK_WEAK_PLURALS_OPTPOSS	Npl|Xabe	{MB}i{MB}tta	PRON_BACK_POSS_AN_OPT
PRON_BACK_WEAK_PLURALS_OPTPOSS	Npl|Xabl	{MB}i{MB}lta	PRON_BACK_POSS_AN_OPT
PRON_BACK_WEAK_PLURALS_OPTPOSS	Npl|Xade	{MB}i{MB}lla	PRON_BACK_POSS_AN_OPT
PRON_BACK_WEAK_PLURALS_OPTPOSS	Npl|Xall	{MB}i{MB}lle	PRON_BACK_POSS_EPRON_OPT
PRON_BACK_WEAK_PLURALS_OPTPOSS	Npl|Xela	{MB}i{MB}sta	PRON_BACK_POSS_AN_OPT
PRON_BACK_WEAK_PLURALS_OPTPOSS	Npl|Xine	{MB}i{MB}ssa	PRON_BACK_POSS_AN_OPT
PRON_BACK_WEAK_PLURALS_OPTPOSS	Npl|Xins	{MB}i{MB}n	PRON_BACK_CLIT_OPT
PRON_BACK_WEAK_PLURALS_OPTPOSS	Npl|Xtra	{MB}i{MB}kse	PRON_BACK_POSS_EPRON_OBL
PRON_BACK_WEAK_PLURALS_OPTPOSS	Npl|Xtra	{MB}i{MB}ksi	PRON_BACK_CLIT_OPT
PRON_BACK_WEAK_SINGULARS			PRON_BACK_PLNOM_T
PRON_BACK_WEAK_SINGULARS	Nsg|Xabe	{MB}tta	PRON_BACK_CLIT_OPT
PRON_BACK_WEAK_SINGULARS	Nsg|Xabl	{MB}lta	PRON_BACK_CLIT_OPT
PRON_BACK_WEAK_SINGULARS	Nsg|Xade	{MB}lla	PRON_BACK_CLIT_OPT
PRON_BACK_WEAK_SINGULARS	Nsg|Xall	{MB}lle	PRON_BACK_CLIT_OPT
PRON_BACK_WEAK_SINGULARS	Nsg|Xela	{MB}sta	PRON_BACK_CLIT_OPT
PRON_BACK_WEAK_SINGULARS	Nsg|Xine	{MB}ssa	PRON_BACK_CLIT_OPT
PRON_BACK_WEAK_SINGULARS	Nsg|Xtra	{MB}ksi	PRON_BACK_CLIT_OPT
PRON_BACK_WEAK_SINGULARS_OPTPOSS			PRON_BACK_PLNOM_T
PRON_BACK_WEAK_SINGULARS_OPTPOSS	Nsg|Xabe	{MB}tta	PRON_BACK_POSS_AN_OPT
PRON_BACK_WEAK_SINGULARS_OPTPOSS	Nsg|Xabl	{MB}lta	PRON_BACK_POSS_AN_OPT
PRON_BACK_WEAK_SINGULARS_OPTPOSS	Nsg|Xade	{MB}lla	PRON_BACK_POSS_AN_OPT
PRON_BACK_WEAK_SINGULARS_OPTPOSS	Nsg|Xall	{MB}lle	PRON_BACK_POSS_EPRON_OPT
PRON_BACK_WEAK_SINGULARS_OPTPOSS	Nsg|Xela	{MB}sta	PRON_BACK_POSS_AN_OPT
PRON_BACK_WEAK_SINGULARS_OPTPOSS	Nsg|Xine	{MB}ssa	PRON_BACK_POSS_AN_OPT
PRON_BACK_WEAK_SINGULARS_OPTPOSS	Nsg|Xtra	{MB}kse	PRON_BACK_POSS_EPRON_OBL
PRON_BACK_WEAK_SINGULARS_OPTPOSS	Nsg|Xtra	{MB}ksi	PRON_BACK_CLIT_OPT
PRON_FRONT_ACCUSATIVE_T	Nsg|Xacc	{MB}t	PRON_FRONT_CLIT_OPT
PRON_FRONT_CLIT_OPT			#	PRON_FRONT_CLIT
PRON_FRONT_CLIT_OPT_KA_S			#	PRON_FRONT_CLIT	PRON_FRONT_CLIT_S	PRON_FRONT_CLIT_KA
PRON_FRONT_CLIT_OPT_S			#	PRON_FRONT_CLIT	PRON_FRONT_CLIT_S
PRON_FRONT_CLIT	Qhan	{MB}hän	#
PRON_FRONT_CLIT	Qhan|Qkaan	{MB}hän{MB}kään	#
PRON_FRONT_CLIT	Qhan|Qko	{MB}hän{MB}kö	#
PRON_FRONT_CLIT	Qhan|Qpa	{MB}hän{MB}pä	#
PRON_FRONT_CLIT	Qkaan	{MB}kään	#
PRON_FRONT_CLIT	Qkaan|Qhan	{MB}kään{MB}hän	#
PRON_FRONT_CLIT	Qkaan|Qkin	{MB}kään{MB}kin	#
PRON_FRONT_CLIT	Qkaan|Qko	{MB}kään{MB}kö	#
PRON_FRONT_CLIT	Qkaan|Qpa	{MB}kään{MB}pä	#
PRON_FRONT_CLIT	Qkin	{MB}kin	#
PRON_FRONT_CLIT	Qkin|Qhan	{MB}kin{MB}hän	#
PRON_FRONT_CLIT	Qkin|Qkaan	{MB}kin{MB}kään	#
PRON_FRONT_CLIT	Qkin|Qko	{MB}kin{MB}kö	#
PRON_FRONT_CLIT	Qkin|Qpa	{MB}kin{MB}pä	#
PRON_FRONT_CLIT	Qko	{MB}kö	#
PRON_FRONT_CLIT	Qko|Qhan	{MB}kö{MB}hän	#
PRON_FRONT_CLIT	Qko|Qkaan	{MB}kö{MB}kään	#
PRON_FRONT_CLIT	Qko|Qkin	{MB}kö{MB}kin	#
PRON_FRONT_CLIT	Qko|Qpa	{MB}kö{MB}pä	#
PRON_FRONT_CLIT	Qko|Qs	{MB}kö{MB}s	#
PRON_FRONT_CLIT	Qpa	{MB}pä	#
PRON_FRONT_CLIT	Qpa|Qhan	{MB}pä{MB}hän	#
PRON_FRONT_CLIT	Qpa|Qkaan	{MB}pä{MB}kään	#
PRON_FRONT_CLIT	Qpa|Qkin	{MB}pä{MB}kin	#
PRON_FRONT_CLIT	Qpa|Qko	{MB}pä{MB}kö	#
PRON_FRONT_CLIT	Qpa|Qs	{MB}pä{MB}s	#
PRON_FRONT_CLIT_KA	Qka	{MB}kä	#	PRON_FRONT_CLIT_S
PRON_FRONT_CLIT_S	Qs	{MB}s	#
PRON_FRONT_GENITIVE_IDEN	Npl|Xgen	{MB}i{MB}den	PRON_FRONT_CLIT_OPT
PRON_FRONT_GENITIVE_IDEN_OPTPOSS	Npl|Xgen	{MB}i{MB}den	PRON_FRONT_CLIT_OPT
PRON_FRONT_GENITIVE_IDEN_OPTPOSS	Npl|Xgen	{MB}i{MB}de	PRON_FRONT_POSS
PRON_FRONT_GENITIVE_IEN	Npl|Xgen	{MB}i{MB}en	PRON_FRONT_CLIT_OPT
PRON_FRONT_GENITIVE_IEN_OPTPOSS	Npl|Xgen	{MB}i{MB}en	PRON_FRONT_CLIT_OPT
PRON_FRONT_GENITIVE_IEN_OPTPOSS	Npl|Xgen	{MB}i{MB}e	PRON_FRONT_POSS
PRON_FRONT_GENITIVE_IN	Npl|Xgen|Uarch	{MB}i{MB}n	PRON_FRONT_CLIT_OPT
PRON_FRONT_GENITIVE_IN_OPTPOSS	Npl|Xgen|Uarch	{MB}i{MB}n	PRON_FRONT_CLIT_OPT
PRON_FRONT_GENITIVE_IN_OPTPOSS	Npl|Xgen|Uarch	{MB}i	PRON_FRONT_POSS
PRON_FRONT_GENITIVE_ITTEN	Npl|Xgen	{MB}i{MB}tten	PRON_FRONT_CLIT_OPT
PRON_FRONT_GENITIVE_ITTEN_OPTPOSS	Npl|Xgen	{MB}i{MB}tten	PRON_FRONT_CLIT_OPT
PRON_FRONT_GENITIVE_ITTEN_OPTPOSS	Npl|Xgen	{MB}i{MB}tte	PRON_FRONT_POSS
PRON_FRONT_GENITIVE_JEN	Npl|Xgen	{MB}j{MB}en	PRON_FRONT_CLIT_OPT
PRON_FRONT_GENITIVE_JEN_OPTPOSS	Npl|Xgen	{MB}j{MB}en	PRON_FRONT_CLIT_OPT
PRON_FRONT_GENITIVE_JEN_OPTPOSS	Npl|Xgen	{MB}j{MB}e	PRON_FRONT_POSS
PRON_FRONT_GENITIVE_N	Nsg|Xgen	{MB}n	PRON_FRONT_CLIT_OPT
PRON_FRONT_GENITIVE_TEN	Npl|Xgen	{MB}ten	PRON_FRONT_CLIT_OPT
PRON_FRONT_GENITIVE_TEN_OPTPOSS	Npl|Xgen	{MB}ten	PRON_FRONT_CLIT_OPT
PRON_FRONT_GENITIVE_TEN_OPTPOSS	Npl|Xgen	{MB}te	PRON_FRONT_POSS
PRON_FRONT_ILLATIVE_EN	Nsg|Xill	{MB}en	PRON_FRONT_CLIT_OPT
PRON_FRONT_ILLATIVE_EN_OPTPOSS	Nsg|Xill	{MB}en	PRON_FRONT_CLIT_OPT
PRON_FRONT_ILLATIVE_EN_OPTPOSS	Nsg|Xill	{MB}e	PRON_FRONT_POSS
PRON_FRONT_ILLATIVE_HEN	Nsg|Xill	{MB}hen	PRON_FRONT_CLIT_OPT
PRON_FRONT_ILLATIVE_HEN_OPTPOSS	Nsg|Xill	{MB}hen	PRON_FRONT_CLIT_OPT
