new_para	lemma	stuff	gloss
A_ÖYKKÄRI	öykkärejä	öykkäri|ADJECTIVE|Npl|Xpar	
A_ÖYKKÄRI	öykkäreiden	öykkäri|ADJECTIVE|Npl|Xgen	
A_ÖYKKÄRI	öykkärimpi	öykkäri|ADJECTIVE|Ccmp|Nsg|Xnom	
A_ÖYKKÄRI	öykkärein	öykkkäri|ADJECTIVE|Csup|Nsg|Xnom	
A_AAVA	aava	aava|ADJECTIVE|Nsg|Xnom	open (of fields, plains) 
A_AAVA	aavaa	aava|ADJECTIVE|Nsg|Xpar	
A_AAVA	aavana	aava|ADJECTIVE|Nsg|Xess	
A_AAVA	aavassa	aava|ADJECTIVE|Nsg|Xine	
A_AAVA	aavoina	aava|ADJECTIVE|Npl|Xess	
A_AAVA	aavojen	aava|ADJECTIVE|Npl|Xgen	
A_AAVA	aavoihin	aava|ADJECTIVE|Npl|Xill	
A_AAVA	aavempi	aava|ADJECTIVE|Ccmp|Nsg|Xnom	
A_AAVA	aavoin	aava|ADJECTIVE|Csup|Nsg|Xnom	
A_TARKKA	tarkka	tarkka|ADJECTIVE|Nsg|Xnom	pedantic 
A_TARKKA	tarkkaa	tarkka|ADJECTIVE|Nsg|Xpar	
A_TARKKA	tarkkana	tarkka|ADJECTIVE|Nsg|Xess	
A_TARKKA	tarkassa	tarkka|ADJECTIVE|Nsg|Xine	
A_TARKKA	tarkkoina	tarkka|ADJECTIVE|Npl|Xess	
A_TARKKA	tarkkojen	tarkka|ADJECTIVE|Npl|Xgen	
A_TARKKA	tarkkoihin	tarkka|ADJECTIVE|Npl|Xill	
A_TARKKA	tarkempi	tarkka|ADJECTIVE|Ccmp|Nsg|Xnom	
A_TARKKA	tarkoin	tarkka|Csup|Nsg|Xnom	
A_MATTA	matta	matta|ADJECTIVE|Nsg|Xnom	matta 
A_MATTA	mattaa	matta|ADJECTIVE|Nsg|Xpar	
A_MATTA	mattana	matta|ADJECTIVE|Nsg|Xess	
A_MATTA	matassa	matta|ADJECTIVE|Nsg|Xine	
A_MATTA	mattoina	matta|ADJECTIVE|Npl|Xess	
A_MATTA	mattojen	matta|ADJECTIVE|Npl|Xgen	
A_MATTA	mattoihin	matta|ADJECTIVE|Npl|Xill	
A_MATTA	matempi	matta|ADJECTIVE|Ccmp|Nsg|Xnom	
A_MATTA	matoin	matta|ADJECTIVE|Csup|Nsg|Xnom	
A_HALPA	halpa	halpa|ADJECTIVE|Nsg|Xnom	cheap 
A_HALPA	halpaa	halpa|ADJECTIVE|Nsg|Xpar	
A_HALPA	halpana	halpa|ADJECTIVE|Nsg|Xess	
A_HALPA	halvassa	halpa|ADJECTIVE|Nsg|Xine	
A_HALPA	halpoina	halpa|ADJECTIVE|Npl|Xess	
A_HALPA	halpojen	halpa|ADJECTIVE|Npl|Xgen	
A_HALPA	halpoihin	halpa|ADJECTIVE|Npl|Xill	
A_HALPA	halvempi	halpa|ADJECTIVE|Ccmp|Nsg|Xnom	
A_HALPA	halvoin	halpa|ADJECTIVE|Csup|Nsg|Xnom	
A_EHTA	ehta	ehta|ADJECTIVE|Nsg|Xnom	legit 
A_EHTA	ehtaa	ehta|ADJECTIVE|Nsg|Xpar	
A_EHTA	ehtana	ehta|ADJECTIVE|Nsg|Xess	
A_EHTA	ehdassa	ehta|ADJECTIVE|Nsg|Xine	
A_EHTA	ehtoina	ehta|ADJECTIVE|Npl|Xess	
A_EHTA	ehtojen	ehta|ADJECTIVE|Npl|Xgen	
A_EHTA	ehtoihin	ehta|ADJECTIVE|Npl|Xill	
A_EHTA	ehdampi	ehta|ADJECTIVE|Ccmp|Nsg|Xnom	
A_EHTA	ehdoin	ehta|ADJECTIVE|Csup|Nsg|Xnom	
A_RAMPA	rampa	rampa|ADJECTIVE|Nsg|Xnom	crippled 
A_RAMPA	rampaa	rampa|ADJECTIVE|Nsg|Xpar	
A_RAMPA	rampana	rampa|ADJECTIVE|Nsg|Xess	
A_RAMPA	rammassa	rampa|ADJECTIVE|Nsg|Xine	
A_RAMPA	rampoina	rampa|ADJECTIVE|Npl|Xess	
A_RAMPA	rampojen	rampa|ADJECTIVE|Npl|Xgen	
A_RAMPA	rampoihin	rampa|ADJECTIVE|Npl|Xill	
A_RAMPA	rammempi	rampa|ADJECTIVE|Ccmp|Nsg|Xnom	
A_RAMPA	rammoin	rampa|ADJECTIVE|Csup|Nsg|Xnom	
A_VIHANTA	vihanta	vihanta|ADJECTIVE|Nsg|Xnom	blooming 
A_VIHANTA	vihantaa	vihanta|ADJECTIVE|Nsg|Xpar	
A_VIHANTA	vihantana	vihanta|ADJECTIVE|Nsg|Xess	
A_VIHANTA	vihannassa	vihanta|ADJECTIVE|Nsg|Xine	
A_VIHANTA	vihantoina	vihanta|ADJECTIVE|Npl|Xess	
A_VIHANTA	vihantojen	vihanta|ADJECTIVE|Npl|Xgen	
A_VIHANTA	vihantoihin	vihanta|ADJECTIVE|Npl|Xill	
A_VIHANTA	vihannampi	vihanta|ADJECTIVE|Ccmp|Nsg|Xnom	
A_VIHANTA	vihannoin	vihanta|ADJECTIVE|Csup|Nsg|Xnom	
A_AALTOILEVA	aaltoileva	aaltoileva|ADJECTIVE|Nsg|Xnom	wavy 
A_AALTOILEVA	aaltoilevaa	aaltoileva|ADJECTIVE|Nsg|Xpar	
A_AALTOILEVA	aaltoilevana	aaltoileva|ADJECTIVE|Nsg|Xess	
A_AALTOILEVA	aaltoilevassa	aaltoileva|ADJECTIVE|Nsg|Xine	
A_AALTOILEVA	aaltoilevina	aaltoileva|ADJECTIVE|Npl|Xess	
A_AALTOILEVA	aaltoilevien	aaltoileva|ADJECTIVE|Npl|Xgen	
A_AALTOILEVA	aaltoileviin	aaltoileva|ADJECTIVE|Npl|Xill	
A_AALTOILEVA	aaltoilevampi	aaltoileva|ADJECTIVE|Ccmp|Nsg|Xnom	
A_AALTOILEVA	aaltoilevin	aaltoileva|ADJECTIVE|Csup|Nsg|Xnom	
A_TYÖLLISTETTÄVÄ	työllistettävä	työllistettävä|ADJECTIVE|Nsg|Xnom	employable 
A_TYÖLLISTETTÄVÄ	työllistettävää	työllistettävä|ADJECTIVE|Nsg|Xpar	
A_TYÖLLISTETTÄVÄ	työllistettävänä	työllistettävä|ADJECTIVE|Nsg|Xess	
A_TYÖLLISTETTÄVÄ	työllistettävässä	työllistettävä|ADJECTIVE|Nsg|Xine	
A_TYÖLLISTETTÄVÄ	työllistettävinä	työllistettävä|ADJECTIVE|Npl|Xess	
A_TYÖLLISTETTÄVÄ	työllistettävien	työllistettävä|ADJECTIVE|Npl|Xgen	
A_TYÖLLISTETTÄVÄ	työllistettäviin	työllistettävä|ADJECTIVE|Npl|Xill	
A_TYÖLLISTETTÄVÄ	työllistettävämpi	työllistettävä|ADJECTIVE|Ccmp|Nsg|Xnom	
A_TYÖLLISTETTÄVÄ	työllistettävin	työllistettävä|ADJECTIVE|Csup|Nsg|Xnom	
A_RUMA	ruma	ruma|ADJECTIVE|Nsg|Xnom	ugly 
A_RUMA	rumaa	ruma|ADJECTIVE|Nsg|Xpar	
A_RUMA	rumana	ruma|ADJECTIVE|Nsg|Xess	
A_RUMA	rumassa	ruma|ADJECTIVE|Nsg|Xine	
A_RUMA	rumina	ruma|ADJECTIVE|Npl|Xess	
A_RUMA	rumien	ruma|ADJECTIVE|Npl|Xgen	
A_RUMA	rumiin	ruma|ADJECTIVE|Npl|Xill	
A_RUMA	rumempi	ruma|ADJECTIVE|Ccmp|Nsg|Xnom	
A_RUMA	rumin	ruma|ADJECTIVE|Csup|Nsg|Xnom	
A_TYHMÄ	tyhmä	tyhmä|ADJECTIVE|Nsg|Xnom	stupid 
A_TYHMÄ	tyhmää	tyhmä|ADJECTIVE|Nsg|Xpar	
A_TYHMÄ	tyhmänä	tyhmä|ADJECTIVE|Nsg|Xess	
A_TYHMÄ	tyhmässä	tyhmä|ADJECTIVE|Nsg|Xine	
A_TYHMÄ	tyhminä	tyhmä|ADJECTIVE|Npl|Xess	
A_TYHMÄ	tyhmien	tyhmä|ADJECTIVE|Npl|Xgen	
A_TYHMÄ	tyhmiin	tyhmä|ADJECTIVE|Npl|Xill	
A_TYHMÄ	tyhmempi	tyhmä|ADJECTIVE|Ccmp|Nsg|Xnom	
A_TYHMÄ	tyhmin	tyhmä|ADJECTIVE|Csup|Nsg|Xnom	
A_HOIKKA	hoikka	hoikka|ADJECTIVE|Nsg|Xnom	slim 
A_HOIKKA	hoikkaa	hoikka|ADJECTIVE|Nsg|Xpar	
A_HOIKKA	hoikkana	hoikka|ADJECTIVE|Nsg|Xess	
A_HOIKKA	hoikassa	hoikka|ADJECTIVE|Nsg|Xine	
A_HOIKKA	hoikkina	hoikka|ADJECTIVE|Npl|Xess	
A_HOIKKA	hoikissa	hoikka|ADJECTIVE|Npl|Xine	
A_HOIKKA	hoikkien	hoikka|ADJECTIVE|Npl|Xgen	
A_MYKKÄ	mykkä	mykkä|ADJECTIVE|Nsg|Xnom	mute 
A_MYKKÄ	mykkää	mykkä|ADJECTIVE|Nsg|Xpar	
A_MYKKÄ	mykkänä	mykkä|ADJECTIVE|Nsg|Xess	
A_MYKKÄ	mykässä	mykkä|ADJECTIVE|Nsg|Xine	
A_MYKKÄ	mykkinä	mykkä|ADJECTIVE|Npl|Xess	
A_MYKKÄ	mykissä	mykkä|ADJECTIVE|Npl|Xine	
A_MYKKÄ	mykkien	mykkä|ADJECTIVE|Npl|Xgen	
A_POPPA	poppa	poppa|ADJECTIVE|Nsg|Xnom	hocus-pocus 
A_POPPA	poppaa	poppa|ADJECTIVE|Nsg|Xpar	
A_POPPA	poppana	poppa|ADJECTIVE|Nsg|Xess	
A_POPPA	popassa	poppa|ADJECTIVE|Nsg|Xine	
A_POPPA	poppina	poppa|ADJECTIVE|Npl|Xess	
A_POPPA	popissa	poppa|ADJECTIVE|Npl|Xine	
A_POPPA	poppien	poppa|ADJECTIVE|Npl|Xgen	
A_HÖMPPÄ	hömppä	hömppä|ADJECTIVE|Nsg|Xnom	bogus 
A_HÖMPPÄ	hömppää	hömppä|ADJECTIVE|Nsg|Xpar	
A_HÖMPPÄ	hömppänä	hömppä|ADJECTIVE|Nsg|Xess	
A_HÖMPPÄ	hömpässä	hömppä|ADJECTIVE|Nsg|Xine	
A_HÖMPPÄ	hömppinä	hömppä|ADJECTIVE|Npl|Xess	
A_HÖMPPÄ	hömpissä	hömppä|ADJECTIVE|Npl|Xine	
A_HÖMPPÄ	hömppien	hömppä|ADJECTIVE|Npl|Xgen	
A_VOIPA	voipa	voipa|ADJECTIVE|Nsg|Xnom	capable 
A_VOIPA	voipaa	voipa|ADJECTIVE|Nsg|Xpar	
A_VOIPA	voipana	voipa|ADJECTIVE|Nsg|Xess	
A_VOIPA	voivassa	voipa|ADJECTIVE|Nsg|Xine	
A_VOIPA	voipina	voipa|ADJECTIVE|Npl|Xess	
A_VOIPA	voivissa	voipa|ADJECTIVE|Npl|Xine	
A_VOIPA	voipien	voipa|ADJECTIVE|Npl|Xgen	
A_KÄYPÄ	käypä	käypä|ADJECTIVE|Nsg|Xnom	"good enough" 
A_KÄYPÄ	käypää	käypä|ADJECTIVE|Nsg|Xpar	
A_KÄYPÄ	käypänä	käypä|ADJECTIVE|Nsg|Xess	
A_KÄYPÄ	käyvässä	käypä|ADJECTIVE|Nsg|Xine	
A_KÄYPÄ	käypinä	käypä|ADJECTIVE|Npl|Xess	
A_KÄYPÄ	käyvissä	käypä|ADJECTIVE|Npl|Xine	
A_KÄYPÄ	käypien	käypä|ADJECTIVE|Npl|Xgen	
A_MÄTÄ	mätä	mätä|ADJECTIVE|Nsg|Xnom	rotten 
A_MÄTÄ	mätää	mätä|ADJECTIVE|Nsg|Xpar	
A_MÄTÄ	mätänä	mätä|ADJECTIVE|Nsg|Xess	
A_MÄTÄ	mädässä	mätä|ADJECTIVE|Nsg|Xine	
A_MÄTÄ	mätinä	mätä|ADJECTIVE|Npl|Xess	
A_MÄTÄ	mädissä	mätä|ADJECTIVE|Npl|Xine	
A_MÄTÄ	mätien	mätä|ADJECTIVE|Npl|Xgen	
A_SANKA	sanka	sanka|ADJECTIVE|Nsg|Xnom	??? 
A_SANKA	sankaa	sanka|ADJECTIVE|Nsg|Xpar	
A_SANKA	sankana	sanka|ADJECTIVE|Nsg|Xess	
A_SANKA	sangassa	sanka|ADJECTIVE|Nsg|Xine	
A_SANKA	sankina	sanka|ADJECTIVE|Npl|Xess	
A_SANKA	sangissa	sanka|ADJECTIVE|Npl|Xine	
A_SANKA	sankien	sanka|ADJECTIVE|Npl|Xgen	
A_VÄNKÄ	vänkä	vänkä|ADJECTIVE|Nsg|Xnom	goofy 
A_VÄNKÄ	vänkää	vänkä|ADJECTIVE|Nsg|Xpar	
A_VÄNKÄ	vänkänä	vänkä|ADJECTIVE|Nsg|Xess	
A_VÄNKÄ	vängässä	vänkä|ADJECTIVE|Nsg|Xine	
A_VÄNKÄ	vängissä	vänkä|ADJECTIVE|Npl|Xine	
A_VÄNKÄ	vänkiin	vänkä|ADJECTIVE|Npl|Xill	
A_KULTA	kulta	kulta|ADJECTIVE|Nsg|Xnom	dear 
A_KULTA	kultaa	kulta|ADJECTIVE|Nsg|Xpar	
A_KULTA	kultana	kulta|ADJECTIVE|Nsg|Xess	
A_KULTA	kullassa	kulta|ADJECTIVE|Nsg|Xine	
A_KULTA	kultina	kulta|ADJECTIVE|Npl|Xess	
A_KULTA	kullissa	kulta|ADJECTIVE|Npl|Xine	
A_KULTA	kultien	kulta|ADJECTIVE|Npl|Xgen	
A_LÄNTÄ	lyhyenläntä	lyhyenläntä|ADJECTIVE|Nsg|Xnom	shorty 
A_LÄNTÄ	lyhyenläntää	lyhyenläntä|ADJECTIVE|Nsg|Xpar	
A_LÄNTÄ	lyhyenläntänä	lyhyenläntä|ADJECTIVE|Nsg|Xess	
A_LÄNTÄ	lyhyenlännässä	lyhyenläntä|ADJECTIVE|Nsg|Xine	
A_LÄNTÄ	lyhyenläntinä	lyhyenläntä|ADJECTIVE|Npl|Xess	
A_LÄNTÄ	lyhyenlännissä	lyhyenläntä|ADJECTIVE|Npl|Xine	
A_LÄNTÄ	lyhyenläntien	lyhyenläntä|ADJECTIVE|Npl|Xgen	
A_TURTA	turta	turta|ADJECTIVE|Nsg|Xnom	numb 
A_TURTA	turtaa	turta|ADJECTIVE|Nsg|Xpar	
A_TURTA	turtana	turta|ADJECTIVE|Nsg|Xess	
A_TURTA	turrassa	turta|ADJECTIVE|Nsg|Xine	
A_TURTA	turtina	turta|ADJECTIVE|Npl|Xess	
A_TURTA	turrissa	turta|ADJECTIVE|Npl|Xine	
A_TURTA	turtien	turta|ADJECTIVE|Npl|Xgen	
A_HAPERA	hapera	hapera|ADJECTIVE|Nsg|Xnom	brittle 
A_HAPERA	haperia	hapera|ADJECTIVE|Npl|Xpar	
A_HAPERA	haperoita	hapera|ADJECTIVE|Npl|Xpar	
A_HAPERA	haperien	hapera|ADJECTIVE|Npl|Xgen	
A_HAPERA	haperoiden	hapera|ADJECTIVE|Npl|Xgen	
A_HAPERA	haperoitten	hapera|ADJECTIVE|Npl|Xgen	
A_HAPERA	haperiin	hapera|ADJECTIVE|Npl|Xill	
A_HAPERA	haperoihin	hapera|ADJECTIVE|Npl|Xill	
A_HAPERA	haperojen	hapera|ADJECTIVEUrare|Npl|Xgen	
A_HAPERA	haperoja	hapera|ADJECTIVEUrare|Npl|Xpar	
A_HAPERA	haperain	hapera|ADJECTIVE|Npl|Xgen|Urare	
A_HÖPPÄNÄ	höppänä	höppänä|ADJECTIVE|Nsg|Xnom	senile 
A_HÖPPÄNÄ	höppänää	höppänä|ADJECTIVE|Nsg|Xpar	
A_HÖPPÄNÄ	höppänänä	höppänä|ADJECTIVE|Nsg|Xess	
A_HÖPPÄNÄ	höppänässä	höppänä|ADJECTIVE|Nsg|Xine	
A_HÖPPÄNÄ	höppäninä	höppänä|ADJECTIVE|Npl|Xess	
A_HÖPPÄNÄ	höppänien	höppänä|ADJECTIVE|Npl|Xgen	
A_HÖPPÄNÄ	höppäniin	höppänä|ADJECTIVE|Npl|Xill	
A_HARMAJA	harmaja	harmaja|ADJECTIVE|Nsg|Xnom	? 
A_HARMAJA	harmajaa	harmaja|ADJECTIVE|Nsg|Xpar	
A_HARMAJA	harmajana	harmaja|ADJECTIVE|Nsg|Xess	
A_HARMAJA	harmajoina	harmaja|ADJECTIVE|Npl|Xess	
A_HARMAJA	harmajoita	harmaja|ADJECTIVE|Npl|Xpar	
A_LATUSKA	latuska	latuska|ADJECTIVE|Nsg|Xnom	flat 
A_LATUSKA	latuskoita	latuska|ADJECTIVE|Npl|Xpar	
A_LATUSKA	latuskoja	latuska|ADJECTIVE|Npl|Xpar	
A_LATUSKA	latuskoiden	latuska|ADJECTIVE|Npl|Xgen	
A_LATUSKA	latuskoitten	latuska|ADJECTIVE|Npl|Xgen	
A_LATUSKA	latuskojen	latuska|ADJECTIVE|Npl|Xgen	
A_LATUSKA	latuskoihin	latuska|ADJECTIVE|Npl|Xill	
A_HAILAKKA	hailakka	hailakka|ADJECTIVE|Nsg|Xnom	pale 
A_HAILAKKA	hailakkoina	hailakka|ADJECTIVE|Npl|Xess	
A_HAILAKKA	hailakoissa	hailakka|ADJECTIVE|Npl|Xine	
A_HAILAKKA	hailakkoihin	hailakka|ADJECTIVE|Npl|Xill	
A_HAILAKKA	hailakoihin	hailakka|ADJECTIVE|Npl|Xill	
A_RÄVÄKKÄ	räväkkä	räväkkä|ADJECTIVE|Nsg|Xnom	flamboyant 
A_RÄVÄKKÄ	räväköihin	räväkkä|ADJECTIVE|Npl|Xill	
A_RÄVÄKKÄ	räväkköihin	räväkkä|ADJECTIVE|Npl|Xill	
A_POHATTA	pohatta	pohatta|ADJECTIVE|Nsg|Xnom	fat-cat 
A_POHATTA	pohattoina	pohatta|ADJECTIVE|Npl|Xess	
A_POHATTA	pohatoissa	pohatta|ADJECTIVE|Npl|Xine	
A_POHATTA	pohattoihin	pohatta|ADJECTIVE|Npl|Xill	
A_POHATTA	pohatoihin	pohatta|ADJECTIVE|Npl|Xill	
A_AINOA	ainoa	ainoa|ADJECTIVE|Nsg|Xnom	singleton 
A_AINOA	ainoana	ainoa|ADJECTIVE|Nsg|Xess	
A_AINOA	ainoina	ainoa|ADJECTIVE|Npl|Xess	
A_AINOA	ainoissa	ainoa|ADJECTIVE|Npl|Xine	
A_AINOA	ainoihin	ainoa|ADJECTIVE|Npl|Xill	
A_AINOA	ainoisiin	ainoa|ADJECTIVE|Npl|Xill	
A_KORKEA	korkea	korkea|ADJECTIVE|Nsg|Xnom	high 
A_KORKEA	korkeana	korkea|ADJECTIVE|Nsg|Xess	
A_KORKEA	korkeina	korkea|ADJECTIVE|Npl|Xess	
A_KORKEA	korkeissa	korkea|ADJECTIVE|Npl|Xine	
A_KORKEA	korkeihin	korkea|ADJECTIVE|Npl|Xill	
A_KORKEA	korkeisiin	korkea|ADJECTIVE|Npl|Xill	
A_JÄREÄ	järeä	järeä|ADJECTIVE|Nsg|Xnom	rough 
A_JÄREÄ	järeänä	järeä|ADJECTIVE|Nsg|Xess	
A_JÄREÄ	järeinä	järeä|ADJECTIVE|Npl|Xess	
A_JÄREÄ	järeissä	järeä|ADJECTIVE|Npl|Xine	
A_JÄREÄ	järeihin	järeä|ADJECTIVE|Npl|Xill	
A_JÄREÄ	järeisiin	järeä|ADJECTIVE|Npl|Xill	
A_AIEMPI	aiempi	aiempi|ADJECTIVE|Nsg|Xnom	earlier 
A_AIEMPI	aiempana	aiempi|ADJECTIVE|Nsg|Xess	
A_AIEMPI	aiemmassa	aiempi|ADJECTIVE|Nsg|Xine	
A_AIEMPI	aiempina	aiempi|ADJECTIVE|Npl|Xess	
A_AIEMPI	aiemmista	aiempi|ADJECTIVE|Npl|Xela	
A_LÄHEMPI	lähempi	lähempi|ADJECTIVE|Nsg|Xnom	closer 
A_LÄHEMPI	lähempänä	lähempi|ADJECTIVE|Nsg|Xess	
A_LÄHEMPI	lähemmässä	lähempi|ADJECTIVE|Nsg|Xine	
A_LÄHEMPI	lähempinä	lähempi|ADJECTIVE|Npl|Xess	
A_LÄHEMPI	lähemmistä	lähempi|ADJECTIVE|Npl|Xela	
A_VAPAA	vapaa	vapaa|ADJECTIVE|Nsg|Xnom	free 
A_PEEAA	peeaa	peeaa|ADJECTIVE|Nsg|Xnom	bust 
A_MUU	muu	muu|ADJECTIVE|Nsg|Xnom	other 
A_SYYPÄÄ	syypää	syypää|ADJECTIVE|Nsg|Xnom	guilty 
A_GAY	gay	gay|ADJECTIVE|Nsg|Xnom	gay 
A_SUURI	suuri	suuri|ADJECTIVE|Nsg|Xnom	big 
A_PIENI	pieni	pieni|ADJECTIVE|Nsg|Xnom	small 
A_UUSI	uusi	uusi|ADJECTIVE|Nsg|Xnom	new 
A_TÄYSI	täysi	täysi|ADJECTIVE|Nsg|Xnom	full 
A_TYVEN	tyven	tyven|ADJECTIVE|Nsg|Xnom	calm (of bodies of water) 
A_AVOIN	avoin	avoin|ADJECTIVE|Nsg|Xnom	open 
A_ALASTON	alaston	alaston|ADJECTIVE|Nsg|Xnom	naked 
A_VIATON	viaton	viaton|ADJECTIVE|Nsg|Xnom	innocent 
A_KYVYTÖN	kyvytön	kyvytön|ADJECTIVE|Nsg|Xnom	unskilled 
A_HAPAN	hapan	hapan|ADJECTIVE|Nsg|Xnom	sour 
A_LÄMMIN	lämmin	lämmin|ADJECTIVE|Nsg|Xnom	warm 
A_PAHIN	uloin	uloin|ADJECTIVE|Nsg|Xnom	outermost 
A_SISIN	sisin	sisin|ADJECTIVE|Nsg|Xnom	innermost 
A_VASEN	vasen	vasen|ADJECTIVE|Nsg|Xnom	left 
A_AAKKOSELLINEN	aakkosellinen	aakkosellinen|ADJECTIVE|Nsg|Xnom	alphabetic 
A_KYLMÄJÄRKINEN	kylmäjärkinen	kylmäjärkinen|ADJECTIVE|Nsg|Xnom	levelminded 
A_SYMPPIS	symppis	symppis|ADJECTIVE|Nsg|Xnom	sympathetic 
A_LÄHTEISYYS	lähteisyys	lähteisyys|ADJECTIVE|Nsg|Xnom	sourceful 
A_AUTUAS	autuas	autuas|ADJECTIVE|Nsg|Xnom	ignorant 
A_VALMIS	valmis	valmis|ADJECTIVE|Nsg|Xnom	ready 
A_TYÖLÄS	työläs	työläs|ADJECTIVE|Nsg|Xnom	studious 
A_VOIMAKAS	voimakas	voimakas|ADJECTIVE|Nsg|Xnom	powerfui 
A_TYYLIKÄS	tyylikäs	tyylikäs|ADJECTIVE|Nsg|Xnom	stylish 
A_REIPAS	reipas	reipas|ADJECTIVE|Nsg|Xnom	
A_RIETAS	rietas	rietas|ADJECTIVE|Nsg|Xnom	lewd 
A_RAITIS	raitis	raitis|ADJECTIVE|Nsg|Xnom	sober 
A_HIDAS	hidas	hidas|ADJECTIVE|Nsg|Xnom	slow 
A_HARRAS	harras	harras|ADJECTIVE|Nsg|Xnom	humble 
A_OHUT	ohut	ohut|ADJECTIVE|Nsg|Xnom	thin 
A_EHYT	ehyt	ehyt|ADJECTIVE|Nsg|Xnom	unbroken 
A_KULUNUT	kulunut	kulunut|ADJECTIVE|Nsg|Xnom	used 
A_ÄLLISTYNYT	ällistynyt	ällistynyt|ADJECTIVE|Nsg|Xnom	amazed 
A_AHNE	ahne	ahne|ADJECTIVE|Nsg|Xnom	greedy 
A_TERVE	terve	terve|ADJECTIVE|Nsg|Xnom	healthy 
A_KADE	kade	kade|ADJECTIVE|Nsg|Xnom	jealous 
A_HELLE	helle	helle|ADJECTIVE|Nsg|Xnom	warm weather 
A_PITKÄ	pitkä	pitkä|ADJECTIVE|Nsg|Xnom	
A_PITKÄ	pidempi	pitkä|ADJECTIVE|Ccmp|Nsg|Xnom	
A_PITKÄ	pisin	pitkä|ADJECTIVE|Csup|Nsg|Xnom	
A_LEUATTOMAT	leuattomat	leuattomat|ADJECTIVE|Npl|Xnom	? 
ADV	aakkosellisesti	aakkosellisesti|Adv	
ADV	aakkosellisestikin	aakkosellisesti|PARTICLE|ADVERB|Foc/kin	
ADV	mukaani	mukaan|PARTICLE|ADVERB|Osg1	
ADV	mukaamme	mukaan|PARTICLE|ADVERB|Opl1
ADV	ajassa	ajassa|Adv	
ADV	ajassako	ajassa|PARTICLE|ADVERB|Qko	
CC	eikä	eikä|CC	
CC	ja	ja|CC	
CS	että	että|CS	
CS	jotta	jotta|CS	
CS	koska	koska|CS	
CS	kun	kun|CS	
CS	jos	jos|CS	
CS	vaikka	vaikka|CS	
DIGITS	0	0|NUMERAL|Nsg|Xnom	
DIGITS_INT_LOOP	13	13|NUMERAL|CARDINAL|Nsg|Xnom	
DIGITS_INT_LOOP	100	100|NUMERAL|CARDINAL|Nsg|Xnom	
DIGITS_INT_LOOP	0000005550000000	0000005550000000|NUMERAL|CARDINAL|Nsg|Xnom	
DIGITS_ILLIARD_LOOP	1000000000	1000000000|NUMERAL|CARDINAL|Nsg|Xnom	
DIGITS_ILLIARD_LOOP	300000000000	300000000000|NUMERAL|CARDINAL|Nsg|Xnom	
DIGITS_ILLIARD_LOOP	123456000000000000000000	123456000000000000000000|NUMERAL|CARDINAL|Nsg|Xnom	
DIGITS_ILLION_LOOP	1000000	1000000|NUMERAL|CARDINAL|Nsg|Xnom	
DIGITS_ILLION_LOOP	300000000	300000000|NUMERAL|CARDINAL|Nsg|Xnom	
DIGITS_ILLION_LOOP	123456000000000000000	123456000000000000000|NUMERAL|CARDINAL|Nsg|Xnom	
DIGITS_DECIMAL_LOOP	1,0	1,0|NUMERAL|Nsg|Xnom	
DIGITS_DECIMAL_LOOP	314,1	314,1|NUMERAL|Nsg|Xnom	
DIGITS_DECIMAL_LOOP_FINAL	3,141	3,141|NUMERAL|Nsg|Xnom	
DIGITS_DECIMAL_LOOP_FINAL	123,345	123,345|NUMERAL|Nsg|Xnom	
DIGITS_ROMANS	MM	MM|NUMERAL|ORDINAL|Nsg|Xnom	
DIGITS_ROMANS	MCXI	MCXI|NUMERAL|ORDINAL|Nsg|Xnom	
DIGITS_ROMANS	CMXCIX	CMXCIX|NUMERAL|ORDINAL|Nsg|Xnom	
DIGITS_ROMANS_THOUSANDS	MII	MII|NUMERAL|ORDINAL|Nsg|Xnom	
DIGITS_ROMANS_THOUSANDS	MCCCXXII	MCCCXXII|NUMERAL|ORDINAL|Nsg|Xnom	
DIGITS_ROMANS_HUNDREDS	CXXI	CXXI|NUMERAL|ORDINAL|Nsg|Xnom	
DIGITS_ROMANS_HUNDREDS	DXXIV	DXXIV|NUMERAL|ORDINAL|Nsg|Xnom	
DIGITS_ROMANS_TENS	XIX	XIX|NUMERAL|ORDINAL|Nsg|Xnom	
DIGITS_ROMANS_TENS	XXVII	XXVII|NUMERAL|ORDINAL|Nsg|Xnom	
DIGITS_ROMANS_ONES	IX	IX|NUMERAL|ORDINAL|Nsg|Xnom	
DIGITS_ROMANS_ONES	VIII	VIII|NUMERAL|ORDINAL|Nsg|Xnom	
DIGITS_ROMANS_ONES	II	II|NUMERAL|ORDINAL|Nsg|Xnom	
EXCEPTIONS	en	ei|VERB|Nneg|Vact|Psg1	
EXCEPTIONS	älkää	ei|VERB|Nneg|Vact|Timp|Ppl2	
EXCEPTIONS	älkööt	ei|VERB|Nneg|Vact|Timp|Ppl3	
EXCEPTIONS	kutiaa		
EXCEPTIONS	taita		
EXCEPTIONS	paratkoon		
EXCEPTIONS	eläköön		
EXCEPTIONS	ruuassa		
EXCEPTIONS	ruuilla		
EXCEPTIONS	parempi		
EXCEPTIONS	paremmissa		
EXCEPTIONS	paras		
EXCEPTIONS	parhaat		
EXCEPTIONS	vuonna		
EXCEPTIONS	sydännä		
EXCEPTIONS	jumalten		
EXCEPTIONS	sankarten		
