new_para	lemma	stuff	gloss
A_TOOPE	toopempi	toope|ADJECTIVE|Ccmp|Nsg|Xnom	
A_TOOPE	toopein	toope|ADJECTIVE|Csup|Nsg|Xnom	
A_TOOPE	toopein	toope|ADJECTIVE|Npl|Xgen|Urare	
A_BEIGE	beige	beige|ADJECTIVE|Nsg|Xnom	beige 
A_BEIGE	beigeä	beige|ADJECTIVE|Nsg|Xpar	
A_BEIGE	beigeen	beige|ADJECTIVE|Nsg|Xill	
A_BEIGE	beigejä	beige|ADJECTIVE|Npl|Xpar	
A_BEIGE	beigejen	beige|ADJECTIVE|Npl|Xgen	
A_BEIGE	beigeihin	beige|ADJECTIVE|Npl|Xill	
A_BEIGE	beigempi	beige|ADJECTIVE|Ccmp|Nsg|Xnom	
A_BEIGE	beigein	beige|ADJECTIVE|Csup|Nsg|Xnom	
A_KOHELO	tohelo	tohelo|ADJECTIVE|Nsg|Xnom	clumsy 
A_KOHELO	toheloita	tohelo|ADJECTIVE|Npl|Xpar	
A_KOHELO	toheloja	tohelo|ADJECTIVE|Npl|Xpar	
A_KOHELO	tohelojen	tohelo|ADJECTIVE|Npl|Xgen	
A_KOHELO	toheloiden	tohelo|ADJECTIVE|Npl|Xgen	
A_KOHELO	toheloitten	tohelo|ADJECTIVE|Npl|Xgen	
A_KOHELO	tohelompi	tohelo|ADJECTIVE|Ccmp|Nsg|Xnom	
A_KOHELO	toheloin	tohelo|ADJECTIVE|Csup|Nsg|Xnom	
A_LÖPERÖ	löperö	löperö|ADJECTIVE|Nsg|Xnom	sloppy 
A_LÖPERÖ	löperöjen	löperö|ADJECTIVE|Npl|Xgen	
A_LÖPERÖ	löperöiden	löperö|ADJECTIVE|Npl|Xgen	
A_LÖPERÖ	löperöitten	löperö|ADJECTIVE|Npl|Xgen	
A_LÖPERÖ	löperömpi	löperö|ADJECTIVE|Ccmp|Nsg|Xnom	
A_LÖPERÖ	löperöin	löperö|ADJECTIVE|Csup|Nsg|Xnom	
A_AUTIO	autio	autio|ADJECTIVE|Nsg|Xnom	deserted 
A_AUTIO	autiota	autio|ADJECTIVE|Nsg|Xpar	
A_AUTIO	autioa	autio|ADJECTIVE|Nsg|Xpar	
A_AUTIO	autioita	autio|ADJECTIVE|Npl|Xpar	
A_AUTIO	autioiden	autio|ADJECTIVE|Npl|Xgen	
A_AUTIO	autioitten	autio|ADJECTIVE|Npl|Xgen	
A_AUTIO	autiompi	autio|ADJECTIVE|Ccmp|Nsg|Xnom	
A_AUTIO	autioin	autio|ADJECTIVE|Csup|Nsg|Xnom	
A_RIIVIÖ	riiviö	riiviö|ADJECTIVE|Nsg|Xnom	nasty 
A_RIIVIÖ	riiviötä	riiviö|ADJECTIVE|Nsg|Xpar	
A_RIIVIÖ	riiviöiden	riiviö|ADJECTIVE|Npl|Xgen	
A_RIIVIÖ	riiviöitten	riiviö|ADJECTIVE|Npl|Xgen	
A_RIIVIÖ	riiviömpi	riiviö|ADJECTIVE|Ccmp|Nsg|Xnom	
A_RIIVIÖ	riiviöin	riiviö|ADJECTIVE|Csup|Nsg|Xnom	
A_KOLKKO	kolkko	kolkko|ADJECTIVE|Nsg|Xnom	gloomy 
A_KOLKKO	kolkossa	kolkko|ADJECTIVE|Nsg|Xine	
A_KOLKKO	kolkoista	kolkko|ADJECTIVE|Npl|Xela	
A_KOLKKO	kolkkoihin	kolkko|ADJECTIVE|Npl|Xill	
A_KOLKKO	kolkompi	kolkko|ADJECTIVE|Ccmp|Nsg|Xnom	
A_KOLKKO	kolkoin	kolkko|ADJECTIVE|Csup|Nsg|Xnom	
A_VIRKKU	virkku	virkku|ADJECTIVE|Nsg|Xnom	??? 
A_VIRKKU	virkussa	virkku|ADJECTIVE|Nsg|Xine	
A_VIRKKU	virkuista	virkku|ADJECTIVE|Npl|Xela	
A_VIRKKU	virkkuihin	virkku|ADJECTIVE|Npl|Xill	
A_VIRKKU	virkumpi	virkku|ADJECTIVE|Ccmp|Nsg|Xnom	
A_VIRKKU	virkuin	virkku|ADJECTIVE|Csup|Nsg|Xnom	
A_SÄIKKY	säikky	säikky|ADJECTIVE|Nsg|Xnom	??? 
A_SÄIKKY	säikyssä	säikky|ADJECTIVE|Nsg|Xine	
A_SÄIKKY	säikyistä	säikky|ADJECTIVE|Npl|Xela	
A_SÄIKKY	säikkyihin	säikky|ADJECTIVE|Npl|Xill	
A_SÄIKKY	säikympi	säikky|ADJECTIVE|Ccmp|Nsg|Xnom	
A_SÄIKKY	säikyin	säikky|ADJECTIVE|Csup|Nsg|Xnom	
A_KÖKKÖ	kökkö	kökkö|ADJECTIVE|Nsg|Xnom	??? 
A_KÖKKÖ	kökössä	kökkö|ADJECTIVE|Nsg|Xine	
A_KÖKKÖ	kököistä	kökkö|ADJECTIVE|Npl|Xela	
A_KÖKKÖ	kökköihin	kökkö|ADJECTIVE|Npl|Xill	
A_KÖKKÖ	kökömpi	kökkö|ADJECTIVE|Ccmp|Nsg|Xnom	
A_KÖKKÖ	kököin	kökkö|ADJECTIVE|Csup|Nsg|Xnom	
A_SUIPPO	suippo	suippo|ADJECTIVE|Nsg|Xnom	? 
A_SUIPPO	suipossa	suippo|ADJECTIVE|Nsg|Xine	
A_SUIPPO	suipoista	suippo|ADJECTIVE|Npl|Xela	
A_SUIPPO	suippoihin	suippo|ADJECTIVE|Npl|Xill	
A_SUIPPO	suipompi	suippo|ADJECTIVE|Ccmp|Nsg|Xnom	
A_SUIPPO	suipoin	suippo|ADJECTIVE|Csup|Nsg|Xnom	
A_IKÄLOPPU	ikäloppu	ikäloppu|ADJECTIVE|Nsg|Xnom	age-old 
A_IKÄLOPPU	ikälopussa	ikäloppu|ADJECTIVE|Nsg|Xine	
A_IKÄLOPPU	ikälopuista	ikäloppu|ADJECTIVE|Npl|Xela	
A_IKÄLOPPU	ikäloppuihin	ikäloppu|ADJECTIVE|Npl|Xill	
A_IKÄLOPPU	ikälopumpi	ikäloppu|ADJECTIVE|Ccmp|Nsg|Xnom	
A_IKÄLOPPU	ikälopuin	ikäloppu|ADJECTIVE|Csup|Nsg|Xnom	
A_LÖRPPÖ	lörppö	lörppö|ADJECTIVE|Nsg|Xnom	blabbermouth 
A_LÖRPPÖ	lörpössä	lörppö|ADJECTIVE|Nsg|Xine	
A_LÖRPPÖ	lörpöistä	lörppö|ADJECTIVE|Npl|Xela	
A_LÖRPPÖ	lörppöihin	lörppö|ADJECTIVE|Npl|Xill	
A_LÖRPPÖ	lörpömpi	lörppö|ADJECTIVE|Ccmp|Nsg|Xnom	
A_LÖRPPÖ	lörpöin	lörppö|ADJECTIVE|Csup|Nsg|Xnom	
A_VELTTO	veltto	veltto|ADJECTIVE|Nsg|Xnom	lazy 
A_VELTTO	veltossa	veltto|ADJECTIVE|Nsg|Xine	
A_VELTTO	veltoista	veltto|ADJECTIVE|Npl|Xela	
A_VELTTO	velttoihin	veltto|ADJECTIVE|Npl|Xill	
A_VELTTO	veltompi	veltto|ADJECTIVE|Ccmp|Nsg|Xnom	
A_VELTTO	veltoin	veltto|ADJECTIVE|Csup|Nsg|Xnom	
A_VIMMATTU	vimmattu	vimmattu|ADJECTIVE|Nsg|Xnom	wicked 
A_VIMMATTU	vimmatussa	vimmattu|ADJECTIVE|Nsg|Xine	
A_VIMMATTU	vimmatuista	vimmattu|ADJECTIVE|Npl|Xela	
A_VIMMATTU	vimmattuihin	vimmattu|ADJECTIVE|Npl|Xill	
A_VIMMATTU	vimmatumpi	vimmattu|ADJECTIVE|Ccmp|Nsg|Xnom	
A_VIMMATTU	vimmatuin	vimmattu|ADJECTIVE|Csup|Nsg|Xnom	
A_YLENNETTY	ylennetty	ylennetty|ADJECTIVE|Nsg|Xnom	promoted 
A_YLENNETTY	ylennetyssä	ylennetty|ADJECTIVE|Nsg|Xine	
A_YLENNETTY	ylennetyistä	ylennetty|ADJECTIVE|Npl|Xela	
A_YLENNETTY	ylennettyihin	ylennetty|ADJECTIVE|Npl|Xill	
A_YLENNETTY	ylennetympi	ylennetty|ADJECTIVE|Ccmp|Nsg|Xnom	
A_YLENNETTY	ylennetyin	ylennetty|ADJECTIVE|Csup|Nsg|Xnom	
A_KYYTTÖ	kyyttö	kyyttö|ADJECTIVE|Nsg|Xnom	????? 
A_KYYTTÖ	kyytössä	kyyttö|ADJECTIVE|Nsg|Xine	
A_KYYTTÖ	kyytöistä	kyyttö|ADJECTIVE|Npl|Xela	
A_KYYTTÖ	kyyttöihin	kyyttö|ADJECTIVE|Npl|Xill	
A_KYYTTÖ	kyytömpi	kyyttö|ADJECTIVE|Ccmp|Nsg|Xnom	
A_KYYTTÖ	kyytöin	kyyttö|ADJECTIVE|Csup|Nsg|Xnom	
A_LAKO	lako	lako|ADJECTIVE|Nsg|Xnom	
A_LAKO	laossa	lako|ADJECTIVE|Nsg|Xine	
A_LAKO	la’ossa	lako|ADJECTIVE|Nsg|Xine	
A_LAKO	laompi	lako|ADJECTIVE|Ccmp|Nsg|Xnom	
A_LAKO	laoin	lako|ADJECTIVE|Csup|Nsg|Xnom	
A_KELPO	kelpo	kelpo|ADJECTIVE|Nsg|Xnom	proper 
A_KELPO	kelvossa	kelpo|ADJECTIVE|Nsg|Xine	
A_KELPO	kelpoina	kelpo|ADJECTIVE|Npl|Xess	
A_KELPO	kelvoista	kelpo|ADJECTIVE|Npl|Xela	
