new_para	deletion
N_KERROIN	roin
N_KERTA	ta
N_KEVÄT	t
N_KIDE	de
N_KIELTO	to
N_KIERRE	re
N_KIERRIN	rin
N_KIHARAT	t
N_KIHARRIN	rin
N_KIINNE	ne
N_KIIRU	
N_KILPIKKÄÄT	käät
N_KILPI	pi
N_KINNAS	nas
N_KINNER	ner
N_KIRITTÄRET	täret
N_KIRJA	a
N_KIRVES	s
N_KITARA	a
N_KIVI	i
N_KLUMPIT	it
N_KOE	e
N_KOKO	ko
N_KOMPA	pa
N_KORPI	pi
N_KORTES	es
N_KORTET	et
N_KORTTI	ti
N_KORVET	vet
N_KOUVOT	t
N_KREUS	s
N_KUITU	tu
N_KUMMUT	mut
N_KUNGFU	
N_KUNNAT	nat
N_KUNTA	ta
N_KUOPAT	at
N_KUOPPA	pa
N_KUPPI	pi
N_KUTSUNTA	ta
N_KUULOKKEET	keet
N_KUUS	s
N_KYDÖT	döt
N_KYKY	ky
N_KYLKIÄINEN	nen
N_KYLÄNVANHIN	n
N_KYNNET	net
N_KYNNÄÄT	ät
N_KYSYNTÄ	tä
N_KYYNEL	
N_KÄKI	ki
N_KÄMMEKKÄ	kä
N_KÄPY	py
N_KÄPÄLÄ	ä
N_KÄRJET	jet
N_KÄRRY	
N_KÄRSÄKÄS	äs
N_KÄRÄJÄT	t
N_KÄSITE	e
N_KÄÄDYT	dyt
N_KÄÄNNIN	nin
N_KÄÄNTÖ	tö
N_KÖNGÄS	gäs
N_KÖYHYYS	s
N_KÖYSI	si
N_KÖÖ	ö
N_LAET	et
N_LAHDET	det
N_LAHTI	ti
N_LAIDUN	dun
N_LAKI	ki
N_LAMMET	met
N_LAMMI	pi
N_LAMMIT	mit
N_LANKA	ka
N_LANNET	net
N_LAPSI	psi
N_LASIT	t
N_LEHDET	det
N_LEHTI	ti
N_LEIKKUU	u
N_LEIPÄ	pä
N_LENTTEE	e
N_LEPAKKO	ko
N_LIEMI	mi
N_LIITTOUTUNEET	et
N_LIIVIT	t
N_LINGOT	got
N_LINTU	tu
N_LIPEÄ	ä
N_LIPOTTARET	taret
N_LIPPU	pu
N_LIUKU	ku
N_LIVVADIEVÁT	t
N_LOKA	ka
N_LOKKI	ki
N_LOMMOL	mol
N_LOTTE	te
N_LOUET	et
N_LUHDAT	dat
N_LUKU	ku
N_LUMME	me
N_LUODE	de
N_LUODES	des
N_LUOKKA	ka
N_LUOLIKOT	ot
N_LUPA	pa
N_LUSIKKA	ka
N_LÄHDES	des
N_LÄHDET	det
N_LÄHIN	n
N_LÄMMIN	min
N_LÄMPÖ	pö
N_LÄNGET	get
N_LÄNSI	si
N_LÄÄKE	e
N_LÖPÖ	pö
N_MAA	a
N_MAKKARA	a
N_MAKU	ku
N_MALKO	ko
N_MALMÖ	
N_MALTAAT	taat
N_MANNER	ner
N_MARKKINAT	t
N_MATEE	e
N_MATKUET	et
N_MERI	i
N_MERTU	tu
N_METTE	te
N_MIEHET	het
N_MIELENGE	ge
N_MIELLE	le
N_MIES	s
N_MILJÖÖT	öt
N_MILJÖÖ	ö
N_MITTA	ta
N_MONSIEUR	
N_MULTA	ta
N_MURTEET	teet
N_MUUNNIN	nin
N_MYRKKY	ky
N_MÄET	et
N_MÄNNYT	nyt
N_MÄNTY	ty
N_MÄTTÄÄT	täät
N_MÄTÄS	äs
N_MÖMMÖ	
N_MÖRKÖ	kö
N_NALLE	
N_NEITSYT	t
N_NEUVOTTELUT	t
N_NIEMET	t
N_NIHTI	ti
N_NIITUT	ut
N_NIITYT	yt
N_NIMETÖIN	töin
N_NIMETÖN	tön
N_NISSE	
N_NOKI	ki
N_NOUGAT	
N_NUGAA	a
N_NUKKE	ke
N_NYLJIN	jin
N_NÄKY	ky
N_NÄKÖ	kö
N_NÄLKÄ	kä
N_OIKEUDET	det
N_OLKA	ka
N_OLUT	t
N_OMMEL	mel
N_ONKI	ki
N_ONNET	et
N_ONNI	i
N_OOKOO	o
N_OPINNOT	not
N_ORI	i
N_OSATON	ton
N_OSOITE	e
N_PAIKAT	at
N_PANKIT	it
N_PARFAIT	
N_PATA	ta
N_PATEE	e
N_PATSAS	s
N_PEIPOT	ot
N_PELKO	ko
N_PELTI	ti
N_PENGER	ger
N_PERKEET	keet
N_PIDOT	dot
N_PIENNAR	nar
N_PIHDIT	dit
N_PII	i
N_PIIROA	a
N_PINSETIT	it
N_PIPPALOT	t
N_PISTE	
N_POHATTA	ta
N_POHJE	je
N_POIKA	ika
N_POIUT	ut
N_POJAT	jat
N_POLITIIKKA	ka
N_POLJIN	jin
N_PONSI	si
N_PORRAS	ras
N_PORTAAT	taat
N_PROBLEEMA	a
N_PUHELIN	n
N_PUIN	in
N_PUKIMET	met
N_PUNK	
N_PUUT	ut
N_PUU	u
N_PYHTÄÄ	ä
N_PYTTY	ty
N_PYYHE	e
N_PYYHIN	in
N_PYYT	yt
N_PYY	y
N_PÄÄ	ä
N_PÖKSYT	t
N_PÖLHÄÄT	ät
N_PÖLLÖT	t
N_PÖNTTÖ	tö
N_PÖYTÄ	tä
N_RAAVIN	vin
N_RAGUU	u
N_RAKENNE	ne
N_RAMPA	pa
N_RANGAT	gat
N_RANNAT	nat
N_RAPPE	pe
N_RAPPUSET	set
N_RAPUT	ut
N_RATAS	as
N_RATTAAT	taat
N_RAUDAT	dat
N_RAUNIOT	t
N_RAVET	t
N_RAVUT	vut
N_REGGAE	
N_REIKÄ	kä
N_REIÄT	ät
N_RENKAAT	kaat
N_RIIPI	pi
N_RIIVET	vet
N_RIMMI	pi
N_RIMMIT	mit
N_RIMPI	pi
N_RINNET	net
N_RINTEET	teet
N_RIPE	e
N_RIPSET	et
N_RIUTAT	at
N_ROHTIMET	timet
N_ROITOT	ot
N_ROMPAAT	paat
N_ROSÉ	
N_ROTAT	at
N_ROTTA	ta
N_RUIPELO	
N_RUIS	is
N_RUMPU	pu
N_RUNKO	ko
N_RUOKA	oka
N_RUOKO	ko
N_RUOPPAAT	paat
N_RUUHI	i
N_RUUMIS	s
N_RUUVI	i
N_RYNNÄS	näs
N_RYNTTYYT	tyyt
N_RYNTÄÄT	täät
N_RYPÄS	äs
N_RYYPPY	py
N_RÄJÄYTYS	s
N_RÄMEET	et
N_RÄMEÄT	ät
N_RÄMIÄT	ät
N_SAAPAS	as
N_SAARET	et
N_SAKSET	et
N_SALONTEET	teet
N_SALPA	pa
N_SAMMALET	et
N_SAMPI	pi
N_SAMPO	po
N_SANKARI	i
N_SEIKKAILU	
N_SEIVÄS	väs
N_SELENE	
N_SELJÄT	jät
N_SEPPÄ	pä
N_SERGEJ	
N_SERKUKSET	kset
N_SHOW	
N_SIEMEN	
N_SIIRTO	to
N_SIIVILÄ	ä
N_SILAKAT	at
N_SILMÄKKEET	keet
N_SISÄLTÖ	tö
N_SIUNAAMATTOMAT	tomat
N_SIVELLIN	lin
N_SIVISTYNYT	yt
N_SKEITTI	ti
N_SOINTI	ti
N_SOKEA	a
N_SOTA	ta
N_SPOTIFY	
N_STADION	
N_SUHTEET	teet
N_SUKAT	at
N_SULKA	ka
N_SUODATIN	in
N_SUOT	uot
N_SYDÄN	n
N_SYLI	i
N_SYLTÄ	tä
N_SYNNYTTIMET	timet
N_SYÖMINGIT	git
N_SÄEN	en
N_SÄNKY	ky
N_SÄRKÄT	ät
N_SÄRVIN	vin
N_SÄÄDIN	din
N_SÄÄNNÖT	nöt
N_SÄÄRET	et
N_TAIMI	mi
N_TAIVAL	val
N_TALKOOT	ot
N_TALO	
N_TANHUA	a
N_TARPEET	peet
N_TARVE	ve
N_TAUDIT	dit
N_TAUTI	ti
N_TAVAT	vat
N_TEE	e
N_TEHDAS	das
N_TEHTAAT	taat
N_TEKO	ko
N_TIE	ie
N_TIENOO	o
N_TIETEET	teet
N_TIET	iet
N_TIHVII	i
N_TIKKAAT	kaat
N_TIKKU	ku
N_TIPPA	pa
N_TOIMET	et
N_TOKEE	e
N_TONGIT	git
N_TORTTU	tu
N_TOULAT	at
N_TRIKOO	o
N_TULI	i
N_TUNNIT	nit
N_TUNTO	to
N_TUOMIO	
N_TYPPI	pi
N_TYTÄR	är
N_TYTÖT	öt
N_TYYLI	i
N_TYYPPI	pi
N_TYÖTTÖMÄT	tömät
N_TYÖT	yöt
N_TYÖ	yö
N_TÖLPÄKÖT	öt
N_TÖLPÄT	ät
N_TÖRPPÖ	pö
N_UDAR	dar
N_UKKO	ko
N_UKSI	ksi
N_ULAPPA	pa
N_UROS	s
N_VAADIN	din
N_VAAKA	ka
N_VAANII	i
N_VAASAN	
N_VAATTEET	teet
N_VAINAA	a
N_VAKUUTUS	s
N_VALJAAT	at
N_VALLAT	at
