new_para	upos	pos	kotus_tn	kotus_av	plurale_tantum	grade_dir	harmony	stem_vowel	stem_diphthong	possessive	clitics
NOUN_51raskasvesi	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51raskasvety	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51sepiväpeippi	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51suorakulma	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51suoraommel	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51syvämeri	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51särkynytsydän	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51tyhjäpaino	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51täysikuu	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51uusikuu	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51uusivuosi	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51vanhaemäntä	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51vanhaisäntä	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51vanhakaupunki	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51vanhapiika	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51vanhapoika	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_51vierasmies	NOUN	NOUN	51	None	False	weaken	back	None	None	False	False
NOUN_AAKKOSELLISUUS	NOUN	NOUN	40	None	False	strengthen	back	None	None	False	False
NOUN_AAKKOSTAMINEN	NOUN	NOUN	38	None	False	strengthen	back	None	None	False	False
NOUN_AALLOT	NOUN	NOUN	1	I	obligatory	weaken	back	None	None	False	False
NOUN_AAMUKAHDEKSAN	NOUN	NOUN	10	None	False	weaken	back	None	None	False	False
NOUN_AAMUKOLME	NOUN	NOUN	3	None	False	weaken	back	None	None	False	False
NOUN_AAMUKYMMENEN	NOUN	NOUN	8	None	False	weaken	front	None	None	False	False
NOUN_AAMUYHDEKSÄN	NOUN	NOUN	8	None	False	weaken	front	None	None	False	False
NOUN_AAMUYKSI	NOUN	NOUN	31	None	False	weaken	front	None	None	False	False
NOUN_AARRE	NOUN	NOUN	48	K	False	strengthen	back	None	None	False	False
NOUN_ACRO_AA	NOUN	ACRONYM	0	None	False	False	back	None	None	False	False
NOUN_ACRO_CELSIUS	NOUN	ACRONYM	0	None	False	strengthen	back	None	None	False	False
NOUN_ACRO_DOLLARI	NOUN	ACRONYM	0	None	False	False	back	None	None	False	False
NOUN_ACRO_EE	NOUN	ACRONYM	0	None	False	False	back	None	None	False	False
NOUN_ACRO_EE	NOUN	ACRONYM	0	None	False	False	front	None	None	False	False
NOUN_ACRO_GRAMMA	NOUN	ACRONYM	0	None	False	weaken	back	None	None	False	False
NOUN_ACRO_GRAY	NOUN	ACRONYM	0	None	False	False	front	None	None	False	False
NOUN_ACRO_II	NOUN	ACRONYM	0	None	False	False	back	None	None	False	False
NOUN_ACRO_II	NOUN	ACRONYM	0	None	False	False	front	None	None	False	False
NOUN_ACRO_JOULE	NOUN	ACRONYM	0	None	False	weaken	back	None	None	False	False
NOUN_ACRO_JÄRJESTÖ	NOUN	ACRONYM	0	None	False	False	front	None	None	False	False
NOUN_ACRO_KAHDEKSAN	NOUN	ACRONYM	0	None	False	False	front	None	None	False	False
NOUN_ACRO_KAKSI	NOUN	ACRONYM	0	None	False	False	front	None	None	False	False
NOUN_ACRO_KANDELA	NOUN	ACRONYM	0	None	False	False	back	None	None	False	False
NOUN_ACRO_KOLMAS	NOUN	ACRONYM	0	None	False	False	back	None	None	False	False
NOUN_ACRO_KOLME	NOUN	ACRONYM	0	None	False	False	back	None	None	False	False
NOUN_ACRO_KOLME	NOUN	ACRONYM	0	None	False	False	front	None	None	False	False
NOUN_ACRO_KUUSI	NOUN	ACRONYM	0	None	False	False	front	None	None	False	False
NOUN_ACRO_LEHTI	NOUN	ACRONYM	0	None	False	False	front	None	None	False	False
NOUN_ACRO_LUSIKKA	NOUN	ACRONYM	0	None	False	False	back	None	None	False	False
NOUN_ACRO_METRI	NOUN	ACRONYM	0	None	False	False	front	None	None	False	False
NOUN_ACRO_NELJÄ	NOUN	ACRONYM	0	None	False	False	back	None	None	False	False
NOUN_ACRO_NOLLA	NOUN	ACRONYM	0	None	False	False	front	None	None	False	False
NOUN_ACRO_OIKEUS	NOUN	ACRONYM	0	None	False	False	back	None	None	False	False
NOUN_ACRO_OK	NOUN	ACRONYM	0	None	False	False	back	None	None	False	False
NOUN_ACRO_OO	NOUN	ACRONYM	0	None	False	False	back	None	None	False	False
