lemma	homonym	original-ktn
kähäräendiivi	1	50
kähäräpää	1	50
käkkyrämänty	1	50
käkkärämänty	1	50
käsikynkkä	1	99
käyrätorvi	1	50
kääpiöjaloangervo	1	50
kääpiövillikissa	1	50
köyryniska	1	50
köyryselkä	1	50
laajakulma	1	50
laiskajaakko	1	50
laiskakoira	2	50
laiskamato	1	50
lentävätkoirat	1	50
liberaaliteologia	1	50
liejupahaputki	1	50
lyhytelokuva	1	50
lyhytfilmi	1	50
lyhytkirurgia	1	50
lyhytnumero	1	50
lyhytohjelma	1	50
lyhytproosa	1	50
lyhyttavara	1	50
lyhytterapia	1	50
lypsää	1	54
lämminruoka	2	50
lämminvarasto	2	50
lämminvaunu	2	50
matalajännite	1	50
matalakirkollisuus	1	50
matalalento	1	50
matalameri	2	50
matalamielisyys	1	50
matalapaine	1	50
matalasuhdanne	1	50
matalatorjunta	1	50
meltorauta	1	50
meri	1	24
moni-ilmeinen	1	18
muorinen	1	99
mustaherukka	2	50
mustajalopähkinä	1	50
mustajuuri	1	50
mustaleipä	2	50
mustaleski	2	50
mustalintu	2	50
mustamaalaus	1	50
mustamaija	2	50
mustamakkara	2	50
mustamies	2	50
mustamulta	2	50
mustapaita	1	50
mustapekka	2	50
mustapippuri	2	50
mustarastas	1	50
mustarousku	1	50
mustaruuti	1	50
mustasilmä	1	50
mustatorvisieni	2	50
mustavaris	1	50
mustaviinimarja	2	50
mykkäelokuva	1	50
mykkäfilmi	1	50
mykkäkoulu	1	50
märkähionta	1	50
märkäluja	1	50
märkälujuus	1	50
märkäpesu	1	50
märkäpuku	1	50
märkätila	1	50
mätämuna	1	50
normaalijakauma	1	50
normaalijakautuma	1	50
normaalikoko	1	50
normaalikoulu	1	50
normaalilyseo	1	50
normaalilämpö	1	50
normaalimäki	1	50
normaaliobjektiivi	1	50
normaaliolot	1	50
normaalipaino	1	50
normaalipituus	1	50
normaalisävel	1	50
normaalitapaus	1	50
normaalivahvuus	1	50
normaalivauhti	1	50
nuoriemäntä	2	50
nuoriherra	2	50
nuori-isäntä	2	50
nuorikarja	2	50
nuorimies	2	50
nuoripari	2	50
nuoskakeli	1	50
nuoskalumi	1	50
nuoskasää	1	50
ohutkalvo	1	50
ohutsuoli	1	50
olla	1	67
omaelämäkerta	1	50
omahoitaja	1	50
omahoito	1	50
omailmeinen	1	18
omakehu	1	50
omakustanne	1	50
omakustannukset	1	50
omakuva	2	50
omalääkäri	1	50
omapaino	1	50
omarahoitus	1	50
omatunto	2	50
omavastuu	1	50
pahahenki	2	50
