lemma	homonym	argument
arkipäiväistää	1	intransitive
arkistaa	1	intransitive
arkistoida	1	intransitive
arkistua	1	intransitive
armahtaa	1	intransitive
armastella	1	intransitive
armoittaa	1	intransitive
arpeuttaa	1	intransitive
arpeutua	1	intransitive
arpoa	1	intransitive
artikuloida	1	intransitive
arvailla	1	intransitive
arvata	1	intransitive
arvauttaa	1	intransitive
arvella	1	intransitive
arveluttaa	1	intransitive
arvettua	1	intransitive
arvioida	1	intransitive
arvioittaa	1	intransitive
arvopaperisoida	1	intransitive
arvopaperistaa	1	intransitive
arvopaperistua	1	intransitive
arvostaa	1	intransitive
arvostella	1	intransitive
arvottaa	1	intransitive
arvuutella	1	intransitive
arvuuttaa	1	intransitive
aseistaa	1	intransitive
aseistautua	1	intransitive
asemakaavoittaa	1	intransitive
asemoida	1	intransitive
asennoitua	1	intransitive
asennuttaa	1	intransitive
asentaa	1	intransitive
asentua	1	intransitive
asetella	1	intransitive
asettaa	1	intransitive
asettautua	1	intransitive
asettua	1	intransitive
asetyloida	1	intransitive
asfaltoida	1	intransitive
asiallistua	1	intransitive
asianajaa	1	intransitive
asioida	1	intransitive
askaroida	1	intransitive
askarrella	1	intransitive
askarruttaa	1	intransitive
askarteluttaa	1	intransitive
askeltaa	1	intransitive
asosiaalistaa	1	intransitive
aspiroida	1	intransitive
assibiloida	1	intransitive
assimiloida	1	intransitive
assimiloitua	1	intransitive
assosioida	1	intransitive
assosioitua	1	intransitive
astahtaa	1	intransitive
astatisoida	1	intransitive
asteittaa	1	intransitive
astella	1	intransitive
astua	1	intransitive
astuttaa	1	intransitive
asua	1	intransitive
asustaa	1	intransitive
asustella	1	intransitive
asuttaa	1	intransitive
asvaltoida	1	intransitive
asyloida	1	intransitive
aterioida	1	intransitive
atomisoida	1	intransitive
attrahoida	1	intransitive
auditoida	1	intransitive
aueta	1	intransitive
aueta	2	intransitive
aukaista	1	intransitive
aukoa	1	intransitive
aukottaa	1	intransitive
auktorisoida	1	intransitive
auktoroida	1	intransitive
aumata	1	intransitive
aurata	1	intransitive
auskultoida	1	intransitive
autella	1	intransitive
autentikoida	1	intransitive
autioittaa	1	intransitive
autioitua	1	intransitive
autoilla	1	intransitive
autoistua	1	intransitive
autoklaavata	1	intransitive
