lemma	homonym	adptype
reunassa	ADP	genitive
reunasta	ADP	genitive
riippuen	ADP	partitive
riippumatta	ADP	partitive
rinnalla	ADP	genitive
rinnalle	ADP	genitive
rinnalta	ADP	genitive
saakka	ADP	illative
seassa	ADP	genitive
seasta	ADP	genitive
sekaan	ADP	genitive
selkään	ADP	genitive
seurauksena	ADP	genitive
sijaan	ADP	genitive
sijasta	ADP	genitive
sisälle	ADP	genitive
sisällä	ADP	genitive
sisältä	ADP	genitive
sisäpuolelta	ADP	genitive
sisäpuolitse	ADP	genitive
sisään	ADP	genitive
sitten	ADP	partitive
sivuitse	ADP	genitive
sivulla	ADP	genitive
suhteen	ADP	genitive
suhteessa	ADP	illative
suojaan	ADP	genitive
suussa	ADP	genitive
suusta	ADP	genitive
taa	ADP	genitive
taakse	ADP	genitive
taholla	ADP	genitive
taholle	ADP	genitive
taholta	ADP	genitive
taitse	ADP	genitive
takaa	ADP	genitive
takana	ADP	genitive
takapuolitse	ADP	genitive
takia	ADP	genitive
tapauksessa	ADP	inessive
tarpeeksi	ADP	partitive
tasalla	ADP	genitive
tasalla	ADP	genitive
tasalle	ADP	genitive
tasalle	ADP	genitive
tasalta	ADP	genitive
tasalta	ADP	genitive
tautta	ADP	genitive
tavalla	ADP	genitive
tielle	ADP	genitive
tienoilla	ADP	genitive
tieten	ADP	partitive
tiimoilta	ADP	genitive
tilalle	ADP	genitive
tilalle	ADP	genitive
toimesta	ADP	genitive
tuella	ADP	genitive
tuntumaan	ADP	genitive
tuntumassa	ADP	genitive
tykö	ADP	genitive
tähden	ADP	genitive
ulkopuolella	ADP	genitive
ulkopuolelle	ADP	genitive
ulkopuolelta	ADP	genitive
ulos	ADP	partitive
ulottuviin	ADP	genitive
ulottuvilla	ADP	genitive
ulottuville	ADP	genitive
ulottuvilta	ADP	genitive
ulottuvissa	ADP	genitive
ulottuvista	ADP	genitive
vaiheilla	ADP	genitive
vaikutuksesta	ADP	genitive
vailla	ADP	partitive
vaille	ADP	partitive
vallassa	ADP	genitive
vallasta	ADP	genitive
valossa	ADP	genitive
valtaan	ADP	genitive
varaan	ADP	genitive
varalta	ADP	genitive
varassa	ADP	genitive
varasta	ADP	genitive
varrella	ADP	genitive
varrelle	ADP	genitive
varrelta	ADP	genitive
varressa	ADP	genitive
varresta	ADP	genitive
varsille	ADP	genitive
varten	ADP	partitive
vastaan	ADP	partitive
vastapäätä	ADP	genitive
vastassa	ADP	genitive
vasten	ADP	partitive
vastoin	ADP	partitive
verran	ADP	genitive
verrattuna	ADP	illative
viereen	ADP	genitive
vierelle	ADP	genitive
vierelle	ADP	genitive
vierellä	ADP	genitive
viereltä	ADP	genitive
vieressä	ADP	genitive
vierestä	ADP	genitive
vieritse	ADP	genitive
voimalla	ADP	genitive
voimasta	ADP	genitive
vuoksi	ADP	genitive
väliin	ADP	genitive
välille	ADP	genitive
välille	ADP	genitive
välillä	ADP	genitive
väliltä	ADP	genitive
välissä	ADP	genitive
välistä	ADP	genitive
välitse	ADP	genitive
välitse	ADP	genitive
välttämättä	ADP	partitive
vängällä	ADP	genitive
ylettyville	ADP	genitive
yli	ADP	genitive
ylitse	ADP	genitive
ylle	ADP	genitive
yllä	ADP	genitive
yläpuolella	ADP	genitive
yläpuolelle	ADP	genitive
yläpuolitse	ADP	genitive
ylös	ADP	partitive
ympäri	ADP	genitive
ympärille	ADP	genitive
ympärillä	ADP	genitive
ympäriltä	ADP	genitive
ympäritse	ADP	genitive
ääreen	ADP	genitive
äärelle	ADP	genitive
äärellä	ADP	genitive
ääreltä	ADP	genitive
ääressä	ADP	genitive
äärestä	ADP	genitive
ääriin	ADP	genitive
