lemma	NOUN	blacklist
Etelämaa	PROPN	propn-blocking
Eteläpuoli	PROPN	propn-blocking
Etelärinne	PROPN	propn-blocking
Etiäinen	PROPN	propn-blocking
Etumaa	PROPN	propn-blocking
Etupää	PROPN	propn-blocking
Etuselkä	PROPN	propn-blocking
Euro	PROPN	propn-blocking
Euroviisu	PROPN	propn-blocking
Evakko	PROPN	propn-blocking
Fan	PROPN	propn-blocking
Farmi	PROPN	propn-blocking
Fatima	PROPN	propn-blocking
Finni	PROPN	propn-blocking
Fobia	PROPN	propn-blocking
Fokus	PROPN	propn-blocking
Fryygia	PROPN	propn-blocking
Gouda	PROPN	propn-blocking
Guinea	PROPN	propn-blocking
Ha	PROPN	propn-blocking
Haahka	PROPN	propn-blocking
Haahti	PROPN	propn-blocking
Haaksi	PROPN	propn-blocking
Haapa	PROPN	propn-blocking
Haapainen	PROPN	propn-blocking
Haara	PROPN	propn-blocking
Haarikko	PROPN	propn-blocking
Haarukka	PROPN	propn-blocking
Haaska	PROPN	propn-blocking
Haavainen	PROPN	propn-blocking
Habitus	PROPN	propn-blocking
Hahmo	PROPN	propn-blocking
Hai	PROPN	propn-blocking
Haikala	PROPN	propn-blocking
Haikara	PROPN	propn-blocking
Hailakka	PROPN	propn-blocking
Haiseva	PROPN	propn-blocking
Haisu	PROPN	propn-blocking
Haitta	PROPN	propn-blocking
Haka	PROPN	propn-blocking
Hakamaa	PROPN	propn-blocking
Hakanen	PROPN	propn-blocking
Hakattu	PROPN	propn-blocking
Hakkuri	PROPN	propn-blocking
Hakkuu	PROPN	propn-blocking
Hakkuuaukea	PROPN	propn-blocking
Hako	PROPN	propn-blocking
Haljakka	PROPN	propn-blocking
Halju	PROPN	propn-blocking
Halkaisija	PROPN	propn-blocking
Halkinainen	PROPN	propn-blocking
Halkio	PROPN	propn-blocking
Halko	PROPN	propn-blocking
Halla	PROPN	propn-blocking
Hallanpesä	PROPN	propn-blocking
Hallanvaara	PROPN	propn-blocking
Halli	PROPN	propn-blocking
Hallittu	PROPN	propn-blocking
Haltia	PROPN	propn-blocking
Haltio	PROPN	propn-blocking
Halva	PROPN	propn-blocking
Hamara	PROPN	propn-blocking
Hammas	PROPN	propn-blocking
Hamppu	PROPN	propn-blocking
Hanhi	PROPN	propn-blocking
Hani	PROPN	propn-blocking
Hanka	PROPN	propn-blocking
Hankala	PROPN	propn-blocking
Hanko	PROPN	propn-blocking
Hansaliitto	PROPN	propn-blocking
Hanska	PROPN	propn-blocking
Hantti	PROPN	propn-blocking
Happo	PROPN	propn-blocking
Harakka	PROPN	propn-blocking
Harha	PROPN	propn-blocking
Harja	PROPN	propn-blocking
Harjakivi	PROPN	propn-blocking
Harjanne	PROPN	propn-blocking
Harju	PROPN	propn-blocking
Harjus	PROPN	propn-blocking
Harkko	PROPN	propn-blocking
Harmaa	PROPN	propn-blocking
Harmaakivi	PROPN	propn-blocking
Harmaapää	PROPN	propn-blocking
Harmi	PROPN	propn-blocking
Harppu	PROPN	propn-blocking
Harras	PROPN	propn-blocking
Harso	PROPN	propn-blocking
Harsu	PROPN	propn-blocking
Harva	PROPN	propn-blocking
Hassu	PROPN	propn-blocking
Hatara	PROPN	propn-blocking
Hattara	PROPN	propn-blocking
Hattu	PROPN	propn-blocking
Hauenkoukku	PROPN	propn-blocking
Hauki	PROPN	propn-blocking
Haukka	PROPN	propn-blocking
Haukku	PROPN	propn-blocking
Hauska	PROPN	propn-blocking
Hauta	PROPN	propn-blocking
Hautakumpu	PROPN	propn-blocking
Hautausmaa	PROPN	propn-blocking
Hauva	PROPN	propn-blocking
Haveri	PROPN	propn-blocking
Havu	PROPN	propn-blocking
He	PROPN	propn-blocking
Hede	PROPN	propn-blocking
Hedelmätarha	PROPN	propn-blocking
Hee	PROPN	propn-blocking
Heila	PROPN	propn-blocking
Heiluva	PROPN	propn-blocking
Heinikko	PROPN	propn-blocking
Heinä	PROPN	propn-blocking
Heinäaro	PROPN	propn-blocking
Heinähäkki	PROPN	propn-blocking
Heinäinen	PROPN	propn-blocking
Heinäkenkä	PROPN	propn-blocking
Heinämaa	PROPN	propn-blocking
Heinämies	PROPN	propn-blocking
Heinäniitty	PROPN	propn-blocking
Heinäpelto	PROPN	propn-blocking
Heittiö	PROPN	propn-blocking
Heitto	PROPN	propn-blocking
Hekuma	PROPN	propn-blocking
Hela	PROPN	propn-blocking
Helinä	PROPN	propn-blocking
Hella	PROPN	propn-blocking
Helle	PROPN	propn-blocking
