lemma	homonym	plurale_tantum
Alaniitynkalliot	1	obligatory
Alaniityt	1	obligatory
Alankomaat	1	obligatory
Alankomaiden Antillit	1	obligatory
Alankoniityt	1	obligatory
Alanokat	1	obligatory
Alanteenlammit	1	obligatory
Alanteensärkät	1	obligatory
Alapaikanpellot	1	obligatory
Alapalot	1	obligatory
Alapellot	1	obligatory
Alaperänharjut	1	obligatory
Alaperänkankaat	1	obligatory
Alapäänniitut	1	obligatory
Alapäänsaaret	1	obligatory
Alarannansuot	1	obligatory
Alasaaret	1	obligatory
Alasensärkät	1	obligatory
Alasiliänkankaat	1	obligatory
Alasimenlamminmäet	1	obligatory
Alasjärvenkalliot	1	obligatory
Alaskaivetunjärvet	1	obligatory
Alaskivenkalliot	1	obligatory
Alasniitut	1	obligatory
Alassuonsaaret	1	obligatory
Alasuonlammit	1	obligatory
Alasuonsaarekkeet	1	obligatory
Alasuot	1	obligatory
Alatalonahot	1	obligatory
Alatornion Pirkat	1	obligatory
Alavankankaat	1	obligatory
Alavuden Peli-Veikot	1	obligatory
Alavuden Urheilijat	1	obligatory
A-lehdet	1	obligatory
Aleksentievat	1	obligatory
Aleksinsaaret	1	obligatory
alfasäteet	1	obligatory
Alhoinniityt	1	obligatory
Alhonpellot	1	obligatory
alinen	2	common
Aliojansaaret	1	obligatory
alkajaiset	1	obligatory
alkeet	1	obligatory
alkeisopinnot	1	obligatory
alkeistiedot	1	obligatory
alkulehti	1	common
alkulisko	1	common
alkunilviäinen	1	common
alkuopinnot	1	obligatory
alkusanat	1	obligatory
alkuvaikeudet	1	obligatory
Allemakummut	1	obligatory
Allemanivat	1	obligatory
Allijärvet	1	obligatory
Allikonvuoret	1	obligatory
Allinluodot	1	obligatory
Allunpalot	1	obligatory
alppi	1	common
Alttassuonkalliot	1	obligatory
Aluksenmaankalliot	1	obligatory
alunen	1	common
alushousut	1	obligatory
Aluslammit	1	obligatory
Alusnevansaaret	1	obligatory
Alusniityt	1	obligatory
alvejuurikasvi	1	common
Amerikankalliot	1	obligatory
amerikannokkavarpuset	1	obligatory
amerikanpäästäiskontiaiset	1	obligatory
amerikansirohaukat	1	obligatory
ammattiopinnot	1	obligatory
Ammeet	1	obligatory
Ammeluodot	1	obligatory
Ammurivit	1	obligatory
Ampiaiskankaat	1	obligatory
Ampiaiskivet	1	obligatory
Ampiaisliat	1	obligatory
Ampiaissuot	1	obligatory
ampiaisyrtti	1	common
Ampupäät	1	obligatory
Andamaanit ja Nikobaarit	1	obligatory
Anellinkorvat	1	obligatory
Angalasjärvet	1	obligatory
Angasmuotkanharjut	1	obligatory
Angelharjunlammit	1	obligatory
Angelharjut	1	obligatory
Anionpellot	1	obligatory
Ankkuriletot	1	obligatory
Anna Greetan järvet	1	obligatory
Annankalliot	1	obligatory
Annastiinanautiot	1	obligatory
Annikinsaaret	1	obligatory
Anninniitut	1	obligatory
Anonyymit Ylensyöjät	1	obligatory
anopikset	1	obligatory
Ansakummut	1	obligatory
Ansasaaret	1	obligatory
Ansasalmenkankaat	1	obligatory
Antaraslammet	1	obligatory
Anterustievat	1	obligatory
Antikaisahot	1	obligatory
Antillit	1	obligatory
antimet	1	obligatory
Antin Pyytämäjärvet	1	obligatory
Antinjängänkummut	1	obligatory
Antinjärventievat	1	obligatory
Antinkalliot	1	obligatory
Antinkarit	1	obligatory
Antinlamminpäällysahot	1	obligatory
Antinlammit	1	obligatory
Antinluodot	1	obligatory
Antinnevansaaret	1	obligatory
Antinnivat	1	obligatory
Antinsaaret	1	obligatory
Antosuot	1	obligatory
Anttikarvot	1	obligatory
Anttilankalliot	1	obligatory
Anttilanpellot	1	obligatory
Anttosaaret	1	obligatory
Anttosenlammit	1	obligatory
Anttosensaarekkeet	1	obligatory
A-oikeudet	1	obligatory
Apaalahdet	1	obligatory
Apajakarit	1	obligatory
Apajasaaret	1	obligatory
Apajat	1	obligatory
Appistunturit	1	obligatory
appivanhemmat	1	obligatory
apporttikustannukset	1	obligatory
apposet	1	obligatory
Apsanniityt	1	obligatory
Arabiankankaat	1	obligatory
Arabiemiirikunnat	1	obligatory
Arabiemiraatit	1	obligatory
arabisissi	1	common
araliakasvi	1	common
arapaimat	1	obligatory
arentimies	1	common
Arinperinahot	1	obligatory
arkiolot	1	obligatory
Arkkelit	1	obligatory
arkkibakteeri	1	common
Arkkunevanvuoret	1	obligatory
Armiahonpellot	1	obligatory
Armoharjut	1	obligatory
arojerbot	1	obligatory
arokyyhky	1	common
Arolamminharjut	1	obligatory
Arolammit	1	obligatory
Aromaannorot	1	obligatory
Arometsänniityt	1	obligatory
Aronkalliot	1	obligatory
Aronkankaanlammit	1	obligatory
Aronsuot	1	obligatory
Aropellot	1	obligatory
Arot	1	obligatory
arpajaiset	1	obligatory
Arttasaaret	1	obligatory
Arvinkalliot	1	obligatory
Arviosaaret	1	obligatory
arvo	1	common
arvopaperimarkkinat	1	obligatory
arvostelu	1	common
aselepoehdot	1	obligatory
Aselinkalliot	1	obligatory
Asemakukkulat	1	obligatory
Asentolammet	1	obligatory
asetussanat	1	obligatory
asiakirjakannet	1	obligatory
Asikaistenkalliot	1	obligatory
Asikanniityt	1	obligatory
Askelluolat	1	obligatory
Askerinkarit	1	obligatory
Askerinsääret	1	obligatory
askomykeetit	1	obligatory
Asmalammit	1	obligatory
asterikasvi	1	common
asuintila	1	common
asumiskustannukset	1	obligatory
Asunkalliot	1	obligatory
asuntomessut	1	obligatory
Asuntomessut	1	obligatory
asunto-olot	1	obligatory
Ateriamestarit	1	obligatory
aterimet	1	obligatory
Atrainluodot	1	obligatory
Atrasluodot	1	obligatory
atulat	1	obligatory
augustinolaisveljet	1	obligatory
Auhtokalliot	1	obligatory
Aukeattievat	1	obligatory
Aukeenlammit	1	obligatory
Aukiakankaanrovat	1	obligatory
Aukkoriutat	1	obligatory
Aukustinlammet	1	obligatory
Aumakalliot	1	obligatory
Aumakivensaaret	1	obligatory
Aumalammit	1	obligatory
aurankukka	1	common
aurinkoahven	1	common
aurinkolasit	1	obligatory
Aurinkomatkat	1	obligatory
australianhypikkäät	1	obligatory
australiantupsurotat	1	obligatory
Autiolammit	1	obligatory
Autioluodot	1	obligatory
Autiomäet	1	obligatory
Autiomänniköntievat	1	obligatory
Autionkedonnevat	1	obligatory
Autionpellot	1	obligatory
Autionvuoret	1	obligatory
Autiopellot	1	obligatory
Autiosaaret	1	obligatory
Automatia Pankkiautomaatit	1	obligatory
Autotuojat	1	obligatory
Autsinsuunivat	1	obligatory
Autto-ojankummut	1	obligatory
Avainsaaret	1	obligatory
Avainsuonsaarekkeet	1	obligatory
avajaiset	1	obligatory
avajaisjuhlallisuudet	1	obligatory
Avankarit	1	obligatory
Avantolammit	1	obligatory
Avauslammit	1	obligatory
Avesaarenkarit	1	obligatory
avioliittomarkkinat	1	obligatory
Aviopellot	1	obligatory
Aviosaaret	1	obligatory
avistamarkkinat	1	obligatory
Avlijärvet	1	obligatory
Avlilompolot	1	obligatory
avokantaiset	1	obligatory
avokengät	1	obligatory
Avokolut	1	obligatory
AVS-Yhtiöt	1	obligatory
Azorit	1	obligatory
bailut	1	obligatory
bakkanaali	1	common
bakteerilaji	1	common
Baleaarit	1	obligatory
banaanikasvi	1	common
banaanikerttuli	1	common
baronetit	1	obligatory
beatnikki	1	common
beetasäteet	1	obligatory
behemot	1	obligatory
Bella Veneet	1	obligatory
Bella-Veneet	1	obligatory
belugat	1	obligatory
beringinhylkeet	1	obligatory
bermudasortsit	1	obligatory
bermudat	1	obligatory
Betaniankankaat	1	obligatory
Betinlammit	1	obligatory
Betonimestarit	1	obligatory
bikinialushousut	1	obligatory
bikinihousut	1	obligatory
bikinit	1	obligatory
bileet	1	obligatory
binturongit	1	obligatory
Blommankivet	1	obligatory
B-oikeudet	1	obligatory
boiotialainen	1	common
Branderinkarit	1	obligatory
Brittiläiset Neitsytsaaret	1	obligatory
Bruumosanlammit	1	obligatory
Brännasviikinraklit	1	obligatory
Budolajien suomalaiset kattojärjestöt	1	obligatory
bänet	1	obligatory
bänät	1	obligatory
Caicossaaret	1	obligatory
Capris Keittiöt	1	obligatory
Caymansaaret	1	obligatory
chukka-kengät	1	obligatory
cocktailkutsut	1	obligatory
collegehousut	1	obligatory
Cookinsaaret	1	obligatory
damaski	1	common
Demokratian Pioneerit	1	obligatory
Dennis Yhtiöt	1	obligatory
Depp Työpsykologiset palvelut	1	obligatory
desimetriaallot	1	obligatory
Diacor Terveyspalvelut	1	obligatory
dicynodontit	1	obligatory
dimensio	1	common
diplomaattisuhteet	1	obligatory
dodot	1	obligatory
dolmat	1	obligatory
dongarit	1	obligatory
Dufvanreiät	1	obligatory
duriot	1	obligatory
eduskuntavaalit	1	obligatory
