lemma	homonym	new_para	stem-vowel
Whitney	1	N_JOCKEY	i
Wicklow	1	N_SHOW	u
Xiró	1	N_ESQUIMAU	o
Xylaganí	1	N_BRASSERIE	i
Yaoundé	1	N_ROSÉ	e
Üllő	1	N_MALMÖ	ö
Žagarė	1	N_ROSÉ	e
Zahlé	1	N_ROSÉ	e
Ziniaré	1	N_ROSÉ	e
Ziway	1	N_GAY	i
Zsibó	1	N_ESQUIMAU	o
Zubří	1	N_BRASSERIE	i
Örebro	1	N_KUNGFU	u
