lemma	homonym	new_para	adjective_class
aiempi	1	A_AIEMPI	Comp
alempi	1	A_AIEMPI	Comp
lähempi	1	A_LÄHEMPI	Comp
parempi	1	A_AIEMPI	Comp
ulompi	1	A_AIEMPI	Comp
ylempi	1	A_LÄHEMPI	Comp
alin	1	A_PAHIN	Superl
lähin	1	A_SISIN	Superl
paras	1	A_PARAS	Superl
parhain	1	A_PAHIN	Superl
uloin	1	A_PAHIN	Superl
ylin	1	A_SISIN	Superl
