lemma	homonym	boundaries
hemofiilinen	1	hemo{XB}fiilinen
hemofiliapotilas	1	hemofilia{WB}potilas
hemofiltraatio	1	hemo{WB}filtraatio
hemoglobiini	1	hemo{WB}globiini
hemoglobinopatia	1	hemo{WB}globino{WB}patia
hemoglobinuria	1	hemo{WB}globin{WB}uria
hemokromatoosi	1	hemo{WB}kromatoosi
hemolyyttinen	1	hemo{WB}lyyttinen
hemoperfuusio	1	hemo{WB}perfuusio
hemoperikardium	1	hemo{WB}peri{WB}kardium
hemoperitoneum	1	hemo{WB}peritoneum
hemosideriini	1	hemo{WB}sideriini
hemosideroosi	1	hemo{WB}sideroosi
hemothorax	1	hemo{WB}thorax
hemotympanum	1	hemo{WB}tympanum
hempeämielinen	1	hempeä{WB}mielinen
hengenahdistus	1	hengen{WB}ahdistus
hengenelämä	1	hengen{WB}elämä
hengenheimolainen	1	hengen{WB}heimolainen
hengenheimolaisuus	1	hengen{WB}heimolaisuus
hengenhätä	1	hengen{WB}hätä
hengenlaatu	1	hengen{WB}laatu
hengenlahjat	1	hengen{WB}lahjat
hengenluoja	1	hengen{WB}luoja
hengenluonti	1	hengen{WB}luonti
hengenlähtö	1	hengen{WB}lähtö
hengenmeno	1	hengen{WB}meno
hengenmies	1	hengen{WB}mies
hengenpelastaja	1	hengen{WB}pelastaja
hengenpelastus	1	hengen{WB}pelastus
hengenpelastusmitali	1	hengen{WB}pelastus{WB}mitali
hengenpidin	1	hengen{WB}pidin
hengenravinto	1	hengen{WB}ravinto
hengentuote	1	hengen{WB}tuote
hengenvaara	1	hengen{WB}vaara
hengenvaarallinen	1	hengen{WB}vaarallinen
hengenvaarallisesti	1	hengen{WB}vaarallisesti
hengenvaarallisuus	1	hengen{WB}vaarallisuus
hengenveto	1	hengen{WB}veto
hengenviljely	1	hengen{WB}viljely
hengenvoima	1	hengen{WB}voima
hengissäpysyminen	1	hengissä{WB}pysyminen
hengityksensuojain	1	hengityksen{WB}suojain
hengitysaukko	1	hengitys{WB}aukko
hengityselimet	1	hengitys{WB}elimet
hengityselinsairaus	1	hengityselin{WB}sairaus
hengityshalvaus	1	hengitys{WB}halvaus
hengitysharjoitus	1	hengitys{WB}harjoitus
hengitysilma	1	hengitys{WB}ilma
hengitysjuuri	1	hengitys{WB}juuri
hengityskatkos	1	hengitys{WB}katkos
hengityskeskus	1	hengitys{WB}keskus
hengityskoje	1	hengitys{WB}koje
hengityskone	1	hengitys{WB}kone
hengityskäyrä	1	hengitys{WB}käyrä
hengityslaite	1	hengitys{WB}laite
hengityslihas	1	hengitys{WB}lihas
hengitysliike	1	hengitys{WB}liike
hengitysmittari	1	hengitys{WB}mittari
hengitysmittaus	1	hengitys{WB}mittaus
hengitysosamäärä	1	hengitys{WB}osamäärä
hengityssuojain	1	hengitys{WB}suojain
hengitystaajuus	1	hengitys{WB}taajuus
hengitystie	1	hengitys{WB}tie
hengitystieallergia	1	hengitys{WB}tie{WB}allergia
hengitystiehyt	1	hengitys{WB}tiehyt
hengitystieinfektio	1	hengitystie{WB}infektio
hengitystiheys	1	hengitys{WB}tiheys
hengitystila	1	hengitys{WB}tila
hengitysvaikeus	1	hengitys{WB}vaikeus
hengitysvaikeusoireyhtymä	1	hengitysvaikeus{WB}oireyhtymä
hengitysääni	1	hengitys{WB}ääni
hengähdysaika	1	hengähdys{WB}aika
hengähdystauko	1	hengähdys{WB}tauko
Henkavaara	1	Henka{WB}vaara
henkeäsalpaava	1	henkeä{WB}salpaava
henkienkutsuja	1	henkien{WB}kutsuja
henkienmanaaja	1	henkien{WB}manaaja
henkihieveriin	1	henki{WB}hieveriin
henkihieverissä	1	henki{WB}hieverissä
henkiinherättäminen	1	henkiin{WB}herättäminen
henkiinherätys	1	henkiin{WB}herätys
henkiinjääminen	1	henkiin{WB}jääminen
henkiinjäänti	1	henkiin{WB}jäänti
henkiinjäänyt	1	henkiin{WB}jäänyt
henkikaarti	1	henki{WB}kaarti
henkikaste	1	henki{WB}kaste
henkikirjoittaja	1	henki{WB}kirjoittaja
henkikirjoitus	1	henki{WB}kirjoitus
henkikulta	1	henki{WB}kulta
henkilääkäri	1	henki{WB}lääkäri
henkilöartikkeli	1	henkilö{WB}artikkeli
henkilöasia	1	henkilö{WB}asia
henkilöauto	1	henkilö{WB}auto
henkilöautoliikenne	1	henkilö{WB}auto{WB}liikenne
henkilöhahmo	1	henkilö{WB}hahmo
henkilöhakemisto	1	henkilö{WB}hakemisto
henkilöhaku	1	henkilö{WB}haku
henkilöhakujärjestelmä	1	henkilö{WB}haku{WB}järjestelmä
henkilöhakulaite	1	henkilö{WB}haku{WB}laite
henkilöhakuvastaanotin	1	henkilö{WB}haku{WB}vastaanotin
henkilöhissi	1	henkilö{WB}hissi
henkilöhistoria	1	henkilö{WB}historia
henkilöhistoriallinen	1	henkilö{WB}historiallinen
henkilöjuna	1	henkilö{WB}juna
henkilöjäsen	1	henkilö{WB}jäsen
henkilökaarti	1	henkilö{WB}kaarti
henkilökemia	1	henkilö{WB}kemia
henkilökohtainen	1	henkilö{WB}kohtainen
henkilökohtaisesti	1	henkilö{WB}kohtaisesti
henkilökohtaisuus	1	henkilö{WB}kohtaisuus
henkilökortti	1	henkilö{WB}kortti
henkilökuljetus	1	henkilö{WB}kuljetus
henkilökultti	1	henkilö{WB}kultti
henkilökunta	1	henkilö{WB}kunta
henkilökunta-alennus	1	henkilö{WB}kunta-alennus
henkilökuntaetu	1	henkilö{WB}kunta{WB}etu
henkilökuntalehti	1	henkilö{WB}kunta{WB}lehti
henkilökuva	1	henkilö{WB}kuva
henkilökuvaus	1	henkilö{WB}kuvaus
henkilökysymys	1	henkilö{WB}kysymys
henkilöliikenne	1	henkilö{WB}liikenne
henkilöllisyystodistus	1	henkilöllisyys{WB}todistus
henkilöluotto	1	henkilö{WB}luotto
henkilömiina	1	henkilö{WB}miina
henkilönnimi	1	henkilön{WB}nimi
henkilönostin	1	henkilö{WB}nostin
henkilönpalvonta	1	henkilön{WB}palvonta
henkilöoikeus	1	henkilö{WB}oikeus
henkilöpalvonta	1	henkilö{WB}palvonta
henkilöpaperit	1	henkilö{WB}paperit
henkilöpuhelu	1	henkilö{WB}puhelu
henkilörekisteri	1	henkilö{WB}rekisteri
henkilöstöanti	1	henkilöstö{WB}anti
henkilöstöhallinto	1	henkilöstö{WB}hallinto
henkilöstökoulutus	1	henkilöstö{WB}koulutus
henkilöstönvuokraaja	1	henkilöstön{WB}vuokraaja
henkilöstöosasto	1	henkilöstö{WB}osasto
henkilöstöpolitiikka	1	henkilöstö{WB}politiikka
henkilöstöpäällikkö	1	henkilöstö{WB}päällikkö
henkilöstörahasto	1	henkilöstö{WB}rahasto
henkilöstöravintola	1	henkilöstö{WB}ravintola
henkilöstöruokala	1	henkilöstö{WB}ruokala
henkilöstöyrittäjä	1	henkilöstö{WB}yrittäjä
henkilöstöyritys	1	henkilöstö{WB}yritys
henkilösuhde	1	henkilö{WB}suhde
henkilötakaus	1	henkilö{WB}takaus
henkilötiedot	1	henkilö{WB}tiedot
henkilötodistus	1	henkilö{WB}todistus
henkilötunniste	1	henkilö{WB}tunniste
henkilötunnus	1	henkilö{WB}tunnus
henkilötyyppi	1	henkilö{WB}tyyppi
henkilötyöpäivä	1	henkilö{WB}työ{WB}päivä
henkilötyötunti	1	henkilö{WB}työtunti
henkilötyövuosi	1	henkilö{WB}työ{WB}vuosi
henkilövaaka	1	henkilö{WB}vaaka
henkilövahinko	1	henkilö{WB}vahinko
henkilövaihdos	1	henkilö{WB}vaihdos
henkilövakuus	1	henkilö{WB}vakuus
henkilövakuutus	1	henkilö{WB}vakuutus
henkilövalinta	1	henkilö{WB}valinta
henkilövaunu	1	henkilö{WB}vaunu
henkimaailma	1	henki{WB}maa{XB}ilma
henkiolento	1	henki{WB}olento
henkipalvelija	1	henki{WB}palvelija
henkiparannus	1	henki{WB}parannus
henkiparantaja	1	henki{WB}parantaja
henkipatto	1	henki{WB}patto
henkiraha	1	henki{WB}raha
henkireikä	1	henki{WB}reikä
henkiriepu	1	henki{WB}riepu
henkirikollinen	1	henki{WB}rikollinen
henkirikollinen	2	henki{WB}rikollinen
henkirikos	1	henki{WB}rikos
henkisavut	1	henki{WB}savut
henkisyys	1	henki{WB}syys
henkitanssi	1	henki{WB}tanssi
henkitiede	1	henki{WB}tiede
henkitore	1	henki{WB}tore
henkitoreihin	1	henki{WB}toreihin
henkitoreihinsa	1	henki{WB}toreihinsa
henkitoreisiin	1	henki{WB}toreisiin
henkitoreissa	1	henki{WB}toreissa
henkitoreissaan	1	henki{WB}toreissaan
henkitorvi	1	henki{WB}torvi
henkivakuuttaa	1	henki{WB}vakuuttaa
henkivakuutus	1	henki{WB}vakuutus
henkivakuutuskirja	1	henki{WB}vakuutus{WB}kirja
henkivakuutusmaksu	1	henki{WB}vakuutus{WB}maksu
henkivakuutusyhtiö	1	henki{WB}vakuutusyhtiö
henkivartija	1	henki{WB}vartija
henkivartiokaarti	1	henki{WB}vartio{WB}kaarti
henkivartiosto	1	henki{WB}vartiosto
henkivero	1	henki{WB}vero
henkiystävä	1	henki{WB}ystävä
henkäyksenohut	1	henkäyksen{WB}ohut
hennapensas	1	henna{WB}pensas
Hennariikka	1	Henna{WB}riikka
hentojäseninen	1	hento{WB}jäseninen
hentokasvuinen	1	hento{WB}kasvuinen
hentomielinen	1	hento{WB}mielinen
hentomielisyys	1	hento{WB}mielisyys
hentorakenteinen	1	hento{WB}rakenteinen
hentosudenkorento	1	hento{WB}sudenkorento
hepatoblastooma	1	hepato{WB}blastooma
hepatomegalia	1	hepato{WB}megalia
hepatosellulaarinen	1	hepato{WB}sellulaarinen
hepoasteet	1	hepo{WB}asteet
hepokatti	1	hepo{WB}katti
heprealaiskirje	1	heprealais{WB}kirje
heprean kieli	1	heprean kieli
hepreankielinen	1	heprean{WB}kielinen
hepsankeikka	1	hepsan{WB}keikka
heptahydraatti	1	hepta{WB}hydraatti
herajuusto	1	hera{WB}juusto
herakalvo	1	hera{WB}kalvo
herastuomari	1	heras{WB}tuomari
herefordrotu	1	hereford{WB}rotu
herhiläispesä	1	herhiläis{WB}pesä
herjakirjoitus	1	herja{WB}kirjoitus
herjasana	1	herja{WB}sana
herkkukauppa	1	herkku{WB}kauppa
herkkupala	1	herkku{WB}pala
herkkuperuna	1	herkku{WB}peruna
herkkuruoka	1	herkku{WB}ruoka
herkkusieni	1	herkku{WB}sieni
herkkusienikastike	1	herkku{WB}sieni{WB}kastike
herkkusienikeitto	1	herkku{WB}sieni{WB}keitto
herkkusuu	1	herkku{WB}suu
herkkutatti	1	herkku{WB}tatti
herkkähermoinen	1	herkkä{WB}hermoinen
herkkähermoisuus	1	herkkä{WB}hermoisuus
herkkähipiäinen	1	herkkä{WB}hipiäinen
herkkäihoinen	1	herkkä{WB}ihoinen
herkkäilmeinen	1	herkkä{WB}ilmeinen
herkkäkuuloinen	1	herkkä{WB}kuuloinen
herkkäliikkeinen	1	herkkä{WB}liikkeinen
herkkänahkainen	1	herkkä{WB}nahkainen
herkkänahkaisuus	1	herkkä{WB}nahkaisuus
herkkätunteinen	1	herkkä{WB}tunteinen
herkkätunteisuus	1	herkkä{WB}tunteisuus
herkkätuntoinen	1	herkkä{WB}tuntoinen
herkkäuninen	1	herkkä{WB}uninen
herkkäuskoinen	1	herkkä{WB}uskoinen
herkkäuskoisuus	1	herkkä{WB}uskoisuus
herkkävaistoisuus	1	herkkä{WB}vaistoisuus
herkkävireinen	1	herkkä{WB}vireinen
hermafrodiitti	1	herma{WB}frodiitti
hermoheikko	1	hermo{WB}heikko
hermoheikkous	1	hermo{WB}heikkous
hermoherkkä	1	hermo{WB}herkkä
hermohormoni	1	hermo{WB}hormoni
hermohäiriö	1	hermo{WB}häiriö
hermoimpulssi	1	hermo{WB}impulssi
hermojuoste	1	hermo{WB}juoste
hermojuuritulehdus	1	hermojuuri{WB}tulehdus
hermojännitys	1	hermo{WB}jännitys
hermojärjestelmä	1	hermo{WB}järjestelmä
hermokaari	1	hermo{WB}kaari
hermokaasu	1	hermo{WB}kaasu
hermokasvain	1	hermo{WB}kasvain
hermokasvutekijä	1	hermo{WB}kasvutekijä
hermokeskus	1	hermo{WB}keskus
hermokimppu	1	hermo{WB}kimppu
hermokirurgia	1	hermo{WB}kirurgia
hermokoe	1	hermo{WB}koe
hermokompressio	1	hermo{WB}kompressio
hermokudos	1	hermo{WB}kudos
hermolepo	1	hermo{WB}lepo
hermoliitos	1	hermo{WB}liitos
hermomyrkky	1	hermo{WB}myrkky
hermonpoisto	1	hermon{WB}poisto
hermopaine	1	hermo{WB}paine
hermoperäinen	1	hermo{WB}peräinen
hermopinne	1	hermo{WB}pinne
hermopunos	1	hermo{WB}punos
hermopääte	1	hermo{WB}pääte
hermorakenne	1	hermo{WB}rakenne
hermorasitus	1	hermo{WB}rasitus
hermorata	1	hermo{WB}rata
hermoratahieronta	1	hermo{WB}rata{WB}hieronta
hermoraunio	1	hermo{WB}raunio
hermoromahdus	1	hermo{WB}romahdus
hermosairaus	1	hermo{WB}sairaus
hermosavut	1	hermo{WB}savut
hermosolmu	1	hermo{WB}solmu
hermosolu	1	hermo{WB}solu
hermosota	1	hermo{WB}sota
hermostomyrkky	1	hermosto{WB}myrkky
hermostoputki	1	hermosto{WB}putki
hermostosairaus	1	hermosto{WB}sairaus
hermosyy	1	hermo{WB}syy
hermosärky	1	hermo{WB}särky
hermotauti	1	hermo{WB}tauti
hermotautioppi	1	hermo{WB}tauti{WB}oppi
hermotukikudos	1	hermo{WB}tukikudos
hermotulehdus	1	hermo{WB}tulehdus
hermotuppi	1	hermo{WB}tuppi
hermoverkko	1	hermo{WB}verkko
hermoväre	1	hermo{WB}väre
hermoärsyke	1	hermo{WB}ärsyke
herneenhärmä	1	herneen{WB}härmä
herneenpalko	1	herneen{WB}palko
herneenvarsi	1	herneen{WB}varsi
herneenvihreä	1	herneen{WB}vihreä
herneenvihreä	2	herneen{WB}vihreä
herneenviljely	1	herneen{WB}viljely
hernejauho	1	herne{WB}jauho
hernekasvi	1	herne{WB}kasvi
hernekeitto	1	herne{WB}keitto
hernekeppi	1	herne{WB}keppi
hernekerttu	1	herne{WB}kerttu
herneluu	1	herne{WB}luu
hernemuhennos	1	herne{WB}muhennos
hernepelto	1	herne{WB}pelto
hernepenkki	1	herne{WB}penkki
hernepensas	1	herne{WB}pensas
hernepussi	1	herne{WB}pussi
hernepyssy	1	herne{WB}pyssy
hernerokka	1	herne{WB}rokka
hernerokkasumu	1	herne{WB}rokka{WB}sumu
hernesimpukka	1	herne{WB}simpukka
hernesoppa	1	herne{WB}soppa
hernesose	1	herne{WB}sose
herneviljelmä	1	herne{WB}viljelmä
heroiiniriippuvainen	1	heroiini{WB}riippuvainen
heroiiniriippuvuus	1	heroiini{WB}riippuvuus
herpesaivokuume	1	herpes{WB}aivokuume
herpesenkefaliitti	1	herpes{WB}enkefaliitti
herpesvirus	1	herpes{WB}virus
herrahissi	1	herra{WB}hissi
herrainkaulus	1	herrain{WB}kaulus
herrainkutsut	1	herrain{WB}kutsut
herrakansa	1	herra{WB}kansa
herrakutsut	1	herra{WB}kutsut
herranterttu	1	herran{WB}terttu
herraseura	1	herra{WB}seura
herraskartano	1	herras{WB}kartano
herrasmies	1	herras{WB}mies
herrasmiesmäinen	1	herras{WB}miesmäinen
herrasmiessopimus	1	herras{WB}mies{WB}sopimus
herrasmiesurheilija	1	herrasmies{WB}urheilija
herraspoika	1	herras{WB}poika
herrastuomari	1	herras{WB}tuomari
herrasväki	1	herras{WB}väki
herraviha	1	herra{WB}viha
hertsiaalto	1	hertsi{WB}aalto
herttaikikukka	1	hertta{WB}ikikukka
herttakaksikko	1	hertta{WB}kaksikko
herttakuningas	1	hertta{WB}kuningas
herttaköynnös	1	hertta{WB}köynnös
herttalehti	1	hertta{WB}lehti
herttarouva	1	hertta{WB}rouva
herttaässä	1	hertta{WB}ässä
Herttoniemi	1	Hertto{WB}niemi
herttuakunta	1	herttua{WB}kunta
herttuanarvo	1	herttuan{WB}arvo
herukanvillaruoste	1	herukanvilla{WB}ruoste
herukkakoi	1	herukka{WB}koi
herukkaperhonen	1	herukka{WB}perhonen
herännäispappi	1	herännäis{WB}pappi
herännäisseurat	1	herännäis{WB}seurat
herätemiina	1	heräte{WB}miina
heräteosto	1	heräte{WB}osto
heräteostos	1	heräte{WB}ostos
herätepotentiaali	1	heräte{WB}potentiaali
heräteraivaaja	1	heräte{WB}raivaaja
herättäjäjuhlat	1	herättäjä{WB}juhlat
herätyskello	1	herätys{WB}kello
herätyskokous	1	herätys{WB}kokous
herätyslaite	1	herätys{WB}laite
herätysliike	1	herätys{WB}liike
herätyssaarnaaja	1	herätys{WB}saarnaaja
herätystyö	1	herätys{WB}työ
Hesburger	1	Hes{WB}burger
heterogamia	1	hetero{WB}gamia
heterogeeninen	1	hetero{WB}geeninen
heterogeneesi	1	hetero{XB}geneesi
heterometabolia	1	hetero{WB}metabolia
heterometabolinen	1	hetero{WB}metabolinen
heteromies	1	hetero{WB}mies
heteronainen	1	hetero{WB}nainen
heteroseksismi	1	hetero{WB}seksismi
heteroseksuaali	1	hetero{WB}seksuaali
heteroseksuaalinen	1	hetero{WB}seksuaalinen
heteroseksuaalisuus	1	hetero{WB}seksuaalisuus
heterosykli	1	hetero{WB}sykli
heterosyklinen	1	hetero{WB}syklinen
heterotsygootti	1	hetero{WB}tsygootti
heterotsygoottinen	1	hetero{WB}tsygoottinen
hetesammal	1	hete{WB}sammal
hetkellisarvo	1	hetkellis{WB}arvo
hetkipalvelus	1	hetki{WB}palvelus
hetulavalas	1	hetula{WB}valas
hevibändi	1	hevi{WB}bändi
hevimetalli	1	hevi{WB}metalli
hevirock	1	hevi{WB}rock
hevosajoneuvo	1	hevos{WB}ajoneuvo
hevosajoneuvo	2	hevos{WB}ajo{WB}neuvo
hevosantilooppi	1	hevos{WB}antilooppi
hevoseläin	1	hevos{WB}eläin
hevosenjalka	1	hevosen{WB}jalka
hevosenkakkara	1	hevosen{WB}kakkara
hevosenkengittäjä	1	hevosen{WB}kengittäjä
hevosenkenkä	1	hevosen{WB}kenkä
hevosenkenkämato	1	hevosenkenkä{WB}mato
hevosenkenkäyökkö	1	hevosenkenkä{WB}yökkö
hevosenkesyttäjä	1	hevosen{WB}kesyttäjä
hevosenkesytys	1	hevosen{WB}kesytys
hevosenlanta	1	hevosen{WB}lanta
hevosenleikki	1	hevosen{WB}leikki
hevosenliha	1	hevosen{WB}liha
hevosenmitta	1	hevosen{WB}mitta
hevosenvaljaat	1	hevosen{WB}valjaat
hevosenvuota	1	hevosen{WB}vuota
hevosfarmi	1	hevos{WB}farmi
hevosharava	1	hevos{WB}harava
hevosharrastaja	1	hevos{WB}harrastaja
hevoshoito	1	hevos{WB}hoito
hevoshuijari	1	hevos{WB}huijari
hevoshullu	1	hevos{WB}hullu
hevosinfluenssa	1	hevos{WB}influenssa
hevosjalostus	1	hevos{WB}jalostus
hevosjuotikas	1	hevos{WB}juotikas
hevoskantakirja	1	hevos{WB}kanta{WB}kirja
hevoskastanja	1	hevos{WB}kastanja
hevoskastanjakasvi	1	hevoskastanja{WB}kasvi
hevoskasvattaja	1	hevos{WB}kasvattaja
hevoskasvatus	1	hevos{WB}kasvatus
hevoskauppa	1	hevos{WB}kauppa
hevoskilpailu	1	hevos{WB}kilpailu
hevoskilpailuhullu	1	hevoskilpailu{WB}hullu
hevoskuljetus	1	hevos{WB}kuljetus
hevoskuljetusvaunu	1	hevos{WB}kuljetusvaunu
hevoskuorma	1	hevos{WB}kuorma
hevoskuormallinen	1	hevos{WB}kuormallinen
hevoskuormittain	1	hevos{WB}kuormittain
hevoskuuri	1	hevos{WB}kuuri
hevoskyyti	1	hevos{WB}kyyti
hevoskärpänen	1	hevos{WB}kärpänen
hevoskärryt	1	hevos{WB}kärryt
hevoslanta	1	hevos{WB}lanta
hevosliha	1	hevos{WB}liha
hevosliike	1	hevos{WB}liike
hevosloimi	1	hevos{WB}loimi
hevoslääkäri	1	hevos{WB}lääkäri
hevosmies	1	hevos{WB}mies
hevosminttu	1	hevos{WB}minttu
hevosmuurahainen	1	hevos{WB}muurahainen
hevosnaamainen	1	hevos{WB}naamainen
hevosnäytöskilpailu	1	hevosnäytös{WB}kilpailu
hevosooppera	1	hevos{WB}ooppera
hevospaimen	1	hevos{WB}paimen
hevospari	1	hevos{WB}pari
hevospiikkimakrilli	1	hevospiikki{WB}makrilli
hevospistooli	1	hevos{WB}pistooli
hevospolku	1	hevos{WB}polku
hevospoolo	1	hevos{WB}poolo
hevospuomi	1	hevos{WB}puomi
hevosraitiovaunu	1	hevos{WB}raitiovaunu
hevosrakas	1	hevos{WB}rakas
hevosrotu	1	hevos{WB}rotu
hevossiittola	1	hevos{WB}siittola
hevostalli	1	hevos{WB}talli
hevostalous	1	hevos{WB}talous
hevostenhoitaja	1	hevosten{WB}hoitaja
Hevostie	1	Hevos{WB}tie
hevostila	1	hevos{WB}tila
hevosurheilu	1	hevos{WB}urheilu
hevosvaljaat	1	hevos{WB}valjaat
hevosvetoinen	1	hevos{WB}vetoinen
hevosvoima	1	hevos{WB}voima
hevosvoimatunti	1	hevosvoima{WB}tunti
hevosyskä	1	hevos{WB}yskä
hiatushernia	1	hiatus{WB}hernia
hidasjuoksuinen	1	hidas{WB}juoksuinen
hidasjärkinen	1	hidas{WB}järkinen
hidaskasvuinen	1	hidas{WB}kasvuinen
hidaskatu	1	hidas{WB}katu
hidaskulkuinen	1	hidas{WB}kulkuinen
hidaskäyntinen	1	hidas{WB}käyntinen
hidasliikkeinen	1	hidas{WB}liikkeinen
hidasliikkeisyys	1	hidas{WB}liikkeisyys
hidaslorit	1	hidas{WB}lorit
hidaslukuinen	1	hidas{WB}lukuinen
hidasluonteinen	1	hidas{WB}luonteinen
hidaspuheinen	1	hidas{WB}puheinen
hidastempoinen	1	hidas{WB}tempoinen
hidastuskaista	1	hidastus{WB}kaista
hidastuslakko	1	hidastus{WB}lakko
hidastuslaskuvarjo	1	hidastus{WB}laskuvarjo
hidasälyinen	1	hidas{WB}älyinen
hiekanajo	1	hiekan{WB}ajo
hiekanjyvä	1	hiekan{WB}jyvä
hiekankeltainen	1	hiekan{WB}keltainen
hiekanmyyjäpoika	1	hiekanmyyjä{WB}poika
hiekanotto	1	hiekan{WB}otto
hiekanruskea	1	hiekan{WB}ruskea
hiekansekainen	1	hiekan{WB}sekainen
hiekanvärinen	1	hiekan{WB}värinen
hiekka-aavikko	1	hiekka-aavikko
hiekkadyyni	1	hiekka{WB}dyyni
hiekkaerämaa	1	hiekka{WB}erä{WB}maa
hiekkaeste	1	hiekka{WB}este
hiekkaharju	1	hiekka{WB}harju
hiekkajyvä	1	hiekka{WB}jyvä
hiekkajyvänen	1	hiekka{WB}jyvänen
hiekkakakku	1	hiekka{WB}kakku
hiekkakala	1	hiekka{WB}kala
hiekkakasa	1	hiekka{WB}kasa
hiekkakasvain	1	hiekka{WB}kasvain
hiekkakello	1	hiekka{WB}kello
hiekkakerros	1	hiekka{WB}kerros
hiekkakerrostuma	1	hiekka{WB}kerrostuma
hiekkakinos	1	hiekka{WB}kinos
hiekkakirppu	1	hiekka{WB}kirppu
hiekkakivi	1	hiekka{WB}kivi
hiekkakuoppa	1	hiekka{WB}kuoppa
hiekkakärpäskuume	1	hiekkakärpäs{WB}kuume
hiekkakäytävä	1	hiekka{WB}käytävä
hiekkakäärme	1	hiekka{WB}käärme
hiekkalaatikko	1	hiekka{WB}laatikko
hiekkamaa	1	hiekka{WB}maa
hiekkamaalaus	1	hiekka{WB}maalaus
hiekkamaruna	1	hiekka{WB}maruna
hiekkamulta	1	hiekka{WB}multa
hiekkamyrsky	1	hiekka{WB}myrsky
hiekkanummi	1	hiekka{WB}nummi
hiekkanurmi	1	hiekka{WB}nurmi
hiekkapaperi	1	hiekka{WB}paperi
hiekkaperäinen	1	hiekka{WB}peräinen
hiekkapestä	1	hiekka{WB}pestä
hiekkapesu	1	hiekka{WB}pesu
hiekkapitoinen	1	hiekka{WB}pitoinen
hiekkapohja	1	hiekka{WB}pohja
hiekkapohjainen	1	hiekka{WB}pohjainen
hiekkapuhallin	1	hiekka{WB}puhallin
hiekkapuhallus	1	hiekka{WB}puhallus
hiekkapuhaltaa	1	hiekka{WB}puhaltaa
hiekkarae	1	hiekka{WB}rae
hiekkaranta	1	hiekka{WB}ranta
hiekkarantainen	1	hiekka{WB}rantainen
hiekkasäkki	1	hiekka{WB}säkki
hiekkasärkkä	1	hiekka{WB}särkkä
Hiekkatie	1	Hiekka{WB}tie
hiekkatörmä	1	hiekka{WB}törmä
Hiekkotie	1	Hiekko{WB}tie
hieneritys	1	hien{WB}eritys
hienhaju	1	hien{WB}haju
hienohelma	1	hieno{WB}helma
hienohipiäinen	1	hieno{WB}hipiäinen
hienojakoinen	1	hieno{WB}jakoinen
hienojyväinen	1	hieno{WB}jyväinen
hienokiteinen	1	hieno{WB}kiteinen
hienokäytöksinen	1	hieno{WB}käytöksinen
hienolaatuinen	1	hieno{WB}laatuinen
hienolehtinen	1	hieno{WB}lehtinen
hienoluonteinen	1	hieno{WB}luonteinen
hienomekaanikko	1	hieno{WB}mekaanikko
hienomekaaninen	1	hieno{WB}mekaaninen
hienomekaniikka	1	hieno{WB}mekaniikka
hienomotoriikka	1	hieno{WB}motoriikka
hienopaperi	1	hieno{WB}paperi
hienopesu	1	hieno{WB}pesu
hienopesuaine	1	hieno{WB}pesu{WB}aine
hienopiirteinen	1	hieno{WB}piirteinen
hienorakeinen	1	hieno{WB}rakeinen
hienorakenne	1	hieno{WB}rakenne
hienorakenteinen	1	hieno{WB}rakenteinen
hienosahata	1	hieno{WB}sahata
hienosahaus	1	hieno{WB}sahaus
hienosaippua	1	hieno{WB}saippua
hienosokeri	2	hieno{WB}sokeri
hienostonainen	1	hienosto{WB}nainen
hienosyinen	1	hieno{WB}syinen
hienosäikeinen	1	hieno{WB}säikeinen
hienosäkeinen	1	hieno{WB}säkeinen
hienosäädin	1	hieno{WB}säädin
hienosäätää	1	hieno{WB}säätää
hienosäätö	1	hieno{WB}säätö
hienotekoinen	1	hieno{WB}tekoinen
hienotunteinen	1	hieno{WB}tunteinen
hienotunteisesti	1	hieno{WB}tunteisesti
hienotunteisuus	1	hieno{WB}tunteisuus
hienovarainen	1	hieno{WB}varainen
hienovaraisesti	1	hieno{WB}varaisesti
hienovaraisuus	1	hieno{WB}varaisuus
hienovireinen	1	hieno{WB}vireinen
hieroglyfi	1	hiero{WB}glyfi
hieroglyfikirjoitus	1	hieroglyfi{WB}kirjoitus
hierontahoito	1	hieronta{WB}hoito
hierrinkivi	1	hierrin{WB}kivi
hieskoivu	1	hies{WB}koivu
hiesumaa	1	hiesu{WB}maa
hiesusavi	1	hiesu{WB}savi
hietahai	1	hieta{WB}hai
hietakana	1	hieta{WB}kana
hietakielikampela	1	hieta{WB}kielikampela
hietakiitäjäinen	1	hieta{WB}kiitäjäinen
hietakirppu	1	hieta{WB}kirppu
hietakirsikka	1	hieta{WB}kirsikka
hietakissa	1	hieta{WB}kissa
hietakivi	1	hieta{WB}kivi
hietakuha	1	hieta{WB}kuha
hietakyy	1	hieta{WB}kyy
hietakyyhky	1	hieta{WB}kyyhky
hietakäärme	1	hieta{WB}käärme
hietalaukka	1	hieta{WB}laukka
hietalilja	1	hieta{WB}lilja
hietamaa	1	hieta{WB}maa
hietamato	1	hieta{WB}mato
hietamehiläinen	1	hieta{WB}mehiläinen
hietamoreenimaa	1	hieta{WB}moreeni{WB}maa
hietapistiäinen	1	hieta{WB}pistiäinen
hietasavi	1	hieta{WB}savi
hietasimpukka	1	hieta{WB}simpukka
