lemma	homonym	boundaries
aateliskruunu	1	aatelis{WB}kruunu
aatelislinna	1	aatelis{WB}linna
aatelismies	1	aatelis{WB}mies
aatelisnainen	1	aatelis{WB}nainen
aatelisnenä	1	aatelis{WB}nenä
aatelissuku	1	aatelis{WB}suku
aatelissääty	1	aatelis{WB}sääty
aatelisvaakuna	1	aatelis{WB}vaakuna
aatemaailma	1	aate{WB}maa{XB}ilma
aaterakennelma	1	aate{WB}rakennelma
aatesisar	1	aate{WB}sisar
aatesuunta	1	aate{WB}suunta
aatetoveri	1	aate{WB}toveri
aateveli	1	aate{WB}veli
aatevirtaus	1	aate{WB}virtaus
aatonaatto	1	aaton{WB}aatto
aattoilta	1	aatto{WB}ilta
aavameri	2	aava{WB}meri
aavejuna	1	aave{WB}juna
aavekaupunki	1	aave{WB}kaupunki
aavekipu	1	aave{WB}kipu
aavelaiva	1	aave{WB}laiva
aavemainen	1	aave{WB}mainen
aavemaisesti	1	aave{WB}maisesti
aavikkoiguaani	1	aavikko{WB}iguaani
aavikkoilves	1	aavikko{WB}ilves
aavikkojuoksija	1	aavikko{WB}juoksija
aavikkokana	1	aavikko{WB}kana
aavikkokissa	1	aavikko{WB}kissa
aavikkomaannos	1	aavikko{WB}maannos
aavikkopyy	1	aavikko{WB}pyy
aavikkorotta	1	aavikko{WB}rotta
aavikkoruusu	1	aavikko{WB}ruusu
Aavikkotie	1	Aavikko{WB}tie
aavistuksenomainen	1	aavistuksen{WB}omainen
aavistuslähtö	1	aavistus{WB}lähtö
abdominaalisenteesi	1	abdominaali{XB}senteesi
abiogeneettinen	1	abio{XB}geneettinen
abioottinen	1	a{WB}bioottinen
ablatiivisija	1	ablatiivi{WB}sija
aborttipilleri	1	abortti{WB}pilleri
aborttitabletti	1	abortti{WB}tabletti
absinttiöljy	1	absintti{WB}öljy
absoluuttiarvo	1	absoluutti{WB}arvo
absorboimisaine	1	absorboimis{WB}aine
absorptioalue	1	absorptio{WB}alue
absorptioindikaattori	1	absorptio{WB}indikaattori
absorptiokerroin	1	absorptio{WB}kerroin
absorptiokyky	1	absorptio{WB}kyky
absorptiokykyinen	1	absorptio{WB}kykyinen
absorptiospektri	1	absorptio{WB}spektri
absorptiosuhde	1	absorptio{WB}suhde
absorptiotaajuus	1	absorptio{WB}taajuus
absorptiovyö	1	absorptio{WB}vyö
absorptioyksikkö	1	absorptio{WB}yksikkö
abstinenssioire	1	abstinenssi{WB}oire
acajoupähkinä	1	acajou{WB}pähkinä
additiotuote	1	additio{WB}tuote
adefoviiridipivoksiili	1	adefoviiridi{WB}pivoksiili
adenohypofyysi	1	adeno{WB}hypofyysi
adenokarsinooma	1	adeno{WB}karsinooma
adenosiinideaminaasi	1	adenosiini{WB}deaminaasi
adenosiinidifosfaatti	1	adenosiini{WB}difosfaatti
adenosiinimonofosfaatti	1	adenosiinimono{WB}fosfaatti
adenosiinitrifosfaatti	1	adenosiini{WB}trifosfaatti
adenosiinitrifosfataasi	1	adenosiini{WB}tri{WB}fosfataasi
adenovirus	1	adeno{WB}virus
adenylaattisyklaasi	1	adenylaatti{WB}syklaasi
adenyylitransferaasi	1	adenyyli{WB}transferaasi
adiponitriili	1	adipo{WB}nitriili
adjektiiviattribuutti	1	adjektiivi{WB}attribuutti
adjutanttihaikara	1	adjutantti{WB}haikara
adjutanttilintu	1	adjutantti{WB}lintu
adjuvanttihoito	1	adjuvantti{WB}hoito
adoptioisä	1	adoptio{WB}isä
adoptiokelpoinen	1	adoptio{WB}kelpoinen
adoptiolapsi	1	adoptio{WB}lapsi
adoptiovanhempi	1	adoptio{WB}vanhempi
adoptointikelvoton	1	adoptointi{WB}kelvoton
adrenoreseptori	1	adreno{WB}reseptori
adrenoseptori	1	adreno{WB}septori
adstringoida	1	ad{WB}stringoida
adsukipapu	1	adsuki{WB}papu
adventtiaika	1	adventti{WB}aika
adventtikalenteri	1	adventti{WB}kalenteri
adventtikirkko	1	adventti{WB}kirkko
adventtiseurakunta	1	adventti{WB}seurakunta
adventtiseurakunta	2	adventti{WB}seura{WB}kunta
adventtisunnuntai	1	adventti{WB}sunnuntai
adverbi	1	ad{WB}verbi
aerosolimuoto	1	aerosoli{WB}muoto
