lemma	new_para	original-ktn
kevytsukeltaja	N_VOIMA	50
kevyttiili	N_SYLI	50
kevytvene	N_PISTE	50
kevytviili	N_TYYLI	50
kierosilmä	N_HÖPÖTTÄJÄ	50
kiharapää	N_PÄÄ	50
kiharatukka	N_LUOKKA	50
kikkara	A_HAPERA	12
kikkara	A_HARMAJA	12
kippurahäntä	N_HÄNTÄ	50
kireäilmeinen	A_KYLMÄJÄRKINEN	18
kirjavapillike	N_LÄÄKE	50
kirjavapillike	N_LÄÄKE	51
klanipää	N_PÄÄ	50
kohta	PCLE_VAAN	10
kohta	N_SOTA	10
kolmeNUM_KOLME7
konepestävä	N_HÖPÖTTÄJÄ	50
korkea-aste	N_ASTE	50
korkeajännite	N_PISTE	50
korkeakoulu	N_ASU	50
korkeakulttuuri	N_KANAALI	50
korkeapaine	N_ASTE	50
korkeasuhdanne	N_RAKENNE	50
korkeavarasto	N_TALO	50
kovakalvo	N_TALO	50
kovakumi	N_RUUVI	50
kovakuoriainen	N_AAKKOSTAMINEN	50
kovalevy	N_KÄRRY	50
kovametalli	N_KANAALI	50
kovanaama	N_KIRJA	50
kraavikala	N_KIRJA	50
kraavilohi	N_RUUHI	50
kuiva-aine	N_ASTE	50
kuivaelementti	N_SKEITTI	50
kuivaeste	N_PISTE	50
kuivaharjaus	N_VAKUUTUS	50
kuivaharjoittelu	N_ASU	50
kuivaheinä	N_HÖPÖTTÄJÄ	50
kuivahiiva	N_KIRJA	50
kuivajää	N_PÄÄ	50
kuivakakku	N_TIKKU	50
kuivakakku	N_TIKKU	51
kuivakukka	N_LUOKKA	50
kuivakukka	N_LUOKKA	51
kuivakäymälä	N_SIIVILÄ	50
kuivamaito	N_TALO	50
kuivamuona	N_VOIMA	50
kuivamuona	N_VOIMA	51
kuivapaino	N_TALO	50
kuivapaino	N_TALO	51
kuivapari	N_RUUVI	50
kuivapari	N_RUUVI	51
kuivaparisto	N_TALO	50
kuivapesu	N_ASU	50
kuivarehu	N_ASU	50
kuivarehu	N_ASU	51
kuivasampoo	N_TRIKOO	50
kuivasprii	N_PII	50
kuivatelakka	N_LUSIKKA	50
kuivatislaus	N_VAKUUTUS	50
kultainennoutaja	N_VOIMA	51
kultanen	N_AAKKOSTAMINEN	99
kuori	N_RUUHI	26
kuori	N_RUUVI	26
kusta	PCLE_VAAN	99
kusta	V_MARISTA	99
kuta	PCLE_VAAN	99
kuumahauras	N_PATSAS	50
kuumahauraus	N_AAKKOSELLISUUS	50
kuumailmapallo	N_TALO	50
kuumailmapuhallin	N_ASKELLIN	50
kuumakalle	N_NALLE	50
kuumakäsittely	N_KÄRRY	50
kuumaliima	N_KIRJA	50
kuumaliimaus	N_VAKUUTUS	50
kuumamankeli	N_KANAALI	50
kuumamankelointi	N_SOINTI	50
kuumamuokkaus	N_VAKUUTUS	50
kuumaniittaus	N_VAKUUTUS	50
kuumasaumaus	N_VAKUUTUS	50
kuumasavustus	N_VAKUUTUS	50
kuumasinkitys	N_RÄJÄYTYS	50
kuumataonta	N_KUTSUNTA	50
kuumatyöstö	N_MÖMMÖ	50
kuumavalssaus	N_VAKUUTUS	50
kuuromykkä	A_MYKKÄ	50
kuuromykkä	A_MYKKÄ	50
kuuromykkä	N_HÖLKKÄ	50
kuuromykkä	N_HÖLKKÄ	50
kuurosokea	A_KORKEA	50
kuurosokea	N_SOKEA	50
kuusi	N_RUUHI	24
kuusiNUM_KUUSI24
kylmäallas	N_ALLAS	50
kylmäfuusio	N_RUIPELO	50
kylmäfysiikka	N_LUSIKKA	50
kylmähauras	N_PATSAS	50
kylmähauraus	N_AAKKOSELLISUUS	50
kylmähitsaus	N_VAKUUTUS	50
kylmähuone	N_ASTE	50
