lemma	homonym	new_para	boundaries
kannustinohjelma	1	N_VOIMA	kannustin{WB}ohjelma
kannustinoptio	1	N_TUOMIO	kannustin{WB}optio
kannustuskokous	1	N_VAKUUTUS	kannustus{WB}kokous
kannustuslisä	1	N_HÖPÖTTÄJÄ	kannustus{WB}lisä
kannustuspuhe	1	N_ASTE	kannustus{WB}puhe
kannusuurre	1	N_AARRE	kannus{WB}uurre
kannuviini	1	N_TYYLI	kannu{WB}viini
kanooppiastia	1	N_MAKKARA	kanooppi{WB}astia
kanoottiretkeily	1	N_VEHKEILY	kanootti{WB}retkeily
kanoottiurheilu	1	N_SEIKKAILU	kanootti{WB}urheilu
kansainvaellus	1	N_VAKUUTUS	kansain{WB}vaellus
kansainvälinen	1	A_KYLMÄJÄRKINEN	kansain{WB}välinen
kansainvälisesti	1	PCLE_TYHMÄSTI	kansain{WB}välisesti
kansainvälisyys	1	N_KÖYHYYS	kansain{WB}välisyys
kansainvälisyyskasvatus	1	N_VAKUUTUS	kansain{WB}välisyys{WB}kasvatus
kansainyhteisö	1	N_JÄÄTELÖ	kansain{WB}yhteisö
kansakoulu	1	N_ASU	kansa{WB}koulu
kansakoululainen	1	N_AAKKOSTAMINEN	kansa{WB}koululainen
kansakoululaitos	1	N_VAKUUTUS	kansa{WB}koulu{WB}laitos
kansakoulunopettaja	1	N_VOIMA	kansa{WB}koulun{WB}opettaja
kansakunnallinen	1	A_AAKKOSELLINEN	kansa{WB}kunnallinen
kansakunta	1	N_KUNTA	kansa{WB}kunta
kansalainen	1	N_AAKKOSTAMINEN	kansa{WB}lainen
kansalaisadressi	1	N_RUUVI	kansalais{WB}adressi
kansalaishenki	1	N_HENKI	kansalais{WB}henki
kansalaisillalliset	1	N_RAPPUSET	kansalais{WB}illalliset
kansalaisjärjestö	1	N_JÄÄTELÖ	kansalais{WB}järjestö
kansalaiskasvatus	1	N_VAKUUTUS	kansalais{WB}kasvatus
kansalaiskeräys	1	N_RÄJÄYTYS	kansalais{WB}keräys
kansalaiskeskustelu	1	N_SEIKKAILU	kansalais{WB}keskustelu
kansalaiskoulu	1	N_ASU	kansalais{WB}koulu
kansalaiskoululainen	1	N_AAKKOSTAMINEN	kansalais{WB}koululainen
kansalaiskunto	1	N_TUNTO	kansalais{WB}kunto
kansalaiskuolema	1	N_VOIMA	kansalais{WB}kuolema
kansalaisliike	1	N_LÄÄKE	kansalais{WB}liike
kansalaisluottamus	1	N_VAKUUTUS	kansalais{WB}luottamus
kansalaismielipide	1	N_KIDE	kansalais{WB}mieli{WB}pide
kansalaisoikeus	1	N_AAKKOSELLISUUS	kansalais{WB}oikeus
kansalaisoikeusaktivisti	1	N_RUUVI	kansalaisoikeus{WB}aktivisti
kansalaisoikeusjohtaja	1	N_VOIMA	kansalaisoikeus{WB}johtaja
kansalaisoikeusliike	1	N_LÄÄKE	kansalaisoikeus{WB}liike
kansalaisopisto	1	N_RUIPELO	kansalais{WB}opisto
kansalaispalkka	1	N_POLITIIKKA	kansalais{WB}palkka
kansalaispiiri	1	N_TYYLI	kansalais{WB}piiri
kansalaispäivälliset	1	N_VIHKIÄISET	kansalais{WB}päivälliset
kansalaisrohkeus	1	N_AAKKOSELLISUUS	kansalais{WB}rohkeus
kansalaissota	1	N_SOTA	kansalais{WB}sota
kansalaistaito	1	N_VETO	kansalais{WB}taito
kansalaistapaaminen	1	N_AAKKOSTAMINEN	kansalais{WB}tapaaminen
kansalaistoimikunta	1	N_KUNTA	kansalais{WB}toimikunta
kansalaistoiminta	1	N_KUTSUNTA	kansalais{WB}toiminta
kansalaistottelemattomuus	1	N_AAKKOSELLISUUS	kansalais{WB}tottelemattomuus
kansalaisuudeton	1	A_VIATON	kansalais{WB}uudeton
kansalaisuuspäivä	1	N_HÖPÖTTÄJÄ	kansalaisuus{WB}päivä
kansalaisvapaus	1	N_AAKKOSELLISUUS	kansalais{WB}vapaus
kansalaisvelvollisuus	1	N_AAKKOSELLISUUS	kansalais{WB}velvollisuus
kansalaisyhteiskunta	1	N_KUNTA	kansalais{WB}yhteis{WB}kunta
kansalaisylpeys	1	N_KÖYHYYS	kansalais{WB}ylpeys
kansalliseepos	1	N_VAKUUTUS	kansallis{WB}eepos
kansalliseläin	1	N_ELIN	kansallis{WB}eläin
kansallishenki	1	N_HENKI	kansallis{WB}henki
kansallishenkinen	1	A_KYLMÄJÄRKINEN	kansallis{WB}henkinen
kansallishymni	1	N_TYYLI	kansallis{WB}hymni
kansalliskaarti	1	N_RUUVI	kansallis{WB}kaarti
kansalliskaartilainen	1	N_AAKKOSTAMINEN	kansallis{WB}kaartilainen
kansalliskiihko	1	N_TALO	kansallis{WB}kiihko
kansalliskiihkoilija	1	N_MAKKARA	kansallis{WB}kiihkoilija
kansalliskiihkoinen	1	A_AAKKOSELLINEN	kansallis{WB}kiihkoinen
kansalliskirjailija	1	N_MAKKARA	kansallis{WB}kirjailija
kansalliskirjallisuus	1	N_AAKKOSELLISUUS	kansallis{WB}kirjallisuus
kansalliskirjasto	1	N_RUIPELO	kansallis{WB}kirjasto
kansalliskivi	1	N_KIVI	kansallis{WB}kivi
kansalliskokous	1	N_VAKUUTUS	kansallis{WB}kokous
kansalliskukka	1	N_LUOKKA	kansallis{WB}kukka
kansallislaulu	1	N_ASU	kansallis{WB}laulu
kansallislippu	1	N_LIPPU	kansallis{WB}lippu
kansallismaisema	1	N_VOIMA	kansallis{WB}maisema
kansallismielinen	1	A_KYLMÄJÄRKINEN	kansallis{WB}mielinen
kansallismielisyys	1	N_KÖYHYYS	kansallis{WB}mielisyys
kansallismuseo	1	N_TUOMIO	kansallis{WB}museo
kansallisomaisuus	1	N_AAKKOSELLISUUS	kansallis{WB}omaisuus
kansallisominaisuus	1	N_AAKKOSELLISUUS	kansallis{WB}ominaisuus
kansallispuisto	1	N_TALO	kansallis{WB}puisto
kansallispuku	1	N_LUKU	kansallis{WB}puku
kansallispukuinen	1	A_AAKKOSELLINEN	kansallis{WB}pukuinen
kansallispäivä	1	N_HÖPÖTTÄJÄ	kansallis{WB}päivä
kansallisromantiikka	1	N_POLITIIKKA	kansallis{WB}romantiikka
kansallisromantikko	1	N_UKKO	kansallis{WB}romantikko
kansallisromanttinen	1	A_AAKKOSELLINEN	kansallis{WB}romanttinen
kansallisrunoilija	1	N_MAKKARA	kansallis{WB}runoilija
kansallissankari	1	N_KANAALI	kansallis{WB}sankari
kansallissosialismi	1	N_RUUVI	kansallis{WB}sosialismi
kansallissosialisti	1	N_RUUVI	kansallis{WB}sosialisti
kansallissosialistinen	1	A_AAKKOSELLINEN	kansallis{WB}sosialistinen
kansallisteatteri	1	N_KANAALI	kansallis{WB}teatteri
kansallistunne	1	N_RAKENNE	kansallis{WB}tunne
kansallistunto	1	N_TUNTO	kansallis{WB}tunto
kansallisuusaate	1	N_OSOITE	kansallisuus{WB}aate
kansallisuusliike	1	N_LÄÄKE	kansallisuus{WB}liike
kansallisuuslippu	1	N_LIPPU	kansallisuus{WB}lippu
kansallisuusperiaate	1	N_OSOITE	kansallisuus{WB}periaate
kansallisuustodistus	1	N_VAKUUTUS	kansallisuus{WB}todistus
kansallisuustunnus	1	N_VAKUUTUS	kansallisuus{WB}tunnus
kansallisvaltio	1	N_TUOMIO	kansallis{WB}valtio
kansallisvarallisuus	1	N_AAKKOSELLISUUS	kansallis{WB}varallisuus
kansallisväri	1	N_TYYLI	kansallis{WB}väri
kansanalmanakka	1	N_POLITIIKKA	kansan{WB}almanakka
kansandemokraatti	1	N_KORTTI	kansan{WB}demokraatti
kansandemokraattinen	1	A_AAKKOSELLINEN	kansan{WB}demokraattinen
kansandemokratia	1	N_MAKKARA	kansan{WB}demo{WB}kratia
kansanedustaja	1	N_VOIMA	kansan{WB}edustaja
kansanedustajaehdokas	1	N_ASUKAS	kansan{WB}edustaja{WB}ehdokas
kansanedustuslaitos	1	N_VAKUUTUS	kansan{WB}edustus{WB}laitos
kansaneläke	1	N_LÄÄKE	kansan{WB}eläke
kansaneläkejärjestelmä	1	N_HÖPÖTTÄJÄ	kansaneläke{WB}järjestelmä
kansaneläkeläinen	1	N_KYLKIÄINEN	kansan{WB}eläkeläinen
kansaneläkemaksu	1	N_ASU	kansan{WB}eläke{WB}maksu
kansaneläkevakuutusmaksu	1	N_ASU	kansan{WB}eläke{WB}vakuutus{WB}maksu
kansanetymologia	1	N_MAKKARA	kansan{WB}etymologia
kansanheimo	1	N_TALO	kansan{WB}heimo
kansanhiihto	1	N_VETO	kansan{WB}hiihto
kansanhuolto	1	N_KIELTO	kansan{WB}huolto
kansanhuvi	1	N_RUUVI	kansan{WB}huvi
kansanihminen	1	N_KYLKIÄINEN	kansan{WB}ihminen
kansanjohtaja	1	N_VOIMA	kansan{WB}johtaja
kansanjoukko	1	N_UKKO	kansan{WB}joukko
kansanjuhla	1	N_VOIMA	kansan{WB}juhla
kansankapitalismi	1	N_RUUVI	kansan{WB}kapitalismi
kansankapitalistinen	1	A_AAKKOSELLINEN	kansan{WB}kapitalistinen
kansankerros	1	N_VAKUUTUS	kansan{WB}kerros
kansankieli	1	N_HIIRI	kansan{WB}kieli
kansankiihottaja	1	N_VOIMA	kansan{WB}kiihottaja
kansankiihotus	1	N_VAKUUTUS	kansan{WB}kiihotus
kansankirjailija	1	N_MAKKARA	kansan{WB}kirjailija
kansankirkko	1	N_UKKO	kansan{WB}kirkko
kansankokous	1	N_VAKUUTUS	kansan{WB}kokous
kansankommuuni	1	N_KANAALI	kansan{WB}kommuuni
kansankorkeakoulu	1	N_ASU	kansan{WB}korkea{WB}koulu
kansankoti	1	N_TAUTI	kansan{WB}koti
kansankulttuuri	1	N_KANAALI	kansan{WB}kulttuuri
kansankuvaus	1	N_VAKUUTUS	kansan{WB}kuvaus
kansankynttilä	1	N_HÄKKYRÄ	kansan{WB}kynttilä
kansankäräjät	1	N_KÄRÄJÄT	kansan{WB}käräjät
kansanlaulu	1	N_ASU	kansan{WB}laulu
kansanleikki	1	N_HÄKKI	kansan{WB}leikki
kansanliike	1	N_LÄÄKE	kansan{WB}liike
kansanluokka	1	N_LUOKKA	kansan{WB}luokka
kansanluonne	1	N_RAKENNE	kansan{WB}luonne
kansanlääke	1	N_LÄÄKE	kansan{WB}lääke
kansanlääkintä	1	N_KYSYNTÄ	kansan{WB}lääkintä
kansanmeno	1	N_TALO	kansan{WB}meno
kansanmies	1	N_MIES	kansan{WB}mies
kansanmurha	1	N_VOIMA	kansan{WB}murha
kansanmurre	1	N_AARRE	kansan{WB}murre
kansanmusiikki	1	N_LOKKI	kansan{WB}musiikki
kansanmusiikkijuhla	1	N_VOIMA	kansan{WB}musiikki{WB}juhla
kansanmusiikkiyhtye	1	N_PISTE	kansan{WB}musiikki{WB}yhtye
kansannainen	1	N_AAKKOSTAMINEN	kansan{WB}nainen
kansannousu	1	N_ASU	kansan{WB}nousu
kansanomainen	1	A_AAKKOSELLINEN	kansan{WB}omainen
kansanomaisesti	1	PCLE_NOPEASTI	kansan{WB}omaisesti
kansanomaisuus	1	N_AAKKOSELLISUUS	kansan{WB}omaisuus
kansanopisto	1	N_RUIPELO	kansan{WB}opisto
kansanosa	1	N_VOIMA	kansan{WB}osa
kansanpainos	1	N_VAKUUTUS	kansan{WB}painos
kansanparannus	1	N_VAKUUTUS	kansan{WB}parannus
kansanparantaja	1	N_VOIMA	kansan{WB}parantaja
kansanpelimanni	1	N_RUUVI	kansan{WB}pelimanni
kansanperinne	1	N_KIINNE	kansan{WB}perinne
kansanperinteentutkija	1	N_MAKKARA	kansan{WB}perinteen{WB}tutkija
kansanperinteentutkimus	1	N_VAKUUTUS	kansan{WB}perinteen{WB}tutkimus
kansanpuku	1	N_LUKU	kansan{WB}puku
kansanpuolue	1	N_ASTE	kansan{WB}puolue
kansanrintama	1	N_VOIMA	kansan{WB}rintama
kansanrintamahallitus	1	N_VAKUUTUS	kansan{WB}rintama{WB}hallitus
kansanruno	1	N_TALO	kansan{WB}runo
kansanrunoilija	1	N_MAKKARA	kansan{WB}runoilija
kansanrunoudentutkija	1	N_MAKKARA	kansan{WB}runouden{WB}tutkija
kansanrunoudentutkimus	1	N_VAKUUTUS	kansan{WB}runouden{WB}tutkimus
kansanrunous	1	N_AAKKOSELLISUUS	kansan{WB}runous
kansansatu	1	N_KUITU	kansan{WB}satu
kansansivistys	1	N_RÄJÄYTYS	kansan{WB}sivistys
kansansoittaja	1	N_VOIMA	kansan{WB}soittaja
kansansuosikki	1	N_LOKKI	kansan{WB}suosikki
kansansuosio	1	N_TUOMIO	kansan{WB}suosio
kansansävelmä	1	N_HÖPÖTTÄJÄ	kansan{WB}sävelmä
kansantaide	1	N_LUODE	kansan{WB}taide
kansantaiteilija	1	N_MAKKARA	kansan{WB}taiteilija
kansantajuinen	1	A_AAKKOSELLINEN	kansan{WB}tajuinen
kansantajuisesti	1	PCLE_NOPEASTI	kansan{WB}tajuisesti
kansantajuisuus	1	N_AAKKOSELLISUUS	kansan{WB}tajuisuus
kansantaloudellinen	1	A_AAKKOSELLINEN	kansan{WB}taloudellinen
kansantalous	1	N_AAKKOSELLISUUS	kansan{WB}talous
kansantalousteoria	1	N_MAKKARA	kansan{WB}talousteoria
kansantaloustiede	1	N_KIDE	kansan{WB}talous{WB}tiede
kansantaloustieteellinen	1	A_KYLMÄJÄRKINEN	kansan{WB}talous{WB}tieteellinen
kansantaloustieteilijä	1	N_HÄKKYRÄ	kansan{WB}talous{WB}tieteilijä
kansantanhu	1	N_ASU	kansan{WB}tanhu
kansantanssi	1	N_RUUVI	kansan{WB}tanssi
kansantanssija	1	N_MAKKARA	kansan{WB}tanssija
kansantapa	1	N_SALPA	kansan{WB}tapa
kansantarina	1	N_MAKKARA	kansan{WB}tarina
kansantasavalta	1	N_VALTA	kansan{WB}tasa{WB}valta
kansantauti	1	N_TAUTI	kansan{WB}tauti
kansanterveydellinen	1	A_KYLMÄJÄRKINEN	kansan{WB}terveydellinen
kansanterveys	1	N_KÖYHYYS	kansan{WB}terveys
kansanterveystiede	1	N_KIDE	kansan{WB}terveys{WB}tiede
kansanterveystyö	1	N_TYÖ	kansan{WB}terveys{WB}työ
kansantribuuni	1	N_KANAALI	kansan{WB}tribuuni
kansantulo	1	N_TALO	kansan{WB}tulo
kansantuomioistuin	1	N_PUHELIN	kansan{WB}tuomio{WB}istuin
kansantuote	1	N_OSOITE	kansan{WB}tuote
kansantuotos	1	N_VAKUUTUS	kansan{WB}tuotos
kansanurheilu	1	N_SEIKKAILU	kansan{WB}urheilu
kansanusko	1	N_TALO	kansan{WB}usko
kansanuskomus	1	N_VAKUUTUS	kansan{WB}uskomus
kansanvaali	1	N_RUUVI	kansan{WB}vaali
kansanvalistustyö	1	N_TYÖ	kansan{WB}valistus{WB}työ
kansanvalta	1	N_VALTA	kansan{WB}valta
kansanvaltainen	1	A_AAKKOSELLINEN	kansan{WB}valtainen
kansanvaltaisesti	1	PCLE_NOPEASTI	kansan{WB}valtaisesti
kansanvaltaisuus	1	N_AAKKOSELLISUUS	kansan{WB}valtaisuus
kansanvaltuuskunta	1	N_KUNTA	kansan{WB}valtuus{WB}kunta
kansanvarallisuus	1	N_AAKKOSELLISUUS	kansan{WB}varallisuus
kansanvene	1	N_PISTE	kansan{WB}vene
kansanvihollinen	1	N_AAKKOSTAMINEN	kansan{WB}vihollinen
kansanvillitsijä	1	N_HÄKKYRÄ	kansan{WB}villitsijä
kansanäänestys	1	N_RÄJÄYTYS	kansan{WB}äänestys
kansatiede	1	N_KIDE	kansa{WB}tiede
kansatieteellinen	1	A_KYLMÄJÄRKINEN	kansa{WB}tieteellinen
kansatieteilijä	1	N_HÄKKYRÄ	kansa{WB}tieteilijä
kansikartonki	1	N_VANKI	kansi{WB}kartonki
kansikivi	1	N_KIVI	kansi{WB}kivi
kansikuva	1	N_VOIMA	kansi{WB}kuva
kansikuvatyttö	1	N_PÖNTTÖ	kansi{WB}kuva{WB}tyttö
kansilasti	1	N_RUUVI	kansi{WB}lasti
kansilehti	1	N_LEHTI	kansi{WB}lehti
kansiluukku	1	N_TIKKU	kansi{WB}luukku
kansimatkustaja	1	N_VOIMA	kansi{WB}matkustaja
kansimiehistö	1	N_JÄÄTELÖ	kansi{WB}miehistö
kansimies	1	N_MIES	kansi{WB}mies
kansipahvi	1	N_RUUVI	kansi{WB}pahvi
kansipaikka	1	N_POLITIIKKA	kansi{WB}paikka
kansipäällystö	1	N_JÄÄTELÖ	kansi{WB}päällystö
kansirakenne	1	N_RAKENNE	kansi{WB}rakenne
kansirakennus	1	N_VAKUUTUS	kansi{WB}rakennus
kansitennis	1	N_RÄJÄYTYS	kansi{WB}tennis
kansituoli	1	N_RUUVI	kansi{WB}tuoli
kansiventtiili	1	N_KEHVELI	kansi{WB}venttiili
kansiventtiilimoottori	1	N_KANAALI	kansi{WB}venttiili{WB}moottori
kanslerinvirasto	1	N_TALO	kanslerin{WB}virasto
kanslerinvirka	1	N_VIKA	kanslerin{WB}virka
kanslia-apulainen	1	N_AAKKOSTAMINEN	kanslia-apulainen
kansliahenkilökunta	1	N_KUNTA	kanslia{WB}henkilö{WB}kunta
kansliahenkilöstö	1	N_MÖMMÖ	kanslia{WB}henkilöstö
kansliakieli	1	N_HIIRI	kanslia{WB}kieli
kansliaministeri	1	N_KEHVELI	kanslia{WB}ministeri
kanslianeuvos	1	N_VAKUUTUS	kanslia{WB}neuvos
kansliapäällikkö	1	N_YKSIKKÖ	kanslia{WB}päällikkö
kansliatoimikunta	1	N_KUNTA	kanslia{WB}toimi{WB}kunta
kansliatyyli	1	N_TYYLI	kanslia{WB}tyyli
kanta-aliupseeri	1	N_KANAALI	kanta-aliupseeri
kanta-asiakas	1	N_ASUKAS	kanta-asiakas
kanta-asiakasetu	1	N_KUITU	kanta-asiakas{WB}etu
kanta-astuja	1	N_VOIMA	kanta-astuja
kanta-asukas	1	N_ASUKAS	kanta-asukas
kantaesitys	1	N_RÄJÄYTYS	kanta{WB}esitys
kantahenkilökunta	1	N_KUNTA	kanta{WB}henkilö{WB}kunta
kantahenkilöstö	1	N_MÖMMÖ	kanta{WB}henkilöstö
kantaisä	1	N_HÖPÖTTÄJÄ	kanta{WB}isä
kantaitiö	1	N_HÄIRIÖ	kanta{WB}itiö
kantajoukko	1	N_UKKO	kanta{WB}joukko
kantajänne	1	N_KIINNE	kanta{WB}jänne
kantajäsen	1	N_SIEMEN	kanta{WB}jäsen
kantakahvila	1	N_MAKKARA	kanta{WB}kahvila
kantakappale	1	N_ASTE	kanta{WB}kappale
kantakappi	1	N_KUPPI	kanta{WB}kappi
kantakaupunki	1	N_VANKI	kanta{WB}kaupunki
kantakersantti	1	N_KORTTI	kanta{WB}kersantti
kantakieli	1	N_HIIRI	kanta{WB}kieli
kantakirja	1	N_KIRJA	kanta{WB}kirja
kantakirjalehmä	1	N_HÖPÖTTÄJÄ	kanta{WB}kirja{WB}lehmä
kantakirjaori	1	N_ORI	kanta{WB}kirja{WB}ori
kantakirjaori	2	N_RUUVI	kanta{WB}kirja{WB}ori
kantakulma	1	N_VOIMA	kanta{WB}kulma
kantalappu	1	N_LIPPU	kanta{WB}lappu
kantalenkkiside	1	N_KIDE	kanta{WB}lenkki{WB}side
kantalinnoite	1	N_OSOITE	kanta{WB}linnoite
kantalinnoitus	1	N_VAKUUTUS	kanta{WB}linnoitus
kantalippu	1	N_LIPPU	kanta{WB}lippu
kantaluku	1	N_LUKU	kanta{WB}luku
kantaluu	1	N_PUU	kanta{WB}luu
kantaohjelmisto	1	N_TALO	kanta{WB}ohjelmisto
kantaosa	1	N_VOIMA	kanta{WB}osa
kantaosake	1	N_KASTIKE	kanta{WB}osake
kantaosakevastike	1	N_KASTIKE	kantaosake{WB}vastike
kantapaikka	1	N_POLITIIKKA	kanta{WB}paikka
kantapala	1	N_KIRJA	kanta{WB}pala
kantapeikko	1	N_UKKO	kanta{WB}peikko
kantapää	1	N_PÄÄ	kanta{WB}pää
kantaravintola	1	N_MAKKARA	kanta{WB}ravintola
kantasana	1	N_KIRJA	kanta{WB}sana
kantaside	1	N_KIDE	kanta{WB}side
kantasieni	1	N_HIIRI	kanta{WB}sieni
kantasilli	1	N_TYYLI	kanta{WB}silli
kantasolu	1	N_ASU	kanta{WB}solu
kantasoluhoito	1	N_VETO	kantasolu{WB}hoito
kantasolututkimus	1	N_VAKUUTUS	kantasolu{WB}tutkimus
kantasormus	1	N_VAKUUTUS	kanta{WB}sormus
kantasuomalainen	1	A_AAKKOSELLINEN	kanta{WB}suomalainen
kantasuomi	1	N_ONNI	kanta{WB}suomi
kantatie	1	N_TIE	kanta{WB}tie
kantatiedosto	1	N_RUIPELO	kanta{WB}tiedosto
kantatila	1	N_KIRJA	kanta{WB}tila
kantavartalo	1	N_RUIPELO	kanta{WB}vartalo
kantavierre	1	N_KIERRE	kanta{WB}vierre
kantavierreväkevyys	1	N_KÖYHYYS	kanta{WB}vierre{WB}väkevyys
kantaväestö	1	N_JÄÄTELÖ	kanta{WB}väestö
kantaäiti	1	N_NIHTI	kanta{WB}äiti
kantelukirjelmä	1	N_HÖPÖTTÄJÄ	kantelu{WB}kirjelmä
kantelupukki	1	N_LOKKI	kantelu{WB}pukki
kantoaalto	1	N_KIELTO	kanto{WB}aalto
kantoaika	1	N_AIKA	kanto{WB}aika
kantoaine	1	N_ASTE	kanto{WB}aine
kantohihna	1	N_KIRJA	kanto{WB}hihna
kantohinta	1	N_KUTSUNTA	kanto{WB}hinta
kantojuhta	1	N_SOTA	kanto{WB}juhta
kantokassi	1	N_RUUVI	kanto{WB}kassi
kantokori	1	N_RUUVI	kanto{WB}kori
kantokotelo	1	N_RUIPELO	kanto{WB}kotelo
kantokyky	1	N_KYKY	kanto{WB}kyky
kantokykyluokitus	1	N_VAKUUTUS	kanto{WB}kyky{WB}luokitus
kantokykyluokka	1	N_LUOKKA	kanto{WB}kyky{WB}luokka
kantolaukku	1	N_TIKKU	kanto{WB}laukku
kantoliina	1	N_KIRJA	kanto{WB}liina
kantomatka	1	N_KIRJA	kanto{WB}matka
kantopalkki	1	N_LOKKI	kanto{WB}palkki
kantopalkkio	1	N_TUOMIO	kanto{WB}palkkio
kantopiiri	1	N_TYYLI	kanto{WB}piiri
kantopinta	1	N_KUTSUNTA	kanto{WB}pinta
kantopommi	1	N_RUUVI	kanto{WB}pommi
kantoraha	1	N_KIRJA	kanto{WB}raha
kantoraketti	1	N_KORTTI	kanto{WB}raketti
kantorusokas	1	N_ASUKAS	kanto{WB}rusokas
kantosieni	1	N_HIIRI	kanto{WB}sieni
kantosiipi	1	N_KILPI	kanto{WB}siipi
kantosiipialus	1	N_VAKUUTUS	kanto{WB}siipi{WB}alus
kantotaso	1	N_TALO	kanto{WB}taso
kantotasoalus	1	N_VAKUUTUS	kanto{WB}taso{WB}alus
kantotuoli	1	N_RUUVI	kanto{WB}tuoli
kantrimusiikki	1	N_LOKKI	kantri{WB}musiikki
kantritanssi	1	N_RUUVI	kantri{WB}tanssi
kanttiininpitäjä	1	N_HÖPÖTTÄJÄ	kanttiinin{WB}pitäjä
kanttiinitavara	1	N_MAKKARA	kanttiini{WB}tavara
kanttinauha	1	N_KIRJA	kantti{WB}nauha
kanttiväridynamiikka	1	N_POLITIIKKA	kanttiväri{WB}dynamiikka
kanukkakasvi	1	N_RUUVI	kanukka{WB}kasvi
kanuunalaukaus	1	N_VAKUUTUS	kanuuna{WB}laukaus
kanuunasyöttö	1	N_PÖNTTÖ	kanuuna{WB}syöttö
kapakanpitäjä	1	N_HÖPÖTTÄJÄ	kapakan{WB}pitäjä
kapakkakierros	1	N_VAKUUTUS	kapakka{WB}kierros
kapaloaste	1	N_ASTE	kapalo{WB}aste
kapalolapsi	1	N_LAPSI	kapalo{WB}lapsi
kapalovaippa	1	N_TIPPA	kapalo{WB}vaippa
kapalovauva	1	N_KIRJA	kapalo{WB}vauva
kapea-alainen	1	A_AAKKOSELLINEN	kapea-alainen
kapeaharteinen	1	A_AAKKOSELLINEN	kapea{WB}harteinen
kapeahartiainen	1	A_AAKKOSELLINEN	kapea{WB}hartiainen
kapeakasvoinen	1	A_AAKKOSELLINEN	kapea{WB}kasvoinen
kapealahkeinen	1	A_AAKKOSELLINEN	kapea{WB}lahkeinen
kapealanteinen	1	A_AAKKOSELLINEN	kapea{WB}lanteinen
kapeaosmankäämi	1	N_TYYLI	kapea{WB}osmankäämi
kapeapohjainen	1	A_AAKKOSELLINEN	kapea{WB}pohjainen
kapearaitainen	1	A_AAKKOSELLINEN	kapea{WB}raitainen
kapearaiteinen	1	A_AAKKOSELLINEN	kapea{WB}raiteinen
kapearunkoinen	1	A_AAKKOSELLINEN	kapea{WB}runkoinen
kapearunkokone	1	N_ASTE	kapearunko{WB}kone
kapearunkolentokone	1	N_ASTE	kapearunko{WB}lentokone
kapeasiipinen	1	A_KYLMÄJÄRKINEN	kapea{WB}siipinen
kapeavartaloinen	1	A_AAKKOSELLINEN	kapea{WB}vartaloinen
Kapeavesi	1	N_KÖYSI	Kapea{WB}vesi
kapellimestari	1	N_KANAALI	kapelli{WB}mestari
Kapiavesi	1	N_KÖYSI	Kapia{WB}vesi
kapillaarifraktuura	1	N_KITARA	kapillaari{WB}fraktuura
kapillaari-ilmiö	1	N_HÄIRIÖ	kapillaari-ilmiö
kapillaarikerros	1	N_VAKUUTUS	kapillaari{WB}kerros
kapillaaripilli	1	N_TYYLI	kapillaari{WB}pilli
kapillaariputki	1	N_ONNI	kapillaari{WB}putki
kapillaarisuoni	1	N_RUUHI	kapillaari{WB}suoni
kapinahenki	1	N_HENKI	kapina{WB}henki
kapinahenkinen	1	A_KYLMÄJÄRKINEN	kapina{WB}henkinen
kapinaliike	1	N_LÄÄKE	kapina{WB}liike
kapinalippu	1	N_LIPPU	kapina{WB}lippu
kapinamieli	1	N_HIIRI	kapina{WB}mieli
kapinayritys	1	N_RÄJÄYTYS	kapina{WB}yritys
kapinkarviainen	1	N_AAKKOSTAMINEN	kapin{WB}karviainen
kapioarkku	1	N_TIKKU	kapio{WB}arkku
kapiokirstu	1	N_ASU	kapio{WB}kirstu
kapiolakana	1	N_MAKKARA	kapio{WB}lakana
kapiteelikirjain	1	N_PUHELIN	kapiteeli{WB}kirjain
kapiteelinauha	1	N_KIRJA	kapiteeli{WB}nauha
kapokkipuu	1	N_PUU	kapokki{WB}puu
kappalauta	1	N_PATA	kappa{WB}lauta
kappalehinta	1	N_KUTSUNTA	kappale{WB}hinta
kappalejako	1	N_TEKO	kappale{WB}jako
kappalekauppa	1	N_TIPPA	kappale{WB}kauppa
kappaleluku	1	N_LUKU	kappale{WB}luku
kappalemäärä	1	N_HÖPÖTTÄJÄ	kappale{WB}määrä
kappalesana	1	N_KIRJA	kappale{WB}sana
kappaletavara	1	N_MAKKARA	kappale{WB}tavara
kappelikirkko	1	N_UKKO	kappeli{WB}kirkko
kappelineuvosto	1	N_RUIPELO	kappeli{WB}neuvosto
kappeliseurakunta	1	N_KUNTA	kappeli{WB}seurakunta
kappelivoileipä	1	N_LEIPÄ	kappeli{WB}voi{WB}leipä
kapriskastike	1	N_KASTIKE	kapris{WB}kastike
kapriskasvi	1	N_RUUVI	kapris{WB}kasvi
kaprispensas	1	N_PATSAS	kapris{WB}pensas
kapteeniluutnantti	1	N_KORTTI	kapteeni{WB}luutnantti
Kapteenin kärrytie	1	N_TIE	Kapteenin kärry{WB}tie
kapulahissi	1	N_TYYLI	kapula{WB}hissi
kapulakieli	1	N_HIIRI	kapula{WB}kieli
Kapulasillantie	1	N_TIE	Kapula{WB}sillan{WB}tie
kapulasilta	1	N_VALTA	kapula{WB}silta
kapulatie	1	N_TIE	kapula{WB}tie
kapusiiniapina	1	N_MAKKARA	kapusiini{WB}apina
