lemma	homonym	new_para	boundaries
aapiskukko	1	N_UKKO	aapis{WB}kukko
aaprottimaruna	1	N_PROBLEEMA	aaprotti{WB}maruna
aarnialue	1	N_ASTE	aarni{WB}alue
aarnihauta	1	N_PATA	aarni{WB}hauta
aarnihonka	1	N_HONKA	aarni{WB}honka
aarnikotka	1	N_VOIMA	aarni{WB}kotka
aarniohauta	1	N_PATA	aarnio{WB}hauta
aarniometsä	1	N_HÖPÖTTÄJÄ	aarnio{WB}metsä
aarnipuu	1	N_PUU	aarni{WB}puu
aarnituli	1	N_TULI	aarni{WB}tuli
aarnivalkea	1	N_SOKEA	aarni{WB}valkea
aarreaitta	1	N_MITTA	aarre{WB}aitta
aarrearkku	1	N_TIKKU	aarre{WB}arkku
aarrehauta	1	N_PATA	aarre{WB}hauta
aarrekammio	1	N_TUOMIO	aarre{WB}kammio
aarrekätkö	1	N_MÖMMÖ	aarre{WB}kätkö
aarrelaiva	1	N_KIRJA	aarre{WB}laiva
aarrelöytö	1	N_HÄÄTÖ	aarre{WB}löytö
aarretuli	1	N_TULI	aarre{WB}tuli
aarrevalkea	1	N_SOKEA	aarre{WB}valkea
aarteenetsijä	1	N_HÄKKYRÄ	aarteen{WB}etsijä
aarteenetsintä	1	N_KYSYNTÄ	aarteen{WB}etsintä
aasialaisamerikkalainen	1	N_AAKKOSTAMINEN	aasialais{WB}amerikkalainen
aasinpotku	1	N_ASU	aasin{WB}potku
aasinsilta	1	N_VALTA	aasin{WB}silta
aasitamma	1	N_KIRJA	aasi{WB}tamma
aataminaikainen	1	A_AAKKOSELLINEN	aatamin{WB}aikainen
aataminomena	1	N_PROBLEEMA	aatamin{WB}omena
aataminpuku	1	N_LUKU	aatamin{WB}puku
aatehistoria	1	N_MAKKARA	aate{WB}historia
aatekilpailu	1	N_SEIKKAILU	aate{WB}kilpailu
aatelisarvo	1	N_TALO	aatelis{WB}arvo
aatelisherra	1	N_KIRJA	aatelis{WB}herra
aateliskalenteri	1	N_KANAALI	aatelis{WB}kalenteri
aateliskartano	1	N_RUIPELO	aatelis{WB}kartano
aateliskruunu	1	N_ASU	aatelis{WB}kruunu
aatelislinna	1	N_KIRJA	aatelis{WB}linna
aatelismies	1	N_MIES	aatelis{WB}mies
aatelisnainen	1	N_AAKKOSTAMINEN	aatelis{WB}nainen
aatelisnenä	1	N_HÖPÖTTÄJÄ	aatelis{WB}nenä
aatelissuku	1	N_LUKU	aatelis{WB}suku
aatelissääty	1	N_VETY	aatelis{WB}sääty
aatelisvaakuna	1	N_MAKKARA	aatelis{WB}vaakuna
aatemaailma	1	N_KITARA	aate{WB}maa{WB}ilma
aaterakennelma	1	N_VOIMA	aate{WB}rakennelma
aatesisar	1	N_JOUTSEN	aate{WB}sisar
aatesuunta	1	N_KUNTA	aate{WB}suunta
aatetoveri	1	N_KANAALI	aate{WB}toveri
aateveli	1	N_VELI	aate{WB}veli
aatevirtaus	1	N_VAKUUTUS	aate{WB}virtaus
aatonaatto	1	N_HIRTTO	aaton{WB}aatto
aattoilta	1	N_VALTA	aatto{WB}ilta
aavameri	2	N_MERI	aava{WB}meri
aavejuna	1	N_VOIMA	aave{WB}juna
aavekaupunki	1	N_VANKI	aave{WB}kaupunki
aavekipu	1	N_APU	aave{WB}kipu
aavelaiva	1	N_KIRJA	aave{WB}laiva
aavemainen	1	A_AAKKOSELLINEN	aave{WB}mainen
aavemaisesti	1	PCLE_NOPEASTI	aave{WB}maisesti
aavikkoiguaani	1	N_RUUVI	aavikko{WB}iguaani
aavikkoilves	1	N_RÄJÄYTYS	aavikko{WB}ilves
aavikkojuoksija	1	N_MAKKARA	aavikko{WB}juoksija
aavikkokana	1	N_KIRJA	aavikko{WB}kana
aavikkokissa	1	N_KIRJA	aavikko{WB}kissa
aavikkomaannos	1	N_VAKUUTUS	aavikko{WB}maannos
aavikkorotta	1	N_ROTTA	aavikko{WB}rotta
aavikkoruusu	1	N_ASU	aavikko{WB}ruusu
Aavikkotie	1	N_TIE	Aavikko{WB}tie
aavistuksenomainen	1	A_AAKKOSELLINEN	aavistuksen{WB}omainen
aavistuslähtö	1	N_HÄÄTÖ	aavistus{WB}lähtö
abdominaalisenteesi	1	N_TYYLI	abdominaali{XB}senteesi
abiogeneettinen	1	A_KYLMÄJÄRKINEN	abio{XB}geneettinen
ablatiivisija	1	N_KIRJA	ablatiivi{WB}sija
aborttipilleri	1	N_KEHVELI	abortti{WB}pilleri
aborttitabletti	1	N_KORTTI	abortti{WB}tabletti
absinttiöljy	1	N_KÄRRY	absintti{WB}öljy
absoluuttiarvo	1	N_TALO	absoluutti{WB}arvo
absorboimisaine	1	N_ASTE	absorboimis{WB}aine
absorptioalue	1	N_ASTE	absorptio{WB}alue
absorptioindikaattori	1	N_KANAALI	absorptio{WB}indikaattori
absorptiokerroin	1	N_KERROIN	absorptio{WB}kerroin
absorptiokyky	1	N_KYKY	absorptio{WB}kyky
absorptiokykyinen	1	A_KYLMÄJÄRKINEN	absorptio{WB}kykyinen
absorptiospektri	1	N_TYYLI	absorptio{WB}spektri
absorptiosuhde	1	N_LUODE	absorptio{WB}suhde
absorptiotaajuus	1	N_AAKKOSELLISUUS	absorptio{WB}taajuus
absorptiovyö	1	N_TYÖ	absorptio{WB}vyö
absorptioyksikkö	1	N_YKSIKKÖ	absorptio{WB}yksikkö
abstinenssioire	1	N_ASTE	abstinenssi{WB}oire
additiotuote	1	N_OSOITE	additio{WB}tuote
adenosiinidifosfaatti	1	N_KORTTI	adenosiini{WB}difosfaatti
adenosiinimonofosfaatti	1	N_KORTTI	adenosiinimono{WB}fosfaatti
adenosiinitrifosfaatti	1	N_KORTTI	adenosiini{WB}trifosfaatti
adjektiiviattribuutti	1	N_KORTTI	adjektiivi{WB}attribuutti
adjutanttihaikara	1	N_MAKKARA	adjutantti{WB}haikara
adjutanttilintu	1	N_LINTU	adjutantti{WB}lintu
adoptiokelpoinen	1	A_AAKKOSELLINEN	adoptio{WB}kelpoinen
adoptiolapsi	1	N_LAPSI	adoptio{WB}lapsi
adoptiovanhempi	1	N_VANHEMPI	adoptio{WB}vanhempi
adoptointikelvoton	1	A_VIATON	adoptointi{WB}kelvoton
adventtiaika	1	N_AIKA	adventti{WB}aika
adventtikalenteri	1	N_KANAALI	adventti{WB}kalenteri
adventtikirkko	1	N_UKKO	adventti{WB}kirkko
adventtiseurakunta	1	N_KUNTA	adventti{WB}seurakunta
adventtiseurakunta	2	N_KUNTA	adventti{WB}seura{WB}kunta
adventtisunnuntai	1	N_HAI	adventti{WB}sunnuntai
aerosolimuoto	1	N_VETO	aerosoli{WB}muoto
aerosolipakkaus	1	N_VAKUUTUS	aerosoli{WB}pakkaus
aerosolipommi	1	N_RUUVI	aerosoli{WB}pommi
aerosolipullo	1	N_TALO	aerosoli{WB}pullo
aerosoliräjähde	1	N_KIDE	aerosoli{WB}räjähde
aerosolitölkki	1	N_HÄKKI	aerosoli{WB}tölkki
afebriili	1	A_STYDI	a{XB}febriili
affektihäiriö	1	N_HÄIRIÖ	affekti{WB}häiriö
affenpinseri	1	N_KEHVELI	affen{WB}pinseri
afgaaninvinttikoira	1	N_VOIMA	afgaanin{WB}vintti{WB}koira
afgaaniturkki	1	N_LOKKI	afgaani{WB}turkki
aforismikokoelma	1	N_VOIMA	aforismi{WB}kokoelma
afrikanpingviini	1	N_KEHVELI	afrikan{WB}pingviini
afrikkalaisamerikkalainen	1	N_AAKKOSTAMINEN	afrikkalais{WB}amerikkalainen
afroaasialainen	1	A_AAKKOSELLINEN	afro{WB}aasialainen
afroaasialainen	2	N_AAKKOSTAMINEN	afro{WB}aasialainen
afroamerikkalainen	1	A_AAKKOSELLINEN	afro{WB}amerikkalainen
afroamerikkalainen	2	N_AAKKOSTAMINEN	afro{WB}amerikkalainen
afrokampaus	1	N_VAKUUTUS	afro{WB}kampaus
afrokommunismi	1	N_RUUVI	afro{WB}kommunismi
afroperuukki	1	N_LOKKI	afro{WB}peruukki
agarmalja	1	N_KIRJA	agar{WB}malja
ageneesi	1	N_TYYLI	a{XB}geneesi
agenttifilmi	1	N_TYYLI	agentti{WB}filmi
agenttiromaani	1	N_RUUVI	agentti{WB}romaani
agenttirooli	1	N_RUUVI	agentti{WB}rooli
agentuuriliike	1	N_LÄÄKE	agentuuri{WB}liike
agglutinogeeni	1	N_TYYLI	agglutino{XB}geeni
agraaripolitiikka	1	N_POLITIIKKA	agraari{WB}politiikka
agraaripuolue	1	N_ASTE	agraari{WB}puolue
agraarivaltio	1	N_TUOMIO	agraari{WB}valtio
ahaa-elämys	1	N_RÄJÄYTYS	ahaa-elämys
ahdashenkinen	1	A_KYLMÄJÄRKINEN	ahdas{WB}henkinen
ahdashenkisesti	1	PCLE_TYHMÄSTI	ahdas{WB}henkisesti
ahdashenkisyys	1	N_KÖYHYYS	ahdas{WB}henkisyys
ahdaskatseinen	1	A_AAKKOSELLINEN	ahdas{WB}katseinen
ahdaskulmaglaukooma	1	N_VOIMA	ahdaskulma{WB}glaukooma
ahdasmielinen	1	A_KYLMÄJÄRKINEN	ahdas{WB}mielinen
ahdasmielisesti	1	PCLE_TYHMÄSTI	ahdas{WB}mielisesti
ahdasmielisyys	1	N_KÖYHYYS	ahdas{WB}mielisyys
ahdasnäköinen	1	A_KYLMÄJÄRKINEN	ahdas{WB}näköinen
ahdasnäköisesti	1	PCLE_TYHMÄSTI	ahdas{WB}näköisesti
ahdasnäköisyys	1	N_KÖYHYYS	ahdas{WB}näköisyys
ahdasrajainen	1	A_AAKKOSELLINEN	ahdas{WB}rajainen
ahdasrajaisesti	1	PCLE_NOPEASTI	ahdas{WB}rajaisesti
ahdassuinen	1	A_AAKKOSELLINEN	ahdas{WB}suinen
ahdassuusammakko	1	N_LEPAKKO	ahdassuu{WB}sammakko
ahdekaunokki	1	N_LOKKI	ahde{WB}kaunokki
ahdelauha	1	N_KIRJA	ahde{WB}lauha
ahdinkotila	1	N_KIRJA	ahdinko{WB}tila
ahdinmalluainen	1	N_AAKKOSTAMINEN	ahdin{WB}malluainen
ahdistuneisuushäiriö	1	N_HÄIRIÖ	ahdistuneisuus{WB}häiriö
ahdistushysteria	1	N_MAKKARA	ahdistus{WB}hysteria
ahdistuskohtaus	1	N_VAKUUTUS	ahdistus{WB}kohtaus
ahdistusneuroosi	1	N_KANAALI	ahdistus{WB}neuroosi
ahdistustila	1	N_KIRJA	ahdistus{WB}tila
Ahmasvesi	1	N_KÖYSI	Ahmas{WB}vesi
ahmimishäiriö	1	N_HÄIRIÖ	ahmimis{WB}häiriö
ahojäkkärä	1	N_HÄKKYRÄ	aho{WB}jäkkärä
ahokissankäpälä	1	N_KÄPÄLÄ	aho{WB}kissankäpälä
ahomansikka	1	N_LUSIKKA	aho{WB}mansikka
ahomatara	1	N_KITARA	aho{WB}matara
ahoniitty	1	N_PYTTY	aho{WB}niitty
ahonoidanlukko	1	N_UKKO	ahonoidan{WB}lukko
ahosuolaheinä	1	N_HÖPÖTTÄJÄ	aho{WB}suolaheinä
ahtausliike	1	N_LÄÄKE	ahtaus{WB}liike
ahtaustyö	1	N_TYÖ	ahtaus{WB}työ
ahtisaarna	1	N_KIRJA	ahti{WB}saarna
ahtoilma	1	N_KIRJA	ahto{WB}ilma
ahtojää	1	N_PÄÄ	ahto{WB}jää
ahtopaine	1	N_ASTE	ahto{WB}paine
ahtoutua	1	V_ROHTUA	ahto{WB}utua
ahvenheinä	1	N_HÖPÖTTÄJÄ	ahven{WB}heinä
ahvenkala	1	N_KIRJA	ahven{WB}kala
ahvenruoho	1	N_TALO	ahven{WB}ruoho
ahvenvita	1	N_PATA	ahven{WB}vita
aidanrako	1	N_TEKO	aidan{WB}rako
aidanseiväs	1	N_SEIVÄS	aidan{WB}seiväs
aidanvieri	1	N_HIIRI	aidan{WB}vieri
aidaskääpä	1	N_LEIPÄ	aidas{WB}kääpä
AIDS-potilas	1	N_PATSAS	AIDS-potilas
aiepöytäkirja	1	N_KIRJA	aie{WB}pöytä{WB}kirja
aiesopimus	1	N_VAKUUTUS	aie{WB}sopimus
aiheenmukainen	1	A_AAKKOSELLINEN	aiheen{WB}mukainen
aiheenvalinta	1	N_KUTSUNTA	aiheen{WB}valinta
aihepiiri	1	N_TYYLI	aihe{WB}piiri
aihetodiste	1	N_ASTE	aihe{WB}todiste
aiheutua	1	V_ROHTUA	aihe{WB}utua
aika-ajo	1	N_TALO	aika-ajo
aika-arvo	1	N_TALO	aika-arvo
aikaero	1	N_TALO	aika{WB}ero
aikaerorasitus	1	N_VAKUUTUS	aika{WB}ero{WB}rasitus
aikaihminen	1	N_KYLKIÄINEN	aika{WB}ihminen
aikajakso	1	N_TALO	aika{WB}jakso
aikajana	1	N_KIRJA	aika{WB}jana
aikajärjestys	1	N_RÄJÄYTYS	aika{WB}järjestys
aikakapseli	1	N_KANAALI	aika{WB}kapseli
aikakauppa	1	N_TIPPA	aika{WB}kauppa
aikakausi	1	N_KAUSI	aika{WB}kausi
aikakausilehti	1	N_LEHTI	aikakausi{WB}lehti
aikakehys	1	N_RÄJÄYTYS	aika{WB}kehys
aikakirja	1	N_KIRJA	aika{WB}kirja
aikakone	1	N_ASTE	aika{WB}kone
aikakysymys	1	N_RÄJÄYTYS	aika{WB}kysymys
aikakytkin	1	N_ELIN	aika{WB}kytkin
aikalainen	1	A_AAKKOSELLINEN	aika{WB}lainen
aikalaukaisin	1	N_PUHELIN	aika{WB}laukaisin
aikalisä	1	N_HÖPÖTTÄJÄ	aika{WB}lisä
aikalukko	1	N_UKKO	aika{WB}lukko
aikaluokka	1	N_LUOKKA	aika{WB}luokka
