lemma	new_paras	homonym
hylky	['N_HYLKY']	1
hylky	['N_KÄRRY']	2
hyllyllinen	['A_KYLMÄJÄRKINEN']	1
hyllyllinen	['N_KYLKIÄINEN']	2
Hymettos	['N_PUNK']	1
Hymettos	['N_VAKUUTUS']	2
hyppyhäntäinen	['A_KYLMÄJÄRKINEN']	1
hyppyhäntäinen	['N_KYLKIÄINEN']	2
Hyrkäs	['N_KÄRSÄKÄS']	1
Hyrkäs	['N_RÄJÄYTYS']	2
hyrynsalmelainen	['A_AAKKOSELLINEN']	1
hyrynsalmelainen	['N_AAKKOSTAMINEN']	2
Hyvinkää	['N_PYHTÄÄ']	1
Hyvinkää	['N_PÄÄ']	2
hyvinkääläinen	['A_KYLMÄJÄRKINEN']	1
hyvinkääläinen	['N_KYLKIÄINEN']	2
hyvinpukeutunut	['A_KULUNUT']	1
hyvinpukeutunut	['N_AIVOKUOLLUT']	2
hyvä	['A_TYHMÄ']	1
hyvä	['N_HÖPÖTTÄJÄ']	2
hyväksi	['PCLE_LISÄKSI']	1
hyväksi	['PCLE_VUOKSI']	2
hyvästi	['N_TYYLI']	1
hyvästi	['PCLE_TYHMÄSTI']	2
HYY	['ACRO_YY']	1
HYY	['N_FONDUE']	2
Hyyti	['N_NIHTI']	1
Hyyti	['N_TYYLI']	2
Hyöky	['N_KÄRRY']	1
Hyöky	['N_NÄKY']	2
Hyövälti	['N_PELTI']	1
Hyövälti	['N_TYYLI']	2
häiriintynyt	['A_ÄLLISTYNYT']	1
häiriintynyt	['N_SIVISTYNYT']	2
häkä	['N_HÖPÖTTÄJÄ']	1
häkä	['N_REIKÄ']	2
hämmentynyt	['A_ÄLLISTYNYT']	1
hämmentynyt	['N_SIVISTYNYT']	2
Hämälänrimpi	['N_RIMMI']	1
Hämälänrimpi	['N_RIMPI']	2
hämärä	['A_TERÄVÄ']	1
hämärä	['N_ELÄMÄ']	2
hämäräsokea	['A_KORKEA']	1
hämäräsokea	['N_SOKEA']	2
hännällinen	['A_KYLMÄJÄRKINEN']	1
hännällinen	['N_KYLKIÄINEN']	2
Härkin	['N_HÄRKIN']	1
Härkin	['N_ZEN']	2
hää	['N_PÄÄ']	1
hää	['PRON_MÄÄ']	2
hömppä	['A_HÖMPPÄ']	1
hömppä	['N_SEPPÄ']	2
höntti	['A_VÄÄRTTI']	1
höntti	['N_SKEITTI']	2
höperö	['A_LÖPERÖ']	1
höperö	['N_JÄÄTELÖ']	2
höppänä	['A_HÖPPÄNÄ']	1
höppänä	['N_HÄKKYRÄ']	2
ICAP	['ACRO_EE']	1
ICAP	['N_PUNK']	2
ICOMOS	['ACRO_ÄKS']	1
ICOMOS	['N_PUNK']	2
IFA	['ACRO_AA']	1
IFA	['N_FIFA']	2
Ifaistos	['N_PUNK']	1
Ifaistos	['N_VAKUUTUS']	2
Ífaistos	['N_PUNK']	1
Ífaistos	['N_VAKUUTUS']	2
Ihalempi	['N_RUUVI']	1
Ihalempi	['N_SAMPI']	2
ihme	['N_PISTE']	1
ihme	['PCLE_VAAN']	2
IIF	['ACRO_ÄKS']	1
IIF	['N_ZEN']	2
iiläinen	['A_KYLMÄJÄRKINEN']	1
iiläinen	['N_KYLKIÄINEN']	2
iisalmelainen	['A_AAKKOSELLINEN']	1
iisalmelainen	['N_AAKKOSTAMINEN']	2
iittiläinen	['A_KYLMÄJÄRKINEN']	1
iittiläinen	['N_KYLKIÄINEN']	2
Iivananrimpi	['N_LAMMI']	1
Iivananrimpi	['N_SAMPI']	2
Iizuka	['N_ASEMA']	1
Iizuka	['N_KIRJA']	2
ikaalilainen	['A_AAKKOSELLINEN']	1
ikaalilainen	['N_AAKKOSTAMINEN']	2
ikaalislainen	['A_AAKKOSELLINEN']	1
ikaalislainen	['N_AAKKOSTAMINEN']	2
IKI	['ACRO_II']	1
IKI	['N_ZEN']	2
ikivihreä	['A_JÄREÄ']	1
ikivihreä	['N_LIPEÄ']	2
Ikosenrimpi	['N_LAMMI']	1
Ikosenrimpi	['N_SAMPI']	2
ikäloppu	['A_IKÄLOPPU']	1
ikäloppu	['N_LIPPU']	2
Ikävalko	['N_PELKO']	1
Ikävalko	['N_TALO']	2
ikävä	['A_TERÄVÄ']	1
ikävä	['N_ELÄMÄ']	2
Ilias	['N_PATSAS']	1
Ilias	['N_VAKUUTUS']	2
illallinen	['A_AAKKOSELLINEN']	1
illallinen	['N_AAKKOSTAMINEN']	2
ilmajokelainen	['A_AAKKOSELLINEN']	1
ilmajokelainen	['N_AAKKOSTAMINEN']	2
ilmajokinen	['A_AAKKOSELLINEN']	1
ilmajokinen	['N_AAKKOSTAMINEN']	2
Ilmakunnas	['N_PATSAS']	1
Ilmakunnas	['N_VAKUUTUS']	2
ILO	['ACRO_OO']	1
ILO	['N_TALO']	2
ilomantsilainen	['A_AAKKOSELLINEN']	1
ilomantsilainen	['N_AAKKOSTAMINEN']	2
Ilta	['N_KIRJA']	1
Ilta	['N_VALTA']	2
iltavapaa	['A_VAPAA']	1
iltavapaa	['N_VAINAA']	2
imatralainen	['A_AAKKOSELLINEN']	1
imatralainen	['N_AAKKOSTAMINEN']	2
IMEKO	['ACRO_OO']	1
IMEKO	['N_TALO']	2
imettäväinen	['A_KYLMÄJÄRKINEN']	1
imettäväinen	['N_KYLKIÄINEN']	2
IMI	['ACRO_II']	1
IMI	['N_ZEN']	2
impivaaralainen	['A_AAKKOSELLINEN']	1
impivaaralainen	['N_AAKKOSTAMINEN']	2
imuroida	['V_KOPIOIDA']	1
imuroida	['V_MELLAKOIDA']	2
inarilainen	['A_AAKKOSELLINEN']	1
inarilainen	['N_AAKKOSTAMINEN']	2
Indianapolis	['N_PUNK']	1
Indianapolis	['N_VAKUUTUS']	2
Indiegogo	['N_KUNGFU']	1
Indiegogo	['N_TALO']	2
indigonsininen	['A_KYLMÄJÄRKINEN']	1
indigonsininen	['N_AAKKOSTAMINEN']	2
indoeurooppalainen	['A_AAKKOSELLINEN']	1
indoeurooppalainen	['N_AAKKOSTAMINEN']	2
indonesialainen	['A_AAKKOSELLINEN']	1
indonesialainen	['N_AAKKOSTAMINEN']	2
ING	['ACRO_EE']	1
ING	['N_ZEN']	2
Inget	['N_INGET']	1
Inget	['N_ZEN']	2
Ingves	['N_RÄJÄYTYS']	1
Ingves	['N_ZEN']	2
iniöläinen	['A_KYLMÄJÄRKINEN']	1
iniöläinen	['N_KYLKIÄINEN']	2
Inka	['N_KIRJA']	1
Inka	['N_LANKA']	2
inkoolainen	['A_AAKKOSELLINEN']	1
inkoolainen	['N_AAKKOSTAMINEN']	2
Interogo	['N_KUNGFU']	1
Interogo	['N_TALO']	2
intialainen	['A_AAKKOSELLINEN']	1
intialainen	['N_AAKKOSTAMINEN']	2
Into	['N_TALO']	1
Into	['N_TUNTO']	2
introvertti	['A_HURTTI']	1
introvertti	['N_KORTTI']	2
Ioannes	['N_ARISTOTELES']	1
Ioannes	['N_VAKUUTUS']	2
Ipeiros	['N_PUNK']	1
Ipeiros	['N_VAKUUTUS']	2
Ípeiros	['N_PUNK']	1
Ípeiros	['N_VAKUUTUS']	2
IPEM	['ACRO_ÄKS']	1
IPEM	['N_ZEN']	2
Ipsus	['N_PUNK']	1
Ipsus	['N_VAKUUTUS']	2
irakilainen	['A_AAKKOSELLINEN']	1
irakilainen	['N_AAKKOSTAMINEN']	2
Irakleio	['N_TALO']	1
Irakleio	['N_TUOMIO']	2
Irákleio	['N_TALO']	1
Irákleio	['N_TUOMIO']	2
iranilainen	['A_AAKKOSELLINEN']	1
iranilainen	['N_AAKKOSTAMINEN']	2
irlantilainen	['A_AAKKOSELLINEN']	1
irlantilainen	['N_AAKKOSTAMINEN']	2
irtain	['A_AVOIN']	1
irtain	['N_PUHELIN']	2
ISAI	['ACRO_II']	1
ISAI	['N_BRASSERIE']	2
ISEC	['ACRO_EE']	1
ISEC	['N_ZEN']	2
islamilainen	['A_AAKKOSELLINEN']	1
islamilainen	['N_AAKKOSTAMINEN']	2
islantilainen	['A_AAKKOSELLINEN']	1
islantilainen	['N_AAKKOSTAMINEN']	2
ismaililainen	['A_AAKKOSELLINEN']	1
ismaililainen	['N_AAKKOSTAMINEN']	2
iso	['A_TUMMAHKO']	1
iso	['N_TALO']	2
iso-	['N_COMPOUND']	1
iso-	['PCLE_VAAN']	2
ISO	['ACRO_OO']	1
ISO	['N_TALO']	2
Iso-Britannia	['N_51Iso-Britannia']	1
Iso-Britannia	['N_MAKKARA']	2
isobritannialainen	['A_AAKKOSELLINEN']	1
isobritannialainen	['N_AAKKOSTAMINEN']	2
isoinen	['A_AAKKOSELLINEN']	1
isoinen	['N_AAKKOSTAMINEN']	2
isojako	['N_51isojako']	1
isojako	['N_TEKO']	2
isojokelainen	['A_AAKKOSELLINEN']	1
isojokelainen	['N_AAKKOSTAMINEN']	2
isojokinen	['A_AAKKOSELLINEN']	1
isojokinen	['N_AAKKOSTAMINEN']	2
isokenkäinen	['A_KYLMÄJÄRKINEN']	1
isokenkäinen	['N_KYLKIÄINEN']	2
isokliininen	['A_KYLMÄJÄRKINEN']	1
isokliininen	['N_AAKKOSTAMINEN']	2
isokuovi	['N_51isokuovi']	1
isokuovi	['N_RUUVI']	2
isokyröläinen	['A_KYLMÄJÄRKINEN']	1
isokyröläinen	['N_KYLKIÄINEN']	2
isokäpylintu	['N_51isokäpylintu']	1
isokäpylintu	['N_LINTU']	2
isolepinkäinen	['N_51isolepinkäinen']	1
isolepinkäinen	['N_KYLKIÄINEN']	2
isolokki	['N_51isolokki']	1
isolokki	['N_LOKKI']	2
isomaksaruoho	['N_51isomaksaruoho']	1
isomaksaruoho	['N_TALO']	2
isomasto	['N_51isomasto']	1
isomasto	['N_TALO']	2
Isonperänpuhti	['N_RUUVI']	1
Isonperänpuhti	['N_TAUTI']	2
Isonrannanpuhti	['N_RUUVI']	1
Isonrannanpuhti	['N_TAUTI']	2
Isopahkala-Bouret	['N_BEIGNET']	1
Isopahkala-Bouret	['N_PUNK']	2
isopanda	['N_51isopanda']	1
isopanda	['N_KIRJA']	2
Isopuhti	['N_RUUVI']	1
Isopuhti	['N_TAUTI']	2
isopurje	['N_51isopurje']	1
isopurje	['N_ASTE']	2
Isorimpi	['N_LAMMI']	1
Isorimpi	['N_SAMPI']	2
isorokko	['N_51isorokko']	1
isorokko	['N_UKKO']	2
isorumpu	['N_51isorumpu']	1
isorumpu	['N_RUMPU']	2
isosisar	['N_51isosisar']	1
isosisar	['N_JOUTSEN']	2
isosisko	['N_51isosisko']	1
isosisko	['N_TALO']	2
isota	['V_KARHETA']	1
isota	['V_KARHUTA']	2
isotaivot	['N_51isotaivot']	1
isotaivot	['N_AIVOT']	2
Isovahe	['N_ASTE']	1
Isovahe	['N_NALLE']	2
isovarvas	['N_51isovarvas']	1
isovarvas	['N_VARVAS']	2
isoveli	['N_51isoveli']	1
isoveli	['N_VELI']	2
isoviha	['N_51isoviha']	1
isoviha	['N_KIRJA']	2
israelilainen	['A_AAKKOSELLINEN']	1
israelilainen	['N_AAKKOSTAMINEN']	2
istukallinen	['A_AAKKOSELLINEN']	1
istukallinen	['N_AAKKOSTAMINEN']	2
italialainen	['A_AAKKOSELLINEN']	1
italialainen	['N_AAKKOSTAMINEN']	2
itiökantainen	['A_AAKKOSELLINEN']	1
itiökantainen	['N_AAKKOSTAMINEN']	2
itse	['PCLE_TYHMÄSTI']	1
itse	['PRON_ITSE']	2
itselataava	['A_RUMA']	1
itselataava	['N_VOIMA']	2
itsellinen	['A_KYLMÄJÄRKINEN']	1
itsellinen	['N_KYLKIÄINEN']	2
itseoppinut	['A_KULUNUT']	1
itseoppinut	['N_AIVOKUOLLUT']	2
itäaasialainen	['A_AAKKOSELLINEN']	1
itäaasialainen	['N_AAKKOSTAMINEN']	2
itäafrikkalainen	['A_AAKKOSELLINEN']	1
itäafrikkalainen	['N_AAKKOSTAMINEN']	2
itäeurooppalainen	['A_AAKKOSELLINEN']	1
itäeurooppalainen	['N_AAKKOSTAMINEN']	2
itäintialainen	['A_AAKKOSELLINEN']	1
itäintialainen	['N_AAKKOSTAMINEN']	2
itäkarjalainen	['A_AAKKOSELLINEN']	1
itäkarjalainen	['N_AAKKOSTAMINEN']	2
itämaalainen	['A_AAKKOSELLINEN']	1
itämaalainen	['N_AAKKOSTAMINEN']	2
itämerensuomalainen	['A_AAKKOSELLINEN']	1
itämerensuomalainen	['N_AAKKOSTAMINEN']	2
itäroomalainen	['A_AAKKOSELLINEN']	1
itäroomalainen	['N_AAKKOSTAMINEN']	2
itäsaksalainen	['A_AAKKOSELLINEN']	1
itäsaksalainen	['N_AAKKOSTAMINEN']	2
itäsuomalainen	['A_AAKKOSELLINEN']	1
itäsuomalainen	['N_AAKKOSTAMINEN']	2
itätimorilainen	['A_AAKKOSELLINEN']	1
itätimorilainen	['N_AAKKOSTAMINEN']	2
itävaltalainen	['A_AAKKOSELLINEN']	1
itävaltalainen	['N_AAKKOSTAMINEN']	2
Ixonos	['N_PUNK']	1
Ixonos	['N_VAKUUTUS']	2
jaa	['PCLE_HAH']	1
jaa	['PCLE_VAAN']	2
jaalalainen	['A_AAKKOSELLINEN']	1
jaalalainen	['N_AAKKOSTAMINEN']	2
jaavalainen	['A_AAKKOSELLINEN']	1
jaavalainen	['N_AAKKOSTAMINEN']	2
jadenvihreä	['A_JÄREÄ']	1
jadenvihreä	['N_LIPEÄ']	2
jaettava	['A_RUMA']	1
jaettava	['N_VOIMA']	2
jainalainen	['A_AAKKOSELLINEN']	1
jainalainen	['N_AAKKOSTAMINEN']	2
jalasjärveläinen	['A_KYLMÄJÄRKINEN']	1
jalasjärveläinen	['N_KYLKIÄINEN']	2
jalasjärvinen	['A_KYLMÄJÄRKINEN']	1
jalasjärvinen	['N_KYLKIÄINEN']	2
Jalta	['N_KIRJA']	1
Jalta	['N_VALTA']	2
jamaikalainen	['A_AAKKOSELLINEN']	1
jamaikalainen	['N_AAKKOSTAMINEN']	2
janakkalainen	['A_AAKKOSELLINEN']	1
janakkalainen	['N_AAKKOSTAMINEN']	2
janakkalalainen	['A_AAKKOSELLINEN']	1
janakkalalainen	['N_AAKKOSTAMINEN']	2
Janka	['N_KIRJA']	1
Janka	['N_LANKA']	2
Jannis	['N_PUNK']	1
Jannis	['N_VAKUUTUS']	2
japanilainen	['A_AAKKOSELLINEN']	1
japanilainen	['N_AAKKOSTAMINEN']	2
Jaszbereny	['N_KÄRRY']	1
Jaszbereny	['N_ZEN']	2
Jászberény	['N_KÄRRY']	1
Jászberény	['N_ZEN']	2
jemeniläinen	['A_KYLMÄJÄRKINEN']	1
jemeniläinen	['N_KYLKIÄINEN']	2
jenkkiläinen	['A_KYLMÄJÄRKINEN']	1
jenkkiläinen	['N_KYLKIÄINEN']	2
jepualainen	['A_AAKKOSELLINEN']	1
jepualainen	['N_AAKKOSTAMINEN']	2
Jeremias	['N_PATSAS']	1
Jeremias	['N_VAKUUTUS']	2
Jeremie	['N_BERNIE']	1
Jeremie	['N_BRIE']	2
Jessie	['N_BERNIE']	1
Jessie	['N_BRIE']	2
JetBlue	['N_KUNGFU']	1
JetBlue	['N_ZOMBIE']	2
joensuulainen	['A_AAKKOSELLINEN']	1
joensuulainen	['N_AAKKOSTAMINEN']	2
joka	['PRON_JOKA']	1
joka	['PRON_KOKO']	2
Jokilampi	['N_LAMMI']	1
Jokilampi	['N_SAMPI']	2
jokioislainen	['A_AAKKOSELLINEN']	1
jokioislainen	['N_AAKKOSTAMINEN']	2
jokioistelainen	['A_AAKKOSELLINEN']	1
jokioistelainen	['N_AAKKOSTAMINEN']	2
jomalalainen	['A_AAKKOSELLINEN']	1
jomalalainen	['N_AAKKOSTAMINEN']	2
Joonas	['N_PATSAS']	1
Joonas	['N_VAKUUTUS']	2
jordanialainen	['A_AAKKOSELLINEN']	1
jordanialainen	['N_AAKKOSTAMINEN']	2
Joris	['N_PUNK']	1
Joris	['N_VAKUUTUS']	2
joroislainen	['A_AAKKOSELLINEN']	1
joroislainen	['N_AAKKOSTAMINEN']	2
joruba	['N_ASEMA']	1
joruba	['N_KIRJA']	2
Jouhi	['N_RUUVI']	1
Jouhi	['N_TULI']	2
Joukahaisrimpi	['N_LAMMI']	1
Joukahaisrimpi	['N_SAMPI']	2
joulusaarelainen	['A_AAKKOSELLINEN']	1
joulusaarelainen	['N_AAKKOSTAMINEN']	2
Joutenrimpi	['N_LAMMI']	1
Joutenrimpi	['N_SAMPI']	2
joutilas	['A_AUTUAS']	1
joutilas	['N_PATSAS']	2
joutsalainen	['A_AAKKOSELLINEN']	1
joutsalainen	['N_AAKKOSTAMINEN']	2
joutsenolainen	['A_AAKKOSELLINEN']	1
joutsenolainen	['N_AAKKOSTAMINEN']	2
Joutsenrimpi	['N_LAMMI']	1
Joutsenrimpi	['N_SAMPI']	2
juankoskelainen	['A_AAKKOSELLINEN']	1
juankoskelainen	['N_AAKKOSTAMINEN']	2
jugoslavianmakedonialainen	['A_AAKKOSELLINEN']	1
jugoslavianmakedonialainen	['N_AAKKOSTAMINEN']	2
Juhana	['N_ASEMA']	1
Juhana	['N_MAKKARA']	2
juhlaillallinen	['A_AAKKOSELLINEN']	1
juhlaillallinen	['N_AAKKOSTAMINEN']	2
Jukkurarimpi	['N_LAMMI']	1
Jukkurarimpi	['N_SAMPI']	2
Jukos	['N_PUNK']	1
Jukos	['N_VAKUUTUS']	2
Julie	['N_BRASSERIE']	1
Julie	['N_ZOMBIE']	2
juljeta	['V_HALJETA']	1
juljeta	['V_ROHJETA']	2
julkaisuvapaa	['A_VAPAA']	1
julkaisuvapaa	['N_VAINAA']	2
Julku	['N_ALKU']	1
Julku	['N_ASU']	2
jumalainen	['A_AAKKOSELLINEN']	1
jumalainen	['N_AAKKOSTAMINEN']	2
Junchaya-Rojas	['N_PUNK']	1
Junchaya-Rojas	['N_VAKUUTUS']	2
jungilainen	['A_AAKKOSELLINEN']	1
jungilainen	['N_AAKKOSTAMINEN']	2
juoksujalkainen	['A_AAKKOSELLINEN']	1
juoksujalkainen	['N_AAKKOSTAMINEN']	2
juoppo	['A_SUIPPO']	1
juoppo	['N_HAPPO']	2
juotava	['A_MATALA']	1
juotava	['N_ASEMA']	2
Juovat	['N_JUHLAT']	1
Juovat	['N_JUOVAT']	2
jurvalainen	['A_AAKKOSELLINEN']	1
jurvalainen	['N_AAKKOSTAMINEN']	2
Juti	['N_RUUVI']	1
Juti	['N_TAUTI']	2
Juudas	['N_PATSAS']	1
Juudas	['N_VAKUUTUS']	2
juukalainen	['A_AAKKOSELLINEN']	1
juukalainen	['N_AAKKOSTAMINEN']	2
juupajokelainen	['A_AAKKOSELLINEN']	1
juupajokelainen	['N_AAKKOSTAMINEN']	2
juupajokinen	['A_AAKKOSELLINEN']	1
juupajokinen	['N_AAKKOSTAMINEN']	2
juuri	['N_RUUHI']	1
juuri	['N_RUUVI']	2
juuri	['PCLE_NOPEASTI']	3
juurijalkainen	['A_AAKKOSELLINEN']	1
juurijalkainen	['N_AAKKOSTAMINEN']	2
Juurikkamaanpuhti	['N_RUUVI']	1
Juurikkamaanpuhti	['N_TAUTI']	2
juutalainen	['A_AAKKOSELLINEN']	1
juutalainen	['N_AAKKOSTAMINEN']	2
Juuti	['N_RUUVI']	1
Juuti	['N_TAUTI']	2
juvalainen	['A_AAKKOSELLINEN']	1
juvalainen	['N_AAKKOSTAMINEN']	2
jyväskyläläinen	['A_KYLMÄJÄRKINEN']	1
jyväskyläläinen	['N_KYLKIÄINEN']	2
jälkeenjäänyt	['A_ÄLLISTYNYT']	1
jälkeenjäänyt	['N_SIVISTYNYT']	2
jälkeinen	['A_KYLMÄJÄRKINEN']	1
jälkeinen	['N_KYLKIÄINEN']	2
jämijärveläinen	['A_KYLMÄJÄRKINEN']	1
jämijärveläinen	['N_KYLKIÄINEN']	2
jämsäläinen	['A_KYLMÄJÄRKINEN']	1
jämsäläinen	['N_KYLKIÄINEN']	2
jämsänkoskelainen	['A_AAKKOSELLINEN']	1
jämsänkoskelainen	['N_AAKKOSTAMINEN']	2
jäppiläinen	['A_KYLMÄJÄRKINEN']	1
jäppiläinen	['N_KYLKIÄINEN']	2
jäppiläläinen	['A_KYLMÄJÄRKINEN']	1
jäppiläläinen	['N_KYLKIÄINEN']	2
järkeenkäypä	['A_KÄYPÄ']	1
järkeenkäypä	['N_LEIPÄ']	2
järvenpääläinen	['A_KYLMÄJÄRKINEN']	1
järvenpääläinen	['N_KYLKIÄINEN']	2
Jäämerenpuhti	['N_RUUVI']	1
Jäämerenpuhti	['N_TAUTI']	2
Jääränkarinpuhti	['N_RUUVI']	1
Jääränkarinpuhti	['N_TAUTI']	2
ka	['ACRO_AA',	1
ka	['PCLE_VAAN']	2
Kaakkuririmpi	['N_LAMMI']	1
Kaakkuririmpi	['N_SAMPI']	2
Kaalviikinpuhti	['N_RUUVI']	1
Kaalviikinpuhti	['N_TAUTI']	2
Kaari	['N_RUUHI']	1
Kaari	['N_RUUVI']	2
Kaarilampi	['N_LAMMI']	1
Kaarilampi	['N_SAMPI']	2
kaarinalainen	['A_AAKKOSELLINEN']	1
kaarinalainen	['N_AAKKOSTAMINEN']	2
Kaarlampi	['N_LAMMI']	1
Kaarlampi	['N_SAMPI']	2
kaarlelalainen	['A_AAKKOSELLINEN']	1
kaarlelalainen	['N_AAKKOSTAMINEN']	2
kaatopaikkaluokka	['N_LUOKKA']	1
kaatopaikkaluokka	['N_POLITIIKKA']	2
kaatunut	['A_KULUNUT']	1
kaatunut	['N_AIVOKUOLLUT']	2
kaavilainen	['A_AAKKOSELLINEN']	1
kaavilainen	['N_AAKKOSTAMINEN']	2
kadmiumkeltainen	['A_AAKKOSELLINEN']	1
kadmiumkeltainen	['N_AAKKOSTAMINEN']	2
kaffe	['N_ASTE']	1
kaffe	['N_NALLE']	2
kahdeksankymmentä	['NUM_51kahdeksankymmentä']	1
kahdeksankymmentä	['NUM_KYMMENTÄ']	2
kahdeksankymmenvuotias	['A_AUTUAS']	1
kahdeksankymmenvuotias	['N_PATSAS']	2
kahdeksankymppinen	['A_KYLMÄJÄRKINEN']	1
kahdeksankymppinen	['N_KYLKIÄINEN']	2
kahdeksansataa	['NUM_51kahdeksansataa']	1
kahdeksansataa	['NUM_KYMMENTÄ']	2
kahdeksantoista	['NUM_51kahdeksantoista']	1
kahdeksantoista	['NUM_KYMMENTÄ']	2
kahdeksantuhatta	['NUM_51kahdeksantuhatta']	1
kahdeksantuhatta	['NUM_KYMMENTÄ']	2
kahdeksanvuotias	['A_AUTUAS']	1
kahdeksanvuotias	['N_PATSAS']	2
kahdeksaskymmenes	['NUM_51kahdeksaskymmenes']	1
kahdeksaskymmenes	['NUM_NELJÄS']	2
kahdeksasluokkalainen	['A_AAKKOSELLINEN']	1
kahdeksasluokkalainen	['N_AAKKOSTAMINEN']	2
kahdeksasosa	['NUM_KOLMASOSA']	1
kahdeksasosa	['N_VOIMA']	2
kahdeksassadas	['NUM_51kahdeksassadas']	1
kahdeksassadas	['NUM_KOLMAS']	2
kahdeksastoista	['NUM_51kahdeksastoista']	1
kahdeksastoista	['NUM_KYMMENTÄ']	2
kahdeskymmenes	['NUM_51kahdeskymmenes']	1
kahdeskymmenes	['NUM_NELJÄS']	2
kahdesosa	['NUM_KOLMASOSA']	1
kahdesosa	['N_VOIMA']	2
kahdessadas	['NUM_51kahdessadas']	1
kahdessadas	['NUM_KOLMAS']	2
kahdestoista	['NUM_51kahdestoista']	1
kahdestoista	['NUM_KYMMENTÄ']	2
kaheli	['A_ABNORMAALI']	1
kaheli	['N_KANAALI']	2
kahiseva	['A_RUMA']	1
kahiseva	['N_VOIMA']	2
Kahlas	['N_PATSAS']	1
Kahlas	['N_VAKUUTUS']	2
kaihi	['N_ONNI']	1
kaihi	['N_RUUVI']	2
kaikkivaltias	['A_AUTUAS']	1
kaikkivaltias	['N_PATSAS']	2
kaikkivoipa	['A_VOIPA']	1
kaikkivoipa	['N_LUPA']	2
Kaiku	['N_ASU']	1
Kaiku	['N_MAKU']	2
Kainuanrimpi	['N_LAMMI']	1
Kainuanrimpi	['N_SAMPI']	2
kainuulainen	['A_AAKKOSELLINEN']	1
kainuulainen	['N_AAKKOSTAMINEN']	2
Kairamaanpuhti	['N_RUUVI']	1
Kairamaanpuhti	['N_TAUTI']	2
kaita	['A_EHTA']	1
kaita	['N_PATA']	2
kaita	['V_PALKITA']	3
Kaitue	['N_ASTE']	1
Kaitue	['N_NALLE']	2
kajaanilainen	['A_AAKKOSELLINEN']	1
kajaanilainen	['N_AAKKOSTAMINEN']	2
kaksijalkainen	['A_AAKKOSELLINEN']	1
kaksijalkainen	['N_AAKKOSTAMINEN']	2
kaksikymmentä	['NUM_51kaksikymmentä']	1
kaksikymmentä	['NUM_KYMMENTÄ']	2
kaksikymppinen	['A_KYLMÄJÄRKINEN']	1
kaksikymppinen	['N_KYLKIÄINEN']	2
kaksilitrainen	['A_AAKKOSELLINEN']	1
kaksilitrainen	['N_AAKKOSTAMINEN']	2
kaksipyöräinen	['A_KYLMÄJÄRKINEN']	1
kaksipyöräinen	['N_KYLKIÄINEN']	2
kaksisataa	['NUM_51kaksisataa']	1
kaksisataa	['NUM_KYMMENTÄ']	2
kaksisirkkainen	['A_AAKKOSELLINEN']	1
kaksisirkkainen	['N_AAKKOSTAMINEN']	2
kaksitoista	['NUM_51kaksitoista']	1
kaksitoista	['NUM_KYMMENTÄ']	2
kaksituhatta	['NUM_51kaksituhatta']	1
kaksituhatta	['NUM_KYMMENTÄ']	2
kakskertalainen	['A_AAKKOSELLINEN']	1
kakskertalainen	['N_AAKKOSTAMINEN']	2
kaksoisjalkainen	['A_AAKKOSELLINEN']	1
kaksoisjalkainen	['N_AAKKOSTAMINEN']	2
kaksoiskovera	['A_RUMA']	1
kaksoiskovera	['N_VOIMA']	2
kalajokelainen	['A_AAKKOSELLINEN']	1
kalajokelainen	['N_AAKKOSTAMINEN']	2
kalajokinen	['A_AAKKOSELLINEN']	1
kalajokinen	['N_AAKKOSTAMINEN']	2
kalantilainen	['A_AAKKOSELLINEN']	1
kalantilainen	['N_AAKKOSTAMINEN']	2
kaldealainen	['A_AAKKOSELLINEN']	1
kaldealainen	['N_AAKKOSTAMINEN']	2
kaleidoskooppi	['N_KUPPI']	1
kaleidoskooppi	['N_RUUVI']	2
Kaleva	['N_KITARA']	1
Kaleva	['N_PROBLEEMA']	2
Kalgoorlie	['N_BRASSERIE']	1
Kalgoorlie	['N_ZOMBIE']	2
kalifornialainen	['A_AAKKOSELLINEN']	1
kalifornialainen	['N_AAKKOSTAMINEN']	2
Kalis	['N_PUNK']	1
Kalis	['N_VAKUUTUS']	2
kalju	['A_VALKAISTU']	1
kalju	['N_ASU']	2
kallas	['N_ALLAS']	1
kallas	['N_VAKUUTUS']	2
kallioinen	['A_AAKKOSELLINEN']	1
kallioinen	['N_AAKKOSTAMINEN']	2
kallis	['A_VALMIS']	1
kallis	['N_RUUMIS']	2
Kallunkirimpi	['N_LAMMI']	1
Kallunkirimpi	['N_SAMPI']	2
Kalme	['N_ASTE']	1
Kalme	['N_NALLE']	2
kalvolainen	['A_AAKKOSELLINEN']	1
kalvolainen	['N_AAKKOSTAMINEN']	2
kalvolalainen	['A_AAKKOSELLINEN']	1
kalvolalainen	['N_AAKKOSTAMINEN']	2
Kalymnos	['N_PUNK']	1
Kalymnos	['N_VAKUUTUS']	2
Kálymnos	['N_PUNK']	1
Kálymnos	['N_VAKUUTUS']	2
Kalyves	['N_RÄJÄYTYS']	1
Kalyves	['N_ZEN']	2
Kalýves	['N_PUNK']	1
Kalýves	['N_VAKUUTUS']	2
Kambodža	['N_ASEMA']	1
Kambodža	['N_MAKKARA'2	2
kambodžalainen	['A_AAKKOSELLINEN']	1
