lemma	new_para	argument
alkalisoida	V_KOPIOIDA	intransitive
alkoholisoitua	V_ROHTUA	intransitive
alkuunpanna	V_PANNA	intransitive
allastaa	V_MUTRISTAA	intransitive
allegorisoida	V_KOPIOIDA	intransitive
allekirjoittaa	V_VIEROITTAA	intransitive
allergisoida	V_KOPIOIDA	intransitive
allergisoitua	V_ROHTUA	intransitive
allergistaa	V_MUTRISTAA	intransitive
allergistua	V_KAUNISTUA	intransitive
alleviivata	V_ARVATA	intransitive
allokoida	V_KOPIOIDA	intransitive
aloitella	V_SULATELLA	intransitive
aloittaa	V_VIEROITTAA	intransitive
altistaa	V_MUTRISTAA	intransitive
altistua	V_KAUNISTUA	intransitive
alueellistaa	V_MUTRISTAA	intransitive
aluepommittaa	V_VIEROITTAA	intransitive
aluminoida	V_KOPIOIDA	intransitive
alustaa	V_MUTRISTAA	intransitive
amerikkalaistaa	V_MUTRISTAA	intransitive
amerikkalaistua	V_KAUNISTUA	intransitive
ammatillistaa	V_MUTRISTAA	intransitive
ammatillistua	V_KAUNISTUA	intransitive
ammattilaistaa	V_MUTRISTAA	intransitive
ammattilaistua	V_KAUNISTUA	intransitive
ammattimaistaa	V_MUTRISTAA	intransitive
ammattimaistua	V_KAUNISTUA	intransitive
ammentaa	V_HUONONTAA	intransitive
ammonifioida	V_KOPIOIDA	intransitive
ammonoida	V_KOPIOIDA	intransitive
ammottaa	V_VIEROITTAA	intransitive
ammua	V_KAUNISTUA	intransitive
ammuskella	V_ETUILLA	intransitive
ammuttaa	V_VIEROITTAA	intransitive
ampaista	V_MARISTA	intransitive
amplifioida	V_KOPIOIDA	intransitive
ampua	V_AMPUA	intransitive
ampuilla	V_ETUILLA	intransitive
amputoida	V_KOPIOIDA	intransitive
anagrammatoida	V_KOPIOIDA	intransitive
analysoida	V_KOPIOIDA	intransitive
anastaa	V_MUTRISTAA	intransitive
anastomoida	V_KOPIOIDA	intransitive
anella	V_ETUILLA	intransitive
anestesoida	V_KOPIOIDA	intransitive
angstata	V_ARVATA	intransitive
animoida	V_KOPIOIDA	intransitive
ankkuroida	V_KOPIOIDA	intransitive
ankkuroitua	V_ROHTUA	intransitive
ankylosoida	V_KOPIOIDA	intransitive
ankylosoitua	V_ROHTUA	intransitive
annella	V_KOMENNELLA	intransitive
anniskella	V_ETUILLA	intransitive
annostaa	V_MUTRISTAA	intransitive
annostella	V_ETUILLA	intransitive
anoa	V_PUNOA	intransitive
anodisoida	V_KOPIOIDA	intransitive
anonymisoida	V_KOPIOIDA	intransitive
ansaita	V_PALKITA	intransitive
ansastaa	V_MUTRISTAA	intransitive
ansioitua	V_ROHTUA	intransitive
ansoittaa	V_VIEROITTAA	intransitive
antaa	V_KANTAA	intransitive
antautua	V_ROHTUA	intransitive
anteeksiantaa	V_KANTAA	intransitive
anteeksipyytää	V_PYYTÄÄ	intransitive
antiikkikäsitellä	V_HERÄTELLÄ	intransitive
antikisoida	V_KOPIOIDA	intransitive
antropomorfisoida	V_KOPIOIDA	intransitive
anturoida	V_KOPIOIDA	intransitive
apeuttaa	V_VIEROITTAA	intransitive
apeutua	V_ROHTUA	intransitive
apinoida	V_KOPIOIDA	intransitive
aplodeerata	V_ARVATA	intransitive
appaa	V_TAPPAA	intransitive
appersipoida	V_KOPIOIDA	intransitive
applikoida	V_KOPIOIDA	intransitive
approksimoida	V_KOPIOIDA	intransitive
aprikoida	V_MELLAKOIDA	intransitive
aprillata	V_ARVATA	intransitive
arastaa	V_MUTRISTAA	intransitive
arastella	V_ETUILLA	intransitive
aravalainoittaa	V_VIEROITTAA	intransitive
arbitroida	V_KOPIOIDA	intransitive
argumentoida	V_KOPIOIDA	intransitive
aristaa	V_MUTRISTAA	intransitive
aristella	V_ETUILLA	intransitive
aristua	V_KAUNISTUA	intransitive
arkailla	V_ARVAILLA	intransitive
arkaisoida	V_KOPIOIDA	intransitive
arkipäiväistyä	V_ÄLLISTYÄ	intransitive
arkipäiväistää	V_KIVISTÄÄ	intransitive
arkistaa	V_MUTRISTAA	intransitive
arkistoida	V_KOPIOIDA	intransitive
arkistua	V_KAUNISTUA	intransitive
armahtaa	V_MOJAHTAA	intransitive
armastella	V_ETUILLA	intransitive
armoittaa	V_VIEROITTAA	intransitive
arpeuttaa	V_VIEROITTAA	intransitive
arpeutua	V_ROHTUA	intransitive
arpoa	V_SILPOA	intransitive
artikuloida	V_KOPIOIDA	intransitive
arvailla	V_ARVAILLA	intransitive
arvata	V_ARVATA	intransitive
arvauttaa	V_VIEROITTAA	intransitive
arvella	V_ETUILLA	intransitive
arveluttaa	V_VIEROITTAA	intransitive
arvettua	V_HERMOTTUA	intransitive
arvioida	V_KOPIOIDA	intransitive
arvioittaa	V_VIEROITTAA	intransitive
arvopaperisoida	V_KOPIOIDA	intransitive
arvopaperistaa	V_MUTRISTAA	intransitive
arvopaperistua	V_KAUNISTUA	intransitive
arvostaa	V_MUTRISTAA	intransitive
arvostella	V_ETUILLA	intransitive
arvottaa	V_VIEROITTAA	intransitive
arvuutella	V_SULATELLA	intransitive
arvuuttaa	V_VIEROITTAA	intransitive
aseistaa	V_MUTRISTAA	intransitive
aseistautua	V_ROHTUA	intransitive
asemakaavoittaa	V_VIEROITTAA	intransitive
asemoida	V_KOPIOIDA	intransitive
asennoitua	V_ROHTUA	intransitive
asennuttaa	V_VIEROITTAA	intransitive
asentaa	V_HUONONTAA	intransitive
asentua	V_VAKAANTUA	intransitive
asetella	V_SULATELLA	intransitive
asettaa	V_VIEROITTAA	intransitive
asettautua	V_ROHTUA	intransitive
asettua	V_HERMOTTUA	intransitive
asetyloida	V_KOPIOIDA	intransitive
asfaltoida	V_KOPIOIDA	intransitive
asiallistua	V_KAUNISTUA	intransitive
asianajaa	V_KASVAA	intransitive
asioida	V_KOPIOIDA	intransitive
askaroida	V_KOPIOIDA	intransitive
askarrella	V_NAKERRELLA	intransitive
askarruttaa	V_VIEROITTAA	intransitive
askarteluttaa	V_VIEROITTAA	intransitive
askeltaa	V_SIVALTAA	intransitive
asosiaalistaa	V_MUTRISTAA	intransitive
aspiroida	V_KOPIOIDA	intransitive
assibiloida	V_KOPIOIDA	intransitive
assimiloida	V_KOPIOIDA	intransitive
assimiloitua	V_ROHTUA	intransitive
assosioida	V_KOPIOIDA	intransitive
assosioitua	V_ROHTUA	intransitive
astahtaa	V_MOJAHTAA	intransitive
astatisoida	V_KOPIOIDA	intransitive
asteittaa	V_VIEROITTAA	intransitive
astella	V_ETUILLA	intransitive
astua	V_KAUNISTUA	intransitive
astuttaa	V_VIEROITTAA	intransitive
asua	V_KAUNISTUA	intransitive
asustaa	V_MUTRISTAA	intransitive
asustella	V_ETUILLA	intransitive
asuttaa	V_VIEROITTAA	intransitive
asvaltoida	V_KOPIOIDA	intransitive
asyloida	V_KOPIOIDA	intransitive
aterioida	V_MELLAKOIDA	intransitive
atomisoida	V_KOPIOIDA	intransitive
attrahoida	V_KOPIOIDA	intransitive
auditoida	V_KOPIOIDA	intransitive
aueta	V_NIUKETA	intransitive
aueta	V_POIKETA	intransitive
aukaista	V_MARISTA	intransitive
aukoa	V_TAKOA	intransitive
aukottaa	V_VIEROITTAA	intransitive
auktorisoida	V_KOPIOIDA	intransitive
auktoroida	V_KOPIOIDA	intransitive
aumata	V_ARVATA	intransitive
aurata	V_ARVATA	intransitive
auskultoida	V_KOPIOIDA	intransitive
autella	V_SULATELLA	intransitive
autentikoida	V_KOPIOIDA	intransitive
autioittaa	V_VIEROITTAA	intransitive
autioitua	V_ROHTUA	intransitive
autoilla	V_ARVAILLA	intransitive
autoistua	V_KAUNISTUA	intransitive
autoklaavata	V_ARVATA	intransitive
autoklavoida	V_KOPIOIDA	intransitive
autolysoitua	V_ROHTUA	intransitive
automaattistaa	V_MUTRISTAA	intransitive
automaattistua	V_KAUNISTUA	intransitive
automatisoida	V_KOPIOIDA	intransitive
automatisoitua	V_ROHTUA	intransitive
auttaa	V_AUTTAA	intransitive
autuuttaa	V_VIEROITTAA	intransitive
avartaa	V_KUHERTAA	intransitive
avartua	V_PUSERTUA	intransitive
avata	V_ARVATA	intransitive
avautua	V_ROHTUA	intransitive
avioitua	V_ROHTUA	intransitive
avittaa	V_VIEROITTAA	intransitive
avustaa	V_MUTRISTAA	intransitive
bagatellisoida	V_KOPIOIDA	intransitive
bailata	V_ARVATA	intransitive
balansoida	V_KOPIOIDA	intransitive
balkanisoida	V_KOPIOIDA	intransitive
balsamoida	V_KOPIOIDA	intransitive
banaalistaa	V_MUTRISTAA	intransitive
banaalistua	V_KAUNISTUA	intransitive
banalisoida	V_KOPIOIDA	intransitive
banalisoitua	V_ROHTUA	intransitive
batiikkivärjätä	V_YNNÄTÄ	intransitive
betonoida	V_KOPIOIDA	intransitive
bilettää	V_RÄPSYTTÄÄ	intransitive
bingota	V_LASSOTA	intransitive
bituminoida	V_KOPIOIDA	intransitive
bitumoida	V_KOPIOIDA	intransitive
blandata	V_ARVATA	intransitive
blanseerata	V_ARVATA	intransitive
blasonoida	V_KOPIOIDA	intransitive
blogata	V_ARVATA	intransitive
blokata	V_MORKATA	intransitive
blokkiintua	V_VAKAANTUA	intransitive
blokkiutua	V_ROHTUA	intransitive
blondata	V_ARVATA	intransitive
bluffata	V_ARVATA	intransitive
bodata	V_ARVATA	intransitive
bodysurffata	V_ARVATA	intransitive
boikotoida	V_KOPIOIDA	intransitive
bongata	V_ARVATA	intransitive
bootata	V_LUNTATA	intransitive
breikata	V_MORKATA	intransitive
breseerata	V_ARVATA	intransitive
briljeerata	V_ARVATA	intransitive
brodeerata	V_ARVATA	intransitive
bromata	V_ARVATA	intransitive
brutalisoida	V_KOPIOIDA	intransitive
budjetoida	V_KOPIOIDA	intransitive
butyloida	V_KOPIOIDA	intransitive
buuata	V_ARVATA	intransitive
buukata	V_MORKATA	intransitive
byrokraattistaa	V_MUTRISTAA	intransitive
byrokraattistua	V_KAUNISTUA	intransitive
byrokratisoida	V_KOPIOIDA	intransitive
byrokratisoitua	V_ROHTUA	intransitive
chatata	V_LUNTATA	intransitive
damaskoida	V_KOPIOIDA	intransitive
dateerata	V_ARVATA	intransitive
deaktivoida	V_KOPIOIDA	intransitive
deaminoida	V_KOPIOIDA	intransitive
debytoida	V_KOPIOIDA	intransitive
definioida	V_KOPIOIDA	intransitive
deflatoida	V_KOPIOIDA	intransitive
deformoida	V_KOPIOIDA	intransitive
degeneroida	V_KOPIOIDA	intransitive
degeneroitua	V_ROHTUA	intransitive
dehydratoida	V_KOPIOIDA	intransitive
deionisoida	V_KOPIOIDA	intransitive
deittailla	V_ARVAILLA	intransitive
dekantoida	V_KOPIOIDA	intransitive
deklamoida	V_KOPIOIDA	intransitive
dekonstruoida	V_KOPIOIDA	intransitive
dekontaminoida	V_KOPIOIDA	intransitive
dekoodata	V_ARVATA	intransitive
dekriminalisoida	V_KOPIOIDA	intransitive
dekryptata	V_ARVATA	intransitive
delata	V_ARVATA	intransitive
delegoida	V_KOPIOIDA	intransitive
delokalisoida	V_KOPIOIDA	intransitive
demagnetoida	V_KOPIOIDA	intransitive
dementoida	V_KOPIOIDA	intransitive
dementoitua	V_ROHTUA	intransitive
demilitarisoida	V_KOPIOIDA	intransitive
demineralisoida	V_KOPIOIDA	intransitive
demobilisoida	V_KOPIOIDA	intransitive
demoduloida	V_KOPIOIDA	intransitive
demokraattistaa	V_MUTRISTAA	intransitive
demokraattistua	V_KAUNISTUA	intransitive
demokratisoida	V_KOPIOIDA	intransitive
demokratisoitua	V_ROHTUA	intransitive
demonetisoida	V_KOPIOIDA	intransitive
demonisoida	V_KOPIOIDA	intransitive
demonstroida	V_KOPIOIDA	intransitive
demoralisoida	V_KOPIOIDA	intransitive
demoralisoitua	V_ROHTUA	intransitive
demyelisoida	V_KOPIOIDA	intransitive
demystifioida	V_KOPIOIDA	intransitive
demytologisoida	V_KOPIOIDA	intransitive
denaturoida	V_KOPIOIDA	intransitive
denitrifioida	V_KOPIOIDA	intransitive
denitroida	V_KOPIOIDA	intransitive
denormalisoida	V_KOPIOIDA	intransitive
deoksidoida	V_KOPIOIDA	intransitive
depigmentoida	V_KOPIOIDA	intransitive
depolarisoida	V_KOPIOIDA	intransitive
depolaroida	V_KOPIOIDA	intransitive
deponoida	V_KOPIOIDA	intransitive
derivoida	V_KOPIOIDA	intransitive
desegregoida	V_KOPIOIDA	intransitive
desentralisoida	V_KOPIOIDA	intransitive
desinfektoida	V_KOPIOIDA	intransitive
desinfioida	V_KOPIOIDA	intransitive
desinvestoida	V_KOPIOIDA	intransitive
desorboida	V_KOPIOIDA	intransitive
desorboitua	V_ROHTUA	intransitive
destabiloida	V_KOPIOIDA	intransitive
destalinisoida	V_KOPIOIDA	intransitive
detektoida	V_KOPIOIDA	intransitive
determinisoida	V_KOPIOIDA	intransitive
determinoida	V_KOPIOIDA	intransitive
detonoida	V_KOPIOIDA	intransitive
