N_51Iso-Britannia	Xcom	Isoine-Britannioine	N_BACK_POSS_EN_OPT
N_51Iso-Britannia	Npl|Xabe	Isoitta-Britannioitta	N_BACK_POSS_AN_OPT
N_51Iso-Britannia	Npl|Xabl	Isoilta-Britannioilta	N_BACK_POSS_AN_OPT
N_51Iso-Britannia	Npl|Xade	Isoilla-Britannioilla	N_BACK_POSS_AN_OPT
N_51Iso-Britannia	Npl|Xall	Isoille-Britannioille	N_BACK_POSS_EN_OPT
N_51Iso-Britannia	Npl|Xela	Isoista-Britannioista	N_BACK_POSS_AN_OPT
N_51Iso-Britannia	Npl|Xess	Isoina-Britannioina	N_BACK_POSS_AN_OPT
N_51Iso-Britannia	Npl|Xgen	Isojen-Britannioiden	N_BACK_POSS_OPT
N_51Iso-Britannia	Npl|Xgen	Isojen-Britannioitten	N_BACK_POSS_OPT
N_51Iso-Britannia	Npl|Xgen	Isojen-Britanniojen	N_BACK_POSS_OPT
N_51Iso-Britannia	Npl|Xill	Isoihin-Britannioihin	N_BACK_POSS_OPT
N_51Iso-Britannia	Npl|Xine	Isoissa-Britannioissa	N_BACK_POSS_AN_OPT
N_51Iso-Britannia	Npl|Xnom	Isot-Britanniat	N_BACK_POSS
N_51Iso-Britannia	Npl|Xpar	Isoja-Britannioita	N_BACK_POSS_OPT
N_51Iso-Britannia	Npl|Xtra	Isoiksi-Britannioikse	N_BACK_POSS_EN_OBL
N_51Iso-Britannia	Npl|Xtra	Isoiksi-Britannioiksi	N_BACK_CLIT_OPT
N_51Iso-Britannia	Nsg|Xabe	Isotta-Britanniatta	N_BACK_POSS_AN_OPT
N_51Iso-Britannia	Nsg|Xabl	Isolta-Britannialta	N_BACK_POSS_AN_OPT
N_51Iso-Britannia	Nsg|Xade	Isolla-Britannialla	N_BACK_POSS_AN_OPT
N_51Iso-Britannia	Nsg|Xall	Isolle-Britannialle	N_BACK_POSS_EN_OPT
N_51Iso-Britannia	Nsg|Xela	Isosta-Britanniasta	N_BACK_POSS_AN_OPT
N_51Iso-Britannia	Nsg|Xess	Isona-Britanniana	N_BACK_POSS_AN_OPT
N_51Iso-Britannia	Nsg|Xgen	Ison-Britannian	N_BACK_POSS_OPT
N_51Iso-Britannia	Nsg|Xill	Isoon-Britanniaan	N_BACK_POSS_OPT
N_51Iso-Britannia	Nsg|Xine	Isossa-Britanniassa	N_BACK_POSS_AN_OPT
N_51Iso-Britannia	Nsg|Xnom	Iso-Britannia	N_BACK_POSS_OPT
N_51Iso-Britannia	Nsg|Xpar	Isoa-Britanniaa	N_BACK_POSS_OPT
N_51Iso-Britannia	Nsg|Xtra	Isoksi-Britanniakse	N_BACK_POSS_EN_OBL
N_51Iso-Britannia	Nsg|Xtra	Isoksi-Britanniaksi	N_BACK_CLIT_OPT
N_51Mustameri	Xcom	Mustinemerine	N_BACK_POSS_EN_OPT
N_51Mustameri	Npl|Xabe	Mustittamerittä	N_FRONT_POSS_ÄN_OPT
N_51Mustameri	Npl|Xabl	Mustiltameriltä	N_FRONT_POSS_ÄN_OPT
N_51Mustameri	Npl|Xade	Mustillamerillä	N_FRONT_POSS_ÄN_OPT
N_51Mustameri	Npl|Xall	Mustillemerille	N_BACK_POSS_EN_OPT
N_51Mustameri	Npl|Xela	Mustissamerissä	N_FRONT_POSS_ÄN_OPT
N_51Mustameri	Npl|Xess	Mustinamerinä	N_FRONT_POSS_ÄN_OPT
N_51Mustameri	Npl|Xgen	Mustienmerien	N_BACK_POSS_OPT
N_51Mustameri	Npl|Xgen	Mustienmerten	N_BACK_POSS_OPT
N_51Mustameri	Npl|Xine	Mustissamerissä	N_FRONT_POSS_ÄN_OPT
N_51Mustameri	Npl|Xnom	Mustatmeret	N_BACK_CLIT_OPT
N_51Mustameri	Npl|Xpar	Mustiameriä	N_FRONT_POSS_ÄN_OPT
N_51Mustameri	Npl|Xtra	Mustiksimerikse	N_BACK_POSS_EN_OBL
N_51Mustameri	Npl|Xtra	Mustiksimeriksi	N_BACK_CLIT_OPT
N_51Mustameri	Nsg|Xabe	Mustattamerettä	N_FRONT_POSS_ÄN_OPT
N_51Mustameri	Nsg|Xabl	Mustaltamereltä	N_FRONT_POSS_ÄN_OPT
N_51Mustameri	Nsg|Xade	Mustallamerellä	N_FRONT_POSS_ÄN_OPT
N_51Mustameri	Nsg|Xall	Mustallemerelle	N_BACK_POSS_EN_OPT
N_51Mustameri	Nsg|Xela	Mustastamerestä	N_FRONT_POSS_ÄN_OPT
N_51Mustameri	Nsg|Xess	Mustanamerenä	N_FRONT_POSS_ÄN_OPT
N_51Mustameri	Nsg|Xgen	Mustanmeren	N_BACK_POSS_OPT
N_51Mustameri	Nsg|Xine	Mustassameressä	N_FRONT_POSS_ÄN_OPT
N_51Mustameri	Nsg|Xnom	Mustameri	N_BACK_CLIT_OPT
N_51Mustameri	Nsg|Xpar	Mustaamerta	N_BACK_POSS_AN_OPT
N_51Mustameri	Nsg|Xtra	Mustaksimerekse	N_BACK_POSS_EN_OBL
N_51Mustameri	Nsg|Xtra	Mustaksimereksi	N_BACK_CLIT_OPT
N_51Punainenmeri	Xcom	Punaisinemerine	N_BACK_POSS_EN_OPT
N_51Punainenmeri	Npl|Xabe	Punaisittamerittä	N_FRONT_POSS_ÄN_OPT
N_51Punainenmeri	Npl|Xabl	Punaisiltameriltä	N_FRONT_POSS_ÄN_OPT
N_51Punainenmeri	Npl|Xade	Punaisillamerillä	N_FRONT_POSS_ÄN_OPT
N_51Punainenmeri	Npl|Xall	Punaisillemerille	N_BACK_POSS_EN_OPT
